 Program soft_fbm
 average displacement of reflected FBM
 weight on force  -1.0000000000000000E-002
 step distribution GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=   1.0000000000000000     
 NT=      8388608
 L=   1000.0000000000000     
 IRINIT=           1
 NCONF=           1
 ==================================
    time         <r>         <r^2>
        1   0.293063E+00   0.858862E-01
        2  -0.459125E+00   0.210796E+00
        3  -0.156984E+01   0.246441E+01
        4  -0.146100E+01   0.213453E+01
        5  -0.282053E+01   0.795537E+01
        6  -0.462978E+01   0.214349E+02
        7  -0.388898E+01   0.151242E+02
        8  -0.569865E+01   0.324746E+02
       10  -0.663672E+01   0.440461E+02
       12  -0.670158E+01   0.449112E+02
       14  -0.498734E+01   0.248736E+02
       17  -0.346689E+01   0.120193E+02
       20  -0.477015E-01   0.227544E-02
       24  -0.648418E+00   0.420446E+00
       29   0.530242E+00   0.281156E+00
       34  -0.207567E+01   0.430842E+01
       40   0.562149E+00   0.316012E+00
       48   0.522727E+01   0.273244E+02
       57   0.629705E+01   0.396528E+02
       68   0.900153E+01   0.810275E+02
       81   0.851289E+01   0.724693E+02
       96   0.709800E+01   0.503815E+02
      114   0.918136E+01   0.842973E+02
      136   0.102208E+02   0.104465E+03
      162   0.181752E+02   0.330338E+03
      193   0.271247E+02   0.735751E+03
      230   0.224006E+02   0.501787E+03
      274   0.295094E+02   0.870806E+03
      326   0.381416E+02   0.145478E+04
      388   0.340586E+02   0.115999E+04
      461   0.328609E+02   0.107984E+04
      548   0.407956E+02   0.166428E+04
      652   0.441528E+02   0.194947E+04
      775   0.588638E+02   0.346494E+04
      922   0.981639E+02   0.963616E+04
     1096   0.105870E+03   0.112085E+05
     1303   0.134186E+03   0.180058E+05
     1550   0.163001E+03   0.265693E+05
     1843   0.171339E+03   0.293569E+05
     2192   0.162507E+03   0.264084E+05
     2607   0.187021E+03   0.349769E+05
     3100   0.222728E+03   0.496078E+05
     3687   0.274423E+03   0.753078E+05
     4385   0.308833E+03   0.953779E+05
     5215   0.307661E+03   0.946554E+05
     6202   0.354664E+03   0.125786E+06
     7375   0.334543E+03   0.111919E+06
     8770   0.381783E+03   0.145758E+06
    10429   0.323175E+03   0.104442E+06
    12402   0.224636E+03   0.504614E+05
    14749   0.267055E+03   0.713184E+05
    17540   0.258394E+03   0.667673E+05
    20859   0.198838E+03   0.395365E+05
    24806   0.116826E+03   0.136483E+05
    29499   0.753023E+02   0.567044E+04
    35080   0.144306E+03   0.208243E+05
    41717   0.824761E+02   0.680231E+04
    49610   0.282341E+01   0.797165E+01
    58997  -0.539816E+02   0.291401E+04
    70160  -0.297754E+03   0.886573E+05
    83435  -0.120340E+03   0.144817E+05
    99221  -0.717152E+02   0.514307E+04
   117994  -0.347801E+03   0.120966E+06
   140319  -0.417386E+03   0.174211E+06
   166868  -0.299107E+03   0.894651E+05
   198441  -0.128781E+03   0.165846E+05
   235987  -0.492139E+03   0.242200E+06
   280637  -0.109239E+03   0.119332E+05
   333736   0.314662E+03   0.990120E+05
   396881  -0.180096E+03   0.324347E+05
   471974   0.293254E+03   0.859979E+05
   561275  -0.433445E+02   0.187874E+04
   667472  -0.160108E+03   0.256346E+05
   793762   0.423574E+03   0.179415E+06
   943947  -0.267338E+03   0.714695E+05
  1122548  -0.723838E+02   0.523941E+04
  1334942   0.117237E+03   0.137446E+05
  1587523   0.433565E+03   0.187979E+06
  1887894  -0.466536E+03   0.217656E+06
  2245097   0.302298E+03   0.913844E+05
  2669885  -0.208058E+03   0.432883E+05
  3175046   0.465707E+03   0.216883E+06
  3775787   0.180156E+03   0.324563E+05
  4490193  -0.394140E+03   0.155346E+06
  5339769  -0.123581E+03   0.152724E+05
  6350091  -0.407061E+03   0.165699E+06
  7551573   0.678693E+02   0.460624E+04
