 Program Mean-density FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight=  -2.00000000000000     
 STEPDIS= GAU
 STEPSIG=   1.00000000000000     
 GAMMMA=   1.00000000000000     
 NT=     33554432
 L=   40000.0000000000     
 DECAYFACTOR=   0.999990000050000     
 NWALKERS_PER_SET=          64
 NSETS=          32
 IRINIT=           1
 NCONF=        2048
 FORCE_TYPE= LINEAR
 GRAD_FORM= SYMM
 GRAD_DX=            1
 KILL_FBM_TIME=    33554432
 WALKER_SIGMA=  0.500000000000000     
 WALKER_WIDTH=    1.50000000000000     
 NBINS=       200000
 ==================================
    time         <r^2>         <r^4>
         1   0.102374E+01   0.320364E+01
         2   0.215693E+01   0.136609E+02
         3   0.322030E+01   0.300403E+02
         4   0.444371E+01   0.582045E+02
         5   0.555984E+01   0.877246E+02
         6   0.686445E+01   0.127928E+03
         7   0.808269E+01   0.178507E+03
         8   0.928989E+01   0.229341E+03
        10   0.114349E+02   0.329749E+03
        12   0.141688E+02   0.513995E+03
        14   0.168712E+02   0.741492E+03
        17   0.206778E+02   0.110511E+04
        20   0.243999E+02   0.150380E+04
        24   0.301853E+02   0.229605E+04
        29   0.374834E+02   0.360224E+04
        34   0.450319E+02   0.508079E+04
        40   0.530595E+02   0.697585E+04
        48   0.675285E+02   0.111283E+05
        57   0.826365E+02   0.159059E+05
        68   0.100284E+03   0.223709E+05
        81   0.123641E+03   0.335649E+05
        96   0.150228E+03   0.487719E+05
       114   0.181300E+03   0.695589E+05
       136   0.213776E+03   0.971995E+05
       162   0.264894E+03   0.148612E+06
       193   0.331373E+03   0.227081E+06
       230   0.416649E+03   0.350256E+06
       274   0.514268E+03   0.510640E+06
       326   0.649043E+03   0.821590E+06
       388   0.790743E+03   0.119409E+07
       461   0.992745E+03   0.185059E+07
       548   0.122808E+04   0.275354E+07
       652   0.155949E+04   0.440965E+07
       775   0.198161E+04   0.696020E+07
       922   0.248295E+04   0.107750E+08
      1096   0.311447E+04   0.165723E+08
      1303   0.384555E+04   0.255345E+08
      1550   0.476515E+04   0.388309E+08
      1843   0.593696E+04   0.603443E+08
      2192   0.747832E+04   0.953234E+08
      2607   0.918175E+04   0.140407E+09
      3100   0.116697E+05   0.221072E+09
      3687   0.147610E+05   0.351646E+09
      4385   0.183324E+05   0.535913E+09
      5215   0.228650E+05   0.833384E+09
      6202   0.290043E+05   0.133451E+10
      7375   0.362024E+05   0.207716E+10
      8770   0.457340E+05   0.330449E+10
     10429   0.577803E+05   0.515622E+10
     12402   0.733014E+05   0.828278E+10
     14749   0.916498E+05   0.129661E+11
     17540   0.114355E+06   0.200583E+11
     20859   0.141580E+06   0.309217E+11
     24806   0.175648E+06   0.478936E+11
     29499   0.221392E+06   0.766048E+11
     35080   0.278177E+06   0.122267E+12
     41717   0.342943E+06   0.187361E+12
     49610   0.418656E+06   0.281484E+12
     58997   0.510806E+06   0.425977E+12
     70160   0.617241E+06   0.629363E+12
     83435   0.754332E+06   0.956784E+12
     99221   0.907240E+06   0.141270E+13
    117994   0.109572E+07   0.211780E+13
    140319   0.130553E+07   0.302613E+13
    166868   0.152900E+07   0.423947E+13
    198441   0.182006E+07   0.621090E+13
    235987   0.210795E+07   0.869165E+13
    280637   0.243665E+07   0.117748E+14
    333736   0.277742E+07   0.157021E+14
    396881   0.316128E+07   0.210192E+14
    471974   0.357418E+07   0.273468E+14
    561275   0.404141E+07   0.356713E+14
    667472   0.459239E+07   0.468474E+14
    793762   0.520550E+07   0.613540E+14
    943947   0.591306E+07   0.802609E+14
   1122548   0.676424E+07   0.105639E+15
   1334942   0.773771E+07   0.139473E+15
   1587523   0.890142E+07   0.188473E+15
   1887894   0.991848E+07   0.238654E+15
   2245097   0.114391E+08   0.320996E+15
   2669885   0.132512E+08   0.426407E+15
   3175046   0.152764E+08   0.578005E+15
   3775787   0.175867E+08   0.770691E+15
   4490193   0.203882E+08   0.105813E+16
   5339769   0.235553E+08   0.142139E+16
   6350091   0.270574E+08   0.194107E+16
   7551573   0.310673E+08   0.257879E+16
   8980384   0.362594E+08   0.342697E+16
  10679537   0.417370E+08   0.451464E+16
  12700181   0.475037E+08   0.589009E+16
  15103146   0.542879E+08   0.759035E+16
  17960769   0.628767E+08   0.100704E+17
  21359074   0.710027E+08   0.123724E+17
  25400363   0.799140E+08   0.151014E+17
  30206292   0.890817E+08   0.179502E+17
