 Program Mean-density FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight=  -2.00000000000000     
 STEPDIS= GAU
 STEPSIG=   1.00000000000000     
 GAMMMA=   1.60000000000000     
 NT=      2097152
 L=   20000.0000000000     
 DECAYFACTOR=   0.999990000050000     
 NWALKERS_PER_SET=        1024
 NSETS=          16
 IRINIT=           1
 NCONF=       16384
 FORCE_TYPE= LINEAR
 GRAD_FORM= SYMM
 GRAD_DX=            1
 KILL_FBM_TIME=     2097152
 WALKER_SIGMA=   1.00000000000000     
 WALKER_WIDTH=    3.00000000000000     
 NBINS=       100000
 ==================================
    time         <r^2>         <r^4>
         1   0.990125E+00   0.296657E+01
         2   0.132348E+01   0.509824E+01
         3   0.163596E+01   0.776968E+01
         4   0.189359E+01   0.104983E+02
         5   0.214163E+01   0.132045E+02
         6   0.241686E+01   0.161455E+02
         7   0.267168E+01   0.193302E+02
         8   0.299845E+01   0.240381E+02
        10   0.367046E+01   0.335993E+02
        12   0.447874E+01   0.482516E+02
        14   0.539137E+01   0.654820E+02
        17   0.700643E+01   0.101755E+03
        20   0.890320E+01   0.151911E+03
        24   0.118405E+02   0.247485E+03
        29   0.160475E+02   0.415433E+03
        34   0.209466E+02   0.667489E+03
        40   0.271450E+02   0.106275E+04
        48   0.369747E+02   0.188768E+04
        57   0.493483E+02   0.326571E+04
        68   0.659020E+02   0.568116E+04
        81   0.877221E+02   0.989419E+04
        96   0.115506E+03   0.170262E+05
       114   0.152129E+03   0.294952E+05
       136   0.199763E+03   0.509655E+05
       162   0.261462E+03   0.879365E+05
       193   0.340719E+03   0.151082E+06
       230   0.440471E+03   0.255763E+06
       274   0.560180E+03   0.420225E+06
       326   0.708436E+03   0.682682E+06
       388   0.891120E+03   0.109691E+07
       461   0.111078E+04   0.173024E+07
       548   0.137906E+04   0.269959E+07
       652   0.170547E+04   0.417544E+07
       775   0.210224E+04   0.638782E+07
       922   0.259893E+04   0.983721E+07
      1096   0.321892E+04   0.151807E+08
      1303   0.399854E+04   0.235637E+08
      1550   0.498570E+04   0.368355E+08
      1843   0.622021E+04   0.575961E+08
      2192   0.775927E+04   0.898990E+08
      2607   0.967976E+04   0.140086E+09
      3100   0.120799E+05   0.218075E+09
      3687   0.151056E+05   0.340663E+09
      4385   0.188918E+05   0.532363E+09
      5215   0.236529E+05   0.832137E+09
      6202   0.296157E+05   0.129886E+10
      7375   0.371476E+05   0.203564E+10
      8770   0.467086E+05   0.321048E+10
     10429   0.587306E+05   0.506629E+10
     12402   0.739652E+05   0.803710E+10
     14749   0.929562E+05   0.127012E+11
     17540   0.116575E+06   0.200269E+11
     20859   0.145966E+06   0.315328E+11
     24806   0.182275E+06   0.494320E+11
     29499   0.227034E+06   0.772444E+11
     35080   0.281824E+06   0.120074E+12
     41717   0.348440E+06   0.185463E+12
     49610   0.428716E+06   0.284128E+12
     58997   0.524758E+06   0.431702E+12
     70160   0.638536E+06   0.649465E+12
     83435   0.772408E+06   0.967960E+12
     99221   0.927989E+06   0.142593E+13
    117994   0.110659E+07   0.207383E+13
    140319   0.130808E+07   0.296959E+13
    166868   0.153308E+07   0.418694E+13
    198441   0.177851E+07   0.579469E+13
    235987   0.204538E+07   0.787025E+13
    280637   0.232982E+07   0.104805E+14
    333736   0.262713E+07   0.136765E+14
    396881   0.294506E+07   0.176108E+14
    471974   0.327677E+07   0.222222E+14
    561275   0.363206E+07   0.277366E+14
    667472   0.401926E+07   0.343031E+14
    793762   0.444132E+07   0.421853E+14
    943947   0.491186E+07   0.520126E+14
   1122548   0.544682E+07   0.643062E+14
   1334942   0.603275E+07   0.790727E+14
   1587523   0.670502E+07   0.980211E+14
   1887894   0.742894E+07   0.120649E+15
