 Program Mean-density FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight=  -2.00000000000000     
 STEPDIS= GAU
 STEPSIG=   1.00000000000000     
 GAMMMA=   1.60000000000000     
 NT=     33554432
 L=   200000.000000000     
 DECAYFACTOR=    1.00000000000000     
 NWALKERS_PER_SET=          64
 NSETS=          32
 IRINIT=           1
 NCONF=        2048
 FORCE_TYPE= LINEAR
 GRAD_FORM= SYMM
 GRAD_DX=            1
 KILL_FBM_TIME=    33554432
 WALKER_SIGMA=  0.500000000000000     
 WALKER_WIDTH=    1.50000000000000     
 NBINS=      1000000
 ==================================
    time         <r^2>         <r^4>
         1   0.102707E+01   0.339380E+01
         2   0.141211E+01   0.599749E+01
         3   0.164317E+01   0.805490E+01
         4   0.199049E+01   0.118690E+02
         5   0.224693E+01   0.139695E+02
         6   0.259580E+01   0.181994E+02
         7   0.296563E+01   0.239842E+02
         8   0.334763E+01   0.295228E+02
        10   0.402116E+01   0.382100E+02
        12   0.506934E+01   0.552420E+02
        14   0.607458E+01   0.768908E+02
        17   0.781299E+01   0.118152E+03
        20   0.982337E+01   0.173656E+03
        24   0.129651E+02   0.285308E+03
        29   0.175611E+02   0.488228E+03
        34   0.225980E+02   0.770500E+03
        40   0.286389E+02   0.117273E+04
        48   0.394634E+02   0.218159E+04
        57   0.524359E+02   0.373862E+04
        68   0.691521E+02   0.632237E+04
        81   0.915803E+02   0.110553E+05
        96   0.118322E+03   0.184285E+05
       114   0.154131E+03   0.311106E+05
       136   0.199304E+03   0.520994E+05
       162   0.260836E+03   0.899902E+05
       193   0.335681E+03   0.150377E+06
       230   0.433354E+03   0.253484E+06
       274   0.544493E+03   0.405115E+06
       326   0.692546E+03   0.663213E+06
       388   0.865675E+03   0.104846E+07
       461   0.108672E+04   0.166158E+07
       548   0.136148E+04   0.262921E+07
       652   0.169903E+04   0.414480E+07
       775   0.211079E+04   0.643181E+07
       922   0.262114E+04   0.999923E+07
      1096   0.325450E+04   0.155419E+08
      1303   0.405160E+04   0.242916E+08
      1550   0.506254E+04   0.381144E+08
      1843   0.633612E+04   0.598582E+08
      2192   0.797889E+04   0.953102E+08
      2607   0.100080E+05   0.149712E+09
      3100   0.125646E+05   0.234766E+09
      3687   0.158554E+05   0.373155E+09
      4385   0.198851E+05   0.586977E+09
      5215   0.250476E+05   0.930547E+09
      6202   0.315602E+05   0.148175E+10
      7375   0.393213E+05   0.230461E+10
      8770   0.492383E+05   0.361241E+10
     10429   0.619514E+05   0.571119E+10
     12402   0.778059E+05   0.897617E+10
     14749   0.980906E+05   0.142183E+11
     17540   0.123793E+06   0.226800E+11
     20859   0.155526E+06   0.357978E+11
     24806   0.194855E+06   0.560906E+11
     29499   0.244792E+06   0.885800E+11
     35080   0.308941E+06   0.140274E+12
     41717   0.390379E+06   0.223942E+12
     49610   0.491609E+06   0.356973E+12
     58997   0.620524E+06   0.568328E+12
     70160   0.781775E+06   0.901928E+12
     83435   0.988528E+06   0.143843E+13
     99221   0.124877E+07   0.229899E+13
    117994   0.159276E+07   0.372281E+13
    140319   0.199913E+07   0.588317E+13
    166868   0.250992E+07   0.929936E+13
    198441   0.315384E+07   0.146180E+14
    235987   0.395604E+07   0.230595E+14
    280637   0.498520E+07   0.366936E+14
    333736   0.626096E+07   0.576177E+14
    396881   0.795970E+07   0.925836E+14
    471974   0.100215E+08   0.147420E+15
    561275   0.125826E+08   0.233041E+15
    667472   0.157077E+08   0.362807E+15
    793762   0.199872E+08   0.586371E+15
    943947   0.253499E+08   0.939864E+15
   1122548   0.318888E+08   0.148211E+16
   1334942   0.402284E+08   0.237055E+16
   1587523   0.507473E+08   0.378005E+16
   1887894   0.639190E+08   0.598812E+16
   2245097   0.799935E+08   0.939962E+16
   2669885   0.100388E+09   0.148547E+17
   3175046   0.126166E+09   0.234641E+17
   3775787   0.159068E+09   0.371372E+17
   4490193   0.200062E+09   0.586601E+17
   5339769   0.253686E+09   0.944900E+17
   6350091   0.320403E+09   0.150614E+18
   7551573   0.403573E+09   0.238133E+18
   8980384   0.510649E+09   0.380818E+18
  10679537   0.643709E+09   0.606306E+18
  12700181   0.806986E+09   0.953808E+18
  15103146   0.102338E+10   0.153476E+19
  17960769   0.128175E+10   0.240705E+19
  21359074   0.162736E+10   0.387723E+19
  25400363   0.205522E+10   0.618870E+19
  30206292   0.258343E+10   0.976734E+19
