 Program Mean-density FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight=  0.000000000000000E+000
 STEPDIS= GAU
 STEPSIG=   1.00000000000000     
 GAMMMA=   1.60000000000000     
 NT=     33554432
 L=   40000.0000000000     
 DECAYFACTOR=    1.00000000000000     
 NWALKERS_PER_SET=          64
 NSETS=          32
 IRINIT=           1
 NCONF=        2048
 FORCE_TYPE= LINEAR
 GRAD_FORM= SYMM
 GRAD_DX=            1
 KILL_FBM_TIME=    33554432
 WALKER_SIGMA=  0.500000000000000     
 WALKER_WIDTH=    1.50000000000000     
 NBINS=       200000
 ==================================
    time         <r^2>         <r^4>
         1   0.102707E+01   0.339380E+01
         2   0.138032E+01   0.577024E+01
         3   0.154640E+01   0.728437E+01
         4   0.178741E+01   0.999880E+01
         5   0.190970E+01   0.107530E+02
         6   0.209264E+01   0.129171E+02
         7   0.223702E+01   0.156289E+02
         8   0.235930E+01   0.173161E+02
        10   0.245964E+01   0.176248E+02
        12   0.270267E+01   0.209200E+02
        14   0.286678E+01   0.244764E+02
        17   0.308842E+01   0.285860E+02
        20   0.320089E+01   0.312852E+02
        24   0.355834E+01   0.374135E+02
        29   0.382998E+01   0.447924E+02
        34   0.418018E+01   0.528524E+02
        40   0.415468E+01   0.541211E+02
        48   0.479817E+01   0.728400E+02
        57   0.523079E+01   0.837677E+02
        68   0.548426E+01   0.887132E+02
        81   0.592083E+01   0.103763E+03
        96   0.625926E+01   0.112771E+03
       114   0.658731E+01   0.132409E+03
       136   0.658196E+01   0.130532E+03
       162   0.700893E+01   0.147453E+03
       193   0.786523E+01   0.197986E+03
       230   0.855780E+01   0.224662E+03
       274   0.915113E+01   0.243238E+03
       326   0.102428E+02   0.314906E+03
       388   0.105168E+02   0.324526E+03
       461   0.114540E+02   0.400418E+03
       548   0.120788E+02   0.412271E+03
       652   0.134524E+02   0.555410E+03
       775   0.146210E+02   0.616522E+03
       922   0.156740E+02   0.733247E+03
      1096   0.165780E+02   0.789390E+03
      1303   0.173737E+02   0.957660E+03
      1550   0.184676E+02   0.111310E+04
      1843   0.196970E+02   0.118953E+04
      2192   0.220470E+02   0.151850E+04
      2607   0.221821E+02   0.152989E+04
      3100   0.248585E+02   0.187934E+04
      3687   0.277003E+02   0.211912E+04
      4385   0.281786E+02   0.236585E+04
      5215   0.307179E+02   0.285961E+04
      6202   0.330163E+02   0.324498E+04
      7375   0.351462E+02   0.358847E+04
      8770   0.381538E+02   0.453573E+04
     10429   0.392016E+02   0.463811E+04
     12402   0.426458E+02   0.521080E+04
     14749   0.468979E+02   0.624296E+04
     17540   0.485065E+02   0.708311E+04
     20859   0.503777E+02   0.734283E+04
     24806   0.528996E+02   0.789979E+04
     29499   0.589760E+02   0.995000E+04
     35080   0.648394E+02   0.116836E+05
     41717   0.707685E+02   0.148064E+05
     49610   0.739758E+02   0.159349E+05
     58997   0.779847E+02   0.172490E+05
     70160   0.825378E+02   0.195761E+05
     83435   0.920388E+02   0.252571E+05
     99221   0.939774E+02   0.257834E+05
    117994   0.106808E+03   0.324051E+05
    140319   0.113339E+03   0.387741E+05
    166868   0.116856E+03   0.412153E+05
    198441   0.129987E+03   0.492256E+05
    235987   0.139300E+03   0.564486E+05
    280637   0.144058E+03   0.631997E+05
    333736   0.161245E+03   0.818920E+05
    396881   0.170599E+03   0.935556E+05
    471974   0.175654E+03   0.920556E+05
    561275   0.192711E+03   0.110908E+06
    667472   0.203188E+03   0.119662E+06
    793762   0.225475E+03   0.150291E+06
    943947   0.242744E+03   0.173509E+06
   1122548   0.259406E+03   0.194522E+06
   1334942   0.274448E+03   0.227708E+06
   1587523   0.311494E+03   0.294026E+06
   1887894   0.307787E+03   0.267068E+06
   2245097   0.357361E+03   0.374620E+06
   2669885   0.387984E+03   0.415379E+06
   3175046   0.404815E+03   0.451530E+06
   3775787   0.451140E+03   0.586863E+06
   4490193   0.476321E+03   0.649864E+06
   5339769   0.522418E+03   0.779265E+06
   6350091   0.565178E+03   0.971561E+06
   7551573   0.580348E+03   0.997640E+06
   8980384   0.628777E+03   0.116129E+07
  10679537   0.666726E+03   0.127050E+07
  12700181   0.650700E+03   0.116710E+07
  15103146   0.721371E+03   0.159311E+07
  17960769   0.812558E+03   0.198701E+07
  21359074   0.835692E+03   0.212752E+07
  25400363   0.948978E+03   0.261879E+07
  30206292   0.979683E+03   0.307049E+07
