 Program Mean-density FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight= -0.250000000000000     
 STEPDIS= GAU
 STEPSIG=   1.00000000000000     
 GAMMMA=   1.30000000000000     
 NT=      2097152
 L=   20000.0000000000     
 NWALKERS_PER_SET=         128
 NSETS=          16
 IRINIT=           1
 NCONF=        2048
 FORCE_TYPE= LINEAR
 GRAD_FORM= SYMM
 GRAD_DX=            1
 KILL_FBM_TIME=     2097152
 WALKER_SIGMA=  0.500000000000000     
 WALKER_WIDTH=    1.50000000000000     
 NBINS=       100000
 ==================================
    time         <r^2>         <r^4>
         1   0.102528E+01   0.318987E+01
         2   0.173049E+01   0.875808E+01
         3   0.223436E+01   0.147845E+02
         4   0.280111E+01   0.243783E+02
         5   0.322331E+01   0.310623E+02
         6   0.373287E+01   0.398202E+02
         7   0.417280E+01   0.508384E+02
         8   0.456670E+01   0.610765E+02
        10   0.516488E+01   0.729988E+02
        12   0.604758E+01   0.101799E+03
        14   0.682798E+01   0.134276E+03
        17   0.780518E+01   0.174899E+03
        20   0.864969E+01   0.211353E+03
        24   0.100899E+02   0.283089E+03
        29   0.117554E+02   0.397921E+03
        34   0.135129E+02   0.516892E+03
        40   0.148988E+02   0.622281E+03
        48   0.182972E+02   0.923915E+03
        57   0.214242E+02   0.120118E+04
        68   0.246301E+02   0.151432E+04
        81   0.291418E+02   0.207468E+04
        96   0.342607E+02   0.274273E+04
       114   0.400718E+02   0.367544E+04
       136   0.456896E+02   0.469524E+04
       162   0.552634E+02   0.669103E+04
       193   0.683514E+02   0.996780E+04
       230   0.856194E+02   0.148741E+05
       274   0.105616E+03   0.210040E+05
       326   0.132388E+03   0.332237E+05
       388   0.159794E+03   0.465257E+05
       461   0.199654E+03   0.712087E+05
       548   0.251235E+03   0.107307E+06
       652   0.324488E+03   0.171381E+06
       775   0.417141E+03   0.275501E+06
       922   0.535373E+03   0.441065E+06
      1096   0.683002E+03   0.694041E+06
      1303   0.860604E+03   0.110802E+07
      1550   0.109220E+04   0.175923E+07
      1843   0.140388E+04   0.286896E+07
      2192   0.180204E+04   0.469479E+07
      2607   0.227501E+04   0.731731E+07
      3100   0.294229E+04   0.121537E+08
      3687   0.378670E+04   0.200600E+08
      4385   0.480540E+04   0.322568E+08
      5215   0.610603E+04   0.522733E+08
      6202   0.779002E+04   0.852573E+08
      7375   0.982949E+04   0.137235E+09
      8770   0.125004E+05   0.221369E+09
     10429   0.158456E+05   0.353428E+09
     12402   0.202533E+05   0.581009E+09
     14749   0.254419E+05   0.918962E+09
     17540   0.319991E+05   0.145913E+10
     20859   0.400636E+05   0.229766E+10
     24806   0.505106E+05   0.367707E+10
     29499   0.640295E+05   0.592659E+10
     35080   0.803936E+05   0.936082E+10
     41717   0.100573E+06   0.147054E+11
     49610   0.125513E+06   0.229773E+11
     58997   0.157277E+06   0.362624E+11
     70160   0.197720E+06   0.574114E+11
     83435   0.248916E+06   0.909727E+11
     99221   0.311325E+06   0.141911E+12
    117994   0.392607E+06   0.225739E+12
    140319   0.495141E+06   0.357404E+12
    166868   0.623559E+06   0.565043E+12
    198441   0.787084E+06   0.898947E+12
    235987   0.992901E+06   0.142917E+13
    280637   0.125349E+07   0.227395E+13
    333736   0.158330E+07   0.362370E+13
    396881   0.199907E+07   0.578333E+13
    471974   0.253127E+07   0.926038E+13
    561275   0.319558E+07   0.147651E+14
    667472   0.403639E+07   0.235104E+14
    793762   0.507540E+07   0.371139E+14
    943947   0.642040E+07   0.594945E+14
   1122548   0.811553E+07   0.947929E+14
   1334942   0.102346E+08   0.151050E+15
   1587523   0.129342E+08   0.242301E+15
   1887894   0.163059E+08   0.383461E+15
