 Program Mean-density FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight= -0.250000000000000     
 STEPDIS= GAU
 STEPSIG=   1.00000000000000     
 GAMMMA=   1.30000000000000     
 NT=      2097152
 L=   20000.0000000000     
 NWALKERS_PER_SET=          16
 NSETS=         128
 IRINIT=           1
 NCONF=        2048
 FORCE_TYPE= LINEAR
 GRAD_FORM= SYMM
 GRAD_DX=            1
 KILL_FBM_TIME=     2097152
 WALKER_SIGMA=  0.500000000000000     
 WALKER_WIDTH=    1.50000000000000     
 NBINS=       100000
 ==================================
    time         <r^2>         <r^4>
         1   0.102528E+01   0.318987E+01
         2   0.173057E+01   0.875861E+01
         3   0.223465E+01   0.147918E+02
         4   0.280187E+01   0.243966E+02
         5   0.322451E+01   0.310857E+02
         6   0.373365E+01   0.398451E+02
         7   0.417537E+01   0.508963E+02
         8   0.456904E+01   0.611232E+02
        10   0.517294E+01   0.731538E+02
        12   0.606110E+01   0.102151E+03
        14   0.684482E+01   0.134905E+03
        17   0.782601E+01   0.175907E+03
        20   0.867914E+01   0.212897E+03
        24   0.101373E+02   0.285254E+03
        29   0.118165E+02   0.401422E+03
        34   0.136136E+02   0.523904E+03
        40   0.150372E+02   0.631110E+03
        48   0.185037E+02   0.942086E+03
        57   0.216997E+02   0.123356E+04
        68   0.249454E+02   0.155472E+04
        81   0.295254E+02   0.212698E+04
        96   0.347977E+02   0.282750E+04
       114   0.408057E+02   0.381188E+04
       136   0.468000E+02   0.490269E+04
       162   0.564700E+02   0.694894E+04
       193   0.700310E+02   0.104822E+05
       230   0.879098E+02   0.157064E+05
       274   0.109100E+03   0.225953E+05
       326   0.136946E+03   0.357079E+05
       388   0.167081E+03   0.502893E+05
       461   0.209522E+03   0.779021E+05
       548   0.261489E+03   0.116664E+06
       652   0.337956E+03   0.188738E+06
       775   0.432878E+03   0.302861E+06
       922   0.553984E+03   0.485075E+06
      1096   0.704979E+03   0.758629E+06
      1303   0.893044E+03   0.121773E+07
      1550   0.113779E+04   0.194137E+07
      1843   0.145809E+04   0.316141E+07
      2192   0.186538E+04   0.517397E+07
      2607   0.234846E+04   0.806072E+07
      3100   0.305274E+04   0.135636E+08
      3687   0.394679E+04   0.225614E+08
      4385   0.495328E+04   0.352086E+08
      5215   0.628955E+04   0.577131E+08
      6202   0.796337E+04   0.927756E+08
      7375   0.101371E+05   0.150178E+09
      8770   0.130482E+05   0.249646E+09
     10429   0.166541E+05   0.399596E+09
     12402   0.211943E+05   0.646688E+09
     14749   0.267852E+05   0.103711E+10
     17540   0.339270E+05   0.167111E+10
     20859   0.428370E+05   0.266852E+10
     24806   0.540363E+05   0.429814E+10
     29499   0.681499E+05   0.691557E+10
     35080   0.862582E+05   0.110987E+11
     41717   0.108473E+06   0.176539E+11
     49610   0.136745E+06   0.282752E+11
     58997   0.171193E+06   0.445888E+11
     70160   0.215145E+06   0.706412E+11
     83435   0.268669E+06   0.110692E+12
     99221   0.335653E+06   0.173700E+12
    117994   0.419232E+06   0.272073E+12
    140319   0.527393E+06   0.432764E+12
    166868   0.651476E+06   0.664998E+12
    198441   0.829310E+06   0.107672E+13
    235987   0.103866E+07   0.168390E+13
    280637   0.131519E+07   0.269599E+13
    333736   0.165151E+07   0.424449E+13
    396881   0.209741E+07   0.684819E+13
    471974   0.261961E+07   0.106963E+14
    561275   0.330356E+07   0.169620E+14
    667472   0.419987E+07   0.272443E+14
    793762   0.530220E+07   0.430595E+14
    943947   0.669151E+07   0.691129E+14
   1122548   0.849944E+07   0.111841E+15
   1334942   0.107790E+08   0.181018E+15
   1587523   0.136255E+08   0.292279E+15
   1887894   0.171469E+08   0.459736E+15
