 Program Mean-density FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight= -0.250000000000000     
 STEPDIS= GAU
 STEPSIG=   1.00000000000000     
 GAMMMA=   1.30000000000000     
 NT=      2097152
 L=   20000.0000000000     
 NWALKERS_PER_SET=           2
 NSETS=        1024
 IRINIT=           1
 NCONF=        2048
 FORCE_TYPE= LINEAR
 GRAD_FORM= SYMM
 GRAD_DX=            1
 KILL_FBM_TIME=     2097152
 WALKER_SIGMA=  0.500000000000000     
 WALKER_WIDTH=    1.50000000000000     
 NBINS=       100000
 ==================================
    time         <r^2>         <r^4>
         1   0.102528E+01   0.318987E+01
         2   0.172771E+01   0.873745E+01
         3   0.223192E+01   0.147530E+02
         4   0.279950E+01   0.243856E+02
         5   0.322942E+01   0.311552E+02
         6   0.373926E+01   0.399739E+02
         7   0.418261E+01   0.512265E+02
         8   0.458593E+01   0.616103E+02
        10   0.520552E+01   0.740155E+02
        12   0.610910E+01   0.103914E+03
        14   0.693398E+01   0.138472E+03
        17   0.795826E+01   0.181867E+03
        20   0.885596E+01   0.221768E+03
        24   0.103817E+02   0.298337E+03
        29   0.122189E+02   0.426580E+03
        34   0.141424E+02   0.566137E+03
        40   0.157550E+02   0.694014E+03
        48   0.195121E+02   0.105652E+04
        57   0.231629E+02   0.141574E+04
        68   0.268814E+02   0.182177E+04
        81   0.320772E+02   0.251951E+04
        96   0.385812E+02   0.350706E+04
       114   0.459998E+02   0.486447E+04
       136   0.538253E+02   0.648262E+04
       162   0.667763E+02   0.972456E+04
       193   0.850915E+02   0.153595E+05
       230   0.107148E+03   0.234764E+05
       274   0.135984E+03   0.362188E+05
       326   0.177912E+03   0.607843E+05
       388   0.224743E+03   0.935149E+05
       461   0.286642E+03   0.147433E+06
       548   0.365275E+03   0.233072E+06
       652   0.477733E+03   0.396890E+06
       775   0.624612E+03   0.667468E+06
       922   0.810460E+03   0.111103E+07
      1096   0.105156E+04   0.181973E+07
      1303   0.135379E+04   0.300037E+07
      1550   0.173446E+04   0.496532E+07
      1843   0.223249E+04   0.816886E+07
      2192   0.289991E+04   0.137418E+08
      2607   0.369791E+04   0.227306E+08
      3100   0.473652E+04   0.377938E+08
      3687   0.616304E+04   0.647459E+08
      4385   0.787274E+04   0.106048E+09
      5215   0.102202E+05   0.181878E+09
      6202   0.132911E+05   0.310828E+09
      7375   0.171601E+05   0.513663E+09
      8770   0.220850E+05   0.848592E+09
     10429   0.281248E+05   0.139679E+10
     12402   0.360036E+05   0.229510E+10
     14749   0.465443E+05   0.389232E+10
     17540   0.589678E+05   0.625247E+10
     20859   0.752039E+05   0.102381E+11
     24806   0.952279E+05   0.166649E+11
     29499   0.119696E+06   0.262470E+11
     35080   0.152925E+06   0.432287E+11
     41717   0.192806E+06   0.695091E+11
     49610   0.242781E+06   0.113155E+12
     58997   0.305820E+06   0.183516E+12
     70160   0.386106E+06   0.293186E+12
     83435   0.482228E+06   0.461459E+12
     99221   0.612346E+06   0.745295E+12
    117994   0.778754E+06   0.119703E+13
    140319   0.989087E+06   0.195097E+13
    166868   0.124625E+07   0.309610E+13
    198441   0.160596E+07   0.512016E+13
    235987   0.204480E+07   0.807431E+13
    280637   0.262102E+07   0.134624E+14
    333736   0.323553E+07   0.205995E+14
    396881   0.403951E+07   0.330389E+14
    471974   0.499176E+07   0.496523E+14
    561275   0.624172E+07   0.772595E+14
    667472   0.773762E+07   0.121385E+15
    793762   0.972753E+07   0.189697E+15
    943947   0.123478E+08   0.304529E+15
   1122548   0.158286E+08   0.501485E+15
   1334942   0.201661E+08   0.813732E+15
   1587523   0.246108E+08   0.116819E+16
   1887894   0.303722E+08   0.167559E+16
