 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight= -0.25000000000000000     
 STEPDIS= GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=   1.0000000000000000     
 NT=        16384
 L=   1000000.0000000000     
 NWALKERS_PER_SET=          64
 NSETS=         120
 IRINIT=           1
 NCONF=        7680
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=       16384
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=      5000000
 ==================================
    time         <r^2>         <r^4>
         1   0.998579E+00   0.300427E+01
         2   0.200848E+01   0.117372E+02
         3   0.308313E+01   0.282802E+02
         4   0.411465E+01   0.510232E+02
         5   0.509551E+01   0.770692E+02
         6   0.611230E+01   0.108791E+03
         7   0.712621E+01   0.147152E+03
         8   0.813850E+01   0.189780E+03
        10   0.100951E+02   0.290800E+03
        12   0.122061E+02   0.435083E+03
        14   0.142571E+02   0.594400E+03
        17   0.174972E+02   0.901056E+03
        20   0.204964E+02   0.123035E+04
        24   0.249343E+02   0.180691E+04
        29   0.301156E+02   0.262907E+04
        34   0.352598E+02   0.354329E+04
        40   0.407661E+02   0.477598E+04
        48   0.497665E+02   0.717593E+04
        57   0.599924E+02   0.103985E+05
        68   0.716986E+02   0.145325E+05
        81   0.856978E+02   0.202514E+05
        96   0.102537E+03   0.287140E+05
       114   0.122026E+03   0.411720E+05
       136   0.145010E+03   0.599546E+05
       162   0.174356E+03   0.845630E+05
       193   0.211309E+03   0.124370E+06
       230   0.254734E+03   0.178350E+06
       274   0.305236E+03   0.250737E+06
       326   0.371995E+03   0.371721E+06
       388   0.446977E+03   0.524458E+06
       461   0.538471E+03   0.757141E+06
       548   0.657091E+03   0.111749E+07
       652   0.801460E+03   0.167660E+07
       775   0.968834E+03   0.240291E+07
       922   0.116542E+04   0.352853E+07
      1096   0.140053E+04   0.500750E+07
      1303   0.168067E+04   0.714818E+07
      1550   0.202002E+04   0.999130E+07
      1843   0.246050E+04   0.144953E+08
      2192   0.302023E+04   0.216481E+08
      2607   0.363857E+04   0.311176E+08
      3100   0.446727E+04   0.460381E+08
      3687   0.546224E+04   0.681164E+08
      4385   0.663084E+04   0.982432E+08
      5215   0.810493E+04   0.143535E+09
      6202   0.997616E+04   0.215649E+09
      7375   0.121609E+05   0.312597E+09
      8770   0.148466E+05   0.463142E+09
     10429   0.179587E+05   0.658333E+09
     12402   0.222764E+05   0.996503E+09
     14749   0.278694E+05   0.154838E+10
