 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight= -0.25000000000000000     
 STEPDIS= GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=   1.0000000000000000     
 NT=       262144
 L=   1000000.0000000000     
 NWALKERS_PER_SET=          64
 NSETS=        1080
 IRINIT=           1
 NCONF=       69120
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=      262144
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=      5000000
 ==================================
    time         <r^2>         <r^4>
         1   0.995915E+00   0.298485E+01
         2   0.199311E+01   0.119165E+02
         3   0.301027E+01   0.271247E+02
         4   0.400856E+01   0.480620E+02
         5   0.499947E+01   0.744735E+02
         6   0.602231E+01   0.107228E+03
         7   0.705310E+01   0.147000E+03
         8   0.809363E+01   0.193047E+03
        10   0.101671E+02   0.304027E+03
        12   0.122260E+02   0.438741E+03
        14   0.143003E+02   0.598796E+03
        17   0.174725E+02   0.901832E+03
        20   0.205412E+02   0.124120E+04
        24   0.248437E+02   0.181744E+04
        29   0.301806E+02   0.266332E+04
        34   0.354981E+02   0.364516E+04
        40   0.418044E+02   0.502516E+04
        48   0.503316E+02   0.724320E+04
        57   0.600991E+02   0.101718E+05
        68   0.720482E+02   0.146397E+05
        81   0.867530E+02   0.212604E+05
        96   0.103548E+03   0.303020E+05
       114   0.123595E+03   0.429666E+05
       136   0.148228E+03   0.618294E+05
       162   0.178191E+03   0.889270E+05
       193   0.213972E+03   0.127090E+06
       230   0.257183E+03   0.181027E+06
       274   0.309642E+03   0.258977E+06
       326   0.374116E+03   0.375484E+06
       388   0.449320E+03   0.540182E+06
       461   0.538457E+03   0.765698E+06
       548   0.647353E+03   0.109773E+07
       652   0.783089E+03   0.159661E+07
       775   0.942430E+03   0.229481E+07
       922   0.113364E+04   0.328068E+07
      1096   0.136868E+04   0.473031E+07
      1303   0.166035E+04   0.684875E+07
      1550   0.201422E+04   0.993903E+07
      1843   0.243126E+04   0.143026E+08
      2192   0.296467E+04   0.209501E+08
      2607   0.361861E+04   0.307889E+08
      3100   0.440855E+04   0.451249E+08
      3687   0.537847E+04   0.659108E+08
      4385   0.657436E+04   0.968510E+08
      5215   0.804079E+04   0.142624E+09
      6202   0.983921E+04   0.210177E+09
      7375   0.120496E+05   0.309834E+09
      8770   0.148184E+05   0.461672E+09
     10429   0.182318E+05   0.684751E+09
     12402   0.224161E+05   0.102511E+10
     14749   0.275810E+05   0.152658E+10
     17540   0.340070E+05   0.227902E+10
     20859   0.419166E+05   0.339423E+10
     24806   0.521893E+05   0.517738E+10
     29499   0.649157E+05   0.786749E+10
     35080   0.809006E+05   0.120573E+11
     41717   0.100797E+06   0.184330E+11
     49610   0.125618E+06   0.282160E+11
     58997   0.156434E+06   0.431704E+11
     70160   0.195315E+06   0.662042E+11
     83435   0.244444E+06   0.102533E+12
     99221   0.305433E+06   0.158242E+12
    117994   0.381528E+06   0.245146E+12
    140319   0.479991E+06   0.383633E+12
    166868   0.600871E+06   0.594644E+12
    198441   0.754281E+06   0.925887E+12
    235987   0.948188E+06   0.144912E+13
