Program Mean-density FBM Gaussian Binned (procs as sets)
Instantaneous probability density distribution
force_weight= -0.25000000000000000
STEPDIS= GAU
STEPSIG= 1.0000000000000000
GAMMMA= 1.0000000000000000
NT= 262144
L= 1000000.0000000000
NWALKERS_PER_SET= 64
NSETS= 1080
IRINIT= 1
NCONF= 69120
FORCE_TYPE= LINEAR
FORCE_TEST= NONE
GRAD_FORM= SYMM
GRAD_DX= 1
GRAD_TEST= NONE
KILL_FBM_TIME= 262144
WALKER_SIGMA= 0.50000000000000000
WALKER_WIDTH= 1.5000000000000000
NBINS= 5000000
NTSTART= 262134
NTEND= 262144
REBIN_BINWIDTH_FACTOR= 10
x_rms(t_last=235987)= 973.749454428602
==================================
 ibin            x               x/x_rms         P(|x|)          x_rms*P        
 -2.531300E+04   -2.531300E+03   -2.599539E+00    9.348916E-07    9.103502E-04  
 -2.530300E+04   -2.530300E+03   -2.598512E+00    5.010675E-06    4.879142E-03  
 -2.529300E+04   -2.529300E+03   -2.597485E+00    6.834198E-06    6.654797E-03  
 -2.528300E+04   -2.528300E+03   -2.596458E+00    1.628771E-05    1.586015E-02  
 -2.527300E+04   -2.527300E+03   -2.595431E+00    1.424732E-05    1.387332E-02  
 -2.526300E+04   -2.526300E+03   -2.594405E+00    2.125321E-05    2.069530E-02  
 -2.525300E+04   -2.525300E+03   -2.593378E+00    2.866658E-05    2.791406E-02  
 -2.524300E+04   -2.524300E+03   -2.592351E+00    1.866986E-05    1.817976E-02  
 -2.523300E+04   -2.523300E+03   -2.591324E+00    1.873281E-05    1.824106E-02  
 -2.522300E+04   -2.522300E+03   -2.590297E+00    1.778395E-05    1.731712E-02  
 -2.521300E+04   -2.521300E+03   -2.589270E+00    8.928123E-06    8.693755E-03  
 -2.520300E+04   -2.520300E+03   -2.588243E+00    1.475162E-06    1.436438E-03  
 -2.519300E+04   -2.519300E+03   -2.587216E+00    7.619590E-09    7.419572E-06  
 -2.518300E+04   -2.518300E+03   -2.586189E+00    0.000000E+00    0.000000E+00  
 -2.517300E+04   -2.517300E+03   -2.585162E+00    0.000000E+00    0.000000E+00  
 -2.516300E+04   -2.516300E+03   -2.584135E+00    0.000000E+00    0.000000E+00  
 -2.515300E+04   -2.515300E+03   -2.583108E+00    0.000000E+00    0.000000E+00  
 -2.514300E+04   -2.514300E+03   -2.582081E+00    0.000000E+00    0.000000E+00  
 -2.513300E+04   -2.513300E+03   -2.581054E+00    0.000000E+00    0.000000E+00  
 -2.512300E+04   -2.512300E+03   -2.580027E+00    0.000000E+00    0.000000E+00  
 -2.511300E+04   -2.511300E+03   -2.579000E+00    0.000000E+00    0.000000E+00  
 -2.510300E+04   -2.510300E+03   -2.577973E+00    0.000000E+00    0.000000E+00  
 -2.509300E+04   -2.509300E+03   -2.576946E+00    0.000000E+00    0.000000E+00  
 -2.508300E+04   -2.508300E+03   -2.575919E+00    0.000000E+00    0.000000E+00  
 -2.507300E+04   -2.507300E+03   -2.574892E+00    0.000000E+00    0.000000E+00  
 -2.506300E+04   -2.506300E+03   -2.573865E+00    0.000000E+00    0.000000E+00  
 -2.505300E+04   -2.505300E+03   -2.572838E+00    0.000000E+00    0.000000E+00  
 -2.504300E+04   -2.504300E+03   -2.571811E+00    0.000000E+00    0.000000E+00  
 -2.503300E+04   -2.503300E+03   -2.570784E+00    0.000000E+00    0.000000E+00  
 -2.502300E+04   -2.502300E+03   -2.569758E+00    0.000000E+00    0.000000E+00  
 -2.501300E+04   -2.501300E+03   -2.568731E+00    0.000000E+00    0.000000E+00  
 -2.500300E+04   -2.500300E+03   -2.567704E+00    0.000000E+00    0.000000E+00  
 -2.499300E+04   -2.499300E+03   -2.566677E+00    0.000000E+00    0.000000E+00  
 -2.498300E+04   -2.498300E+03   -2.565650E+00    0.000000E+00    0.000000E+00  
 -2.497300E+04   -2.497300E+03   -2.564623E+00    0.000000E+00    0.000000E+00  
 -2.496300E+04   -2.496300E+03   -2.563596E+00    0.000000E+00    0.000000E+00  
 -2.495300E+04   -2.495300E+03   -2.562569E+00    0.000000E+00    0.000000E+00  
 -2.494300E+04   -2.494300E+03   -2.561542E+00    0.000000E+00    0.000000E+00  
 -2.493300E+04   -2.493300E+03   -2.560515E+00    0.000000E+00    0.000000E+00  
