Program Mean-density FBM Gaussian Binned (procs as sets)
Integrated density distribution
force_weight= -0.25000000000000000
STEPDIS= GAU
STEPSIG= 1.0000000000000000
GAMMMA= 1.0000000000000000
NT= 1048576
L= 1000000.0000000000
NWALKERS_PER_SET= 64
NSETS= 120
IRINIT= 1
NCONF= 7680
FORCE_TYPE= LINEAR
FORCE_TEST= NONE
GRAD_FORM= SYMM
GRAD_DX= 1
GRAD_TEST= NONE
KILL_FBM_TIME= 1048576
WALKER_SIGMA= 0.50000000000000000
WALKER_WIDTH= 1.5000000000000000
NBINS= 5000000
NTSTART= 0
NTEND= 1048576
REBIN_BINWIDTH_FACTOR= 10
x_rms(t_last=943947)= 2457.4092048334155
==================================
 ibin            x               x/x_rms         P(|x|)          (x_rms/t_last)P
 -5.823300E+04   -5.823300E+03   -2.369691E+00    1.483605E-05    3.862320E-08  
 -5.822300E+04   -5.822300E+03   -2.369284E+00    1.356078E-04    3.530322E-07  
 -5.821300E+04   -5.821300E+03   -2.368877E+00    2.087054E-04    5.433299E-07  
 -5.820300E+04   -5.820300E+03   -2.368470E+00    4.299188E-04    1.119222E-06  
 -5.819300E+04   -5.819300E+03   -2.368063E+00    6.912829E-04    1.799640E-06  
 -5.818300E+04   -5.818300E+03   -2.367656E+00    5.418931E-04    1.410729E-06  
 -5.817300E+04   -5.817300E+03   -2.367249E+00    9.165335E-04    2.386043E-06  
 -5.816300E+04   -5.816300E+03   -2.366842E+00    1.424414E-03    3.708225E-06  
 -5.815300E+04   -5.815300E+03   -2.366435E+00    1.400884E-03    3.646968E-06  
 -5.814300E+04   -5.814300E+03   -2.366028E+00    1.212682E-03    3.157015E-06  
 -5.813300E+04   -5.813300E+03   -2.365621E+00    9.534002E-04    2.482019E-06  
 -5.812300E+04   -5.812300E+03   -2.365215E+00    8.984582E-04    2.338987E-06  
 -5.811300E+04   -5.811300E+03   -2.364808E+00    9.569028E-04    2.491137E-06  
 -5.810300E+04   -5.810300E+03   -2.364401E+00    1.225518E-03    3.190432E-06  
 -5.809300E+04   -5.809300E+03   -2.363994E+00    1.769430E-03    4.606418E-06  
 -5.808300E+04   -5.808300E+03   -2.363587E+00    1.530983E-03    3.985661E-06  
 -5.807300E+04   -5.807300E+03   -2.363180E+00    1.787453E-03    4.653336E-06  
 -5.806300E+04   -5.806300E+03   -2.362773E+00    1.850064E-03    4.816335E-06  
 -5.805300E+04   -5.805300E+03   -2.362366E+00    2.334094E-03    6.076427E-06  
 -5.804300E+04   -5.804300E+03   -2.361959E+00    3.484396E-03    9.071047E-06  
 -5.803300E+04   -5.803300E+03   -2.361552E+00    5.115984E-03    1.331861E-05  
 -5.802300E+04   -5.802300E+03   -2.361145E+00    5.949500E-03    1.548853E-05  
 -5.801300E+04   -5.801300E+03   -2.360738E+00    6.484511E-03    1.688135E-05  
 -5.800300E+04   -5.800300E+03   -2.360331E+00    8.704452E-03    2.266059E-05  
 -5.799300E+04   -5.799300E+03   -2.359924E+00    1.006302E-02    2.619739E-05  
 -5.798300E+04   -5.798300E+03   -2.359517E+00    8.593720E-03    2.237232E-05  
 -5.797300E+04   -5.797300E+03   -2.359111E+00    7.942323E-03    2.067652E-05  
 -5.796300E+04   -5.796300E+03   -2.358704E+00    8.586224E-03    2.235281E-05  
 -5.795300E+04   -5.795300E+03   -2.358297E+00    8.655343E-03    2.253275E-05  
