 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight= -0.25000000000000000     
 STEPDIS= GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=   1.0000000000000000     
 NT=      8388608
 L=   1000000.0000000000     
 NWALKERS_PER_SET=          64
 NSETS=         480
 IRINIT=           1
 NCONF=       30720
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=     8388608
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=      5000000
 ==================================
    time         <r^2>         <r^4>
         1   0.999605E+00   0.305554E+01
         2   0.198751E+01   0.117348E+02
         3   0.301597E+01   0.270919E+02
         4   0.402260E+01   0.486154E+02
         5   0.503894E+01   0.758652E+02
         6   0.606925E+01   0.108076E+03
         7   0.707769E+01   0.146431E+03
         8   0.812114E+01   0.193704E+03
        10   0.101937E+02   0.304654E+03
        12   0.122474E+02   0.444427E+03
        14   0.142828E+02   0.601249E+03
        17   0.173332E+02   0.893727E+03
        20   0.204197E+02   0.123508E+04
        24   0.246678E+02   0.179564E+04
        29   0.298942E+02   0.263009E+04
        34   0.353399E+02   0.362763E+04
        40   0.415488E+02   0.498758E+04
        48   0.502835E+02   0.722672E+04
        57   0.601612E+02   0.102107E+05
        68   0.723119E+02   0.147392E+05
        81   0.868259E+02   0.214439E+05
        96   0.103519E+03   0.304663E+05
       114   0.123837E+03   0.436097E+05
       136   0.148887E+03   0.633806E+05
       162   0.178785E+03   0.906303E+05
       193   0.214831E+03   0.128720E+06
       230   0.258260E+03   0.183813E+06
       274   0.310545E+03   0.262047E+06
       326   0.374077E+03   0.375485E+06
       388   0.450413E+03   0.540904E+06
       461   0.538244E+03   0.766737E+06
       548   0.649581E+03   0.110809E+07
       652   0.787993E+03   0.162530E+07
       775   0.946652E+03   0.232228E+07
       922   0.113599E+04   0.331166E+07
      1096   0.137212E+04   0.476702E+07
      1303   0.166368E+04   0.690176E+07
      1550   0.200990E+04   0.988782E+07
      1843   0.243107E+04   0.142050E+08
      2192   0.296485E+04   0.208766E+08
      2607   0.362063E+04   0.305748E+08
      3100   0.442180E+04   0.454666E+08
      3687   0.538925E+04   0.662776E+08
      4385   0.654084E+04   0.964490E+08
      5215   0.796923E+04   0.140452E+09
      6202   0.975038E+04   0.207506E+09
      7375   0.119695E+05   0.307908E+09
      8770   0.147662E+05   0.459963E+09
     10429   0.181198E+05   0.676560E+09
     12402   0.223135E+05   0.101384E+10
     14749   0.276805E+05   0.153636E+10
     17540   0.340686E+05   0.228326E+10
     20859   0.418892E+05   0.336910E+10
     24806   0.519622E+05   0.512594E+10
     29499   0.649207E+05   0.787957E+10
     35080   0.809690E+05   0.120812E+11
     41717   0.100319E+06   0.182700E+11
     49610   0.125389E+06   0.281132E+11
     58997   0.156663E+06   0.433567E+11
     70160   0.195786E+06   0.664686E+11
     83435   0.244839E+06   0.102925E+12
     99221   0.305265E+06   0.158141E+12
    117994   0.381478E+06   0.245831E+12
    140319   0.479331E+06   0.382686E+12
    166868   0.599986E+06   0.593495E+12
    198441   0.753527E+06   0.924855E+12
    235987   0.947611E+06   0.145123E+13
    280637   0.118817E+07   0.226479E+13
    333736   0.149259E+07   0.353133E+13
    396881   0.187877E+07   0.555542E+13
    471974   0.237929E+07   0.882880E+13
    561275   0.298878E+07   0.138612E+14
    667472   0.377191E+07   0.219120E+14
    793762   0.477203E+07   0.348777E+14
    943947   0.603631E+07   0.553098E+14
   1122548   0.762257E+07   0.878188E+14
   1334942   0.962931E+07   0.139572E+15
   1587523   0.121570E+08   0.222188E+15
   1887894   0.153077E+08   0.350929E+15
   2245097   0.193139E+08   0.556564E+15
   2669885   0.244517E+08   0.889292E+15
   3175046   0.308978E+08   0.141854E+16
   3775787   0.391523E+08   0.227327E+16
   4490193   0.493829E+08   0.361354E+16
   5339769   0.621400E+08   0.571456E+16
   6350091   0.783163E+08   0.906588E+16
   7551573   0.988019E+08   0.144053E+17
