 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight= -0.25000000000000000     
 STEPDIS= GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.50000000000000000     
 NT=        16384
 L=   1000000.0000000000     
 NWALKERS_PER_SET=          64
 NSETS=         120
 IRINIT=           1
 NCONF=        7680
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=       16384
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=      5000000
 ==================================
    time         <r^2>         <r^4>
         1   0.998375E+00   0.296264E+01
         2   0.285609E+01   0.239441E+02
         3   0.531333E+01   0.835857E+02
         4   0.817194E+01   0.196604E+03
         5   0.113341E+02   0.375948E+03
         6   0.148435E+02   0.640540E+03
         7   0.186399E+02   0.101201E+04
         8   0.226846E+02   0.148676E+04
        10   0.315266E+02   0.288250E+04
        12   0.415404E+02   0.508781E+04
        14   0.523517E+02   0.813158E+04
        17   0.704334E+02   0.147882E+05
        20   0.895365E+02   0.238483E+05
        24   0.117974E+03   0.413677E+05
        29   0.156235E+03   0.725814E+05
        34   0.197072E+03   0.115025E+06
        40   0.249843E+03   0.186017E+06
        48   0.331135E+03   0.326321E+06
        57   0.431671E+03   0.551215E+06
        68   0.562763E+03   0.927695E+06
        81   0.731548E+03   0.155916E+07
        96   0.945015E+03   0.260323E+07
       114   0.122108E+04   0.439578E+07
       136   0.158297E+04   0.751539E+07
       162   0.205868E+04   0.125933E+08
       193   0.268663E+04   0.216648E+08
       230   0.349103E+04   0.365008E+08
       274   0.454701E+04   0.608745E+08
       326   0.595933E+04   0.104660E+09
       388   0.776081E+04   0.175715E+09
       461   0.100976E+05   0.299904E+09
       548   0.131493E+05   0.509266E+09
       652   0.170908E+05   0.867605E+09
       775   0.221273E+05   0.145611E+10
       922   0.286661E+05   0.247712E+10
      1096   0.370206E+05   0.411659E+10
      1303   0.477276E+05   0.683211E+10
      1550   0.616868E+05   0.112819E+11
      1843   0.800970E+05   0.189032E+11
      2192   0.104717E+06   0.322686E+11
      2607   0.135148E+06   0.539737E+11
      3100   0.175999E+06   0.910923E+11
      3687   0.228485E+06   0.153434E+12
      4385   0.295395E+06   0.256845E+12
      5215   0.382302E+06   0.427686E+12
      6202   0.496581E+06   0.726336E+12
      7375   0.640123E+06   0.120960E+13
      8770   0.825028E+06   0.202983E+13
     10429   0.105856E+07   0.335386E+13
     12402   0.138056E+07   0.569044E+13
     14749   0.180718E+07   0.984147E+13
