 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight= -0.25000000000000000     
 STEPDIS= GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.50000000000000000     
 NT=        16384
 L=   1000000.0000000000     
 NWALKERS_PER_SET=          64
 NSETS=        1080
 IRINIT=           1
 NCONF=       69120
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=       16384
 WINDOW_WIDTH=            7
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=      5000000
 ==================================
    time         <r^2>         <r^4>
         1   0.996268E+00   0.298010E+01
         2   0.282230E+01   0.238437E+02
         3   0.520198E+01   0.808314E+02
         4   0.800201E+01   0.190690E+03
         5   0.111638E+02   0.370306E+03
         6   0.147058E+02   0.641376E+03
         7   0.185584E+02   0.102100E+04
         8   0.227044E+02   0.152375E+04
        10   0.317722E+02   0.298739E+04
        12   0.417589E+02   0.516460E+04
        14   0.526317E+02   0.820163E+04
        17   0.705081E+02   0.147792E+05
        20   0.897668E+02   0.239376E+05
        24   0.118125E+03   0.415446E+05
        29   0.157003E+03   0.734084E+05
        34   0.199302E+03   0.117893E+06
        40   0.254284E+03   0.191377E+06
        48   0.333719E+03   0.328750E+06
        57   0.432545E+03   0.549858E+06
        68   0.564063E+03   0.941370E+06
        81   0.735043E+03   0.160571E+07
        96   0.949929E+03   0.269460E+07
       114   0.122694E+04   0.451512E+07
       136   0.159686E+04   0.764486E+07
       162   0.207437E+04   0.129200E+08
       193   0.269446E+04   0.217553E+08
       230   0.350199E+04   0.366652E+08
       274   0.455928E+04   0.617324E+08
       326   0.592731E+04   0.104371E+09
       388   0.768111E+04   0.176364E+09
       461   0.993382E+04   0.294561E+09
       548   0.128506E+05   0.492766E+09
       652   0.166925E+05   0.832485E+09
       775   0.215959E+05   0.139645E+10
       922   0.279554E+05   0.234026E+10
      1096   0.362302E+05   0.393162E+10
      1303   0.470808E+05   0.661453E+10
      1550   0.611557E+05   0.111677E+11
      1843   0.790580E+05   0.186499E+11
      2192   0.102783E+06   0.314729E+11
      2607   0.133716E+06   0.533715E+11
      3100   0.173640E+06   0.899872E+11
      3687   0.225294E+06   0.151452E+12
      4385   0.292619E+06   0.255900E+12
      5215   0.379309E+06   0.429369E+12
      6202   0.491135E+06   0.721034E+12
      7375   0.635773E+06   0.121013E+13
      8770   0.824138E+06   0.203598E+13
     10429   0.106720E+07   0.341157E+13
     12402   0.138318E+07   0.572686E+13
     14749   0.179019E+07   0.960350E+13
