Program Mean-density FBM Gaussian Binned (procs as sets)
Instantaneous probability density distribution
force_weight= -0.25000000000000000
STEPDIS= GAU
STEPSIG= 1.0000000000000000
GAMMMA= 0.50000000000000000
NT= 16384
L= 1000000.0000000000
NWALKERS_PER_SET= 64
NSETS= 1080
IRINIT= 1
NCONF= 69120
FORCE_TYPE= LINEAR
FORCE_TEST= NONE
GRAD_FORM= SYMM
GRAD_DX= 1
GRAD_TEST= NONE
KILL_FBM_TIME= 16384
WINDOW_WIDTH= 7
WALKER_SIGMA= 0.50000000000000000
WALKER_WIDTH= 1.5000000000000000
NBINS= 5000000
NTSTART= 16374
NTEND= 16384
REBIN_BINWIDTH_FACTOR= 100
x_rms(t_last=14749)= 1337.9798204756303
==================================
 ibin            x               x/x_rms         P(|x|)          x_rms*P        
 -6.253000E+04   -6.253000E+03   -4.673464E+00    7.941491E-06    1.062556E-02  
 -6.243000E+04   -6.243000E+03   -4.665990E+00    0.000000E+00    0.000000E+00  
 -6.233000E+04   -6.233000E+03   -4.658516E+00    0.000000E+00    0.000000E+00  
 -6.223000E+04   -6.223000E+03   -4.651042E+00    0.000000E+00    0.000000E+00  
 -6.213000E+04   -6.213000E+03   -4.643568E+00    0.000000E+00    0.000000E+00  
 -6.203000E+04   -6.203000E+03   -4.636094E+00    0.000000E+00    0.000000E+00  
 -6.193000E+04   -6.193000E+03   -4.628620E+00    0.000000E+00    0.000000E+00  
 -6.183000E+04   -6.183000E+03   -4.621146E+00    0.000000E+00    0.000000E+00  
 -6.173000E+04   -6.173000E+03   -4.613672E+00    0.000000E+00    0.000000E+00  
 -6.163000E+04   -6.163000E+03   -4.606198E+00    0.000000E+00    0.000000E+00  
 -6.153000E+04   -6.153000E+03   -4.598724E+00    0.000000E+00    0.000000E+00  
 -6.143000E+04   -6.143000E+03   -4.591250E+00    0.000000E+00    0.000000E+00  
 -6.133000E+04   -6.133000E+03   -4.583776E+00    0.000000E+00    0.000000E+00  
 -6.123000E+04   -6.123000E+03   -4.576302E+00    0.000000E+00    0.000000E+00  
 -6.113000E+04   -6.113000E+03   -4.568828E+00    0.000000E+00    0.000000E+00  
 -6.103000E+04   -6.103000E+03   -4.561354E+00    0.000000E+00    0.000000E+00  
 -6.093000E+04   -6.093000E+03   -4.553880E+00    0.000000E+00    0.000000E+00  
 -6.083000E+04   -6.083000E+03   -4.546406E+00    0.000000E+00    0.000000E+00  
 -6.073000E+04   -6.073000E+03   -4.538932E+00    0.000000E+00    0.000000E+00  
 -6.063000E+04   -6.063000E+03   -4.531458E+00    0.000000E+00    0.000000E+00  
 -6.053000E+04   -6.053000E+03   -4.523985E+00    0.000000E+00    0.000000E+00  
 -6.043000E+04   -6.043000E+03   -4.516511E+00    7.941553E-06    1.062564E-02  
 -6.033000E+04   -6.033000E+03   -4.509037E+00    0.000000E+00    0.000000E+00  
 -6.023000E+04   -6.023000E+03   -4.501563E+00    0.000000E+00    0.000000E+00  
 -6.013000E+04   -6.013000E+03   -4.494089E+00    0.000000E+00    0.000000E+00  
 -6.003000E+04   -6.003000E+03   -4.486615E+00    4.086377E-06    5.467490E-03  
 -5.993000E+04   -5.993000E+03   -4.479141E+00    3.855181E-06    5.158155E-03  
 -5.983000E+04   -5.983000E+03   -4.471667E+00    0.000000E+00    0.000000E+00  
 -5.973000E+04   -5.973000E+03   -4.464193E+00    0.000000E+00    0.000000E+00  
 -5.963000E+04   -5.963000E+03   -4.456719E+00    0.000000E+00    0.000000E+00  
 -5.953000E+04   -5.953000E+03   -4.449245E+00    0.000000E+00    0.000000E+00  
 -5.943000E+04   -5.943000E+03   -4.441771E+00    0.000000E+00    0.000000E+00  
 -5.933000E+04   -5.933000E+03   -4.434297E+00    0.000000E+00    0.000000E+00  
 -5.923000E+04   -5.923000E+03   -4.426823E+00    0.000000E+00    0.000000E+00  
 -5.913000E+04   -5.913000E+03   -4.419349E+00    0.000000E+00    0.000000E+00  
 -5.903000E+04   -5.903000E+03   -4.411875E+00    0.000000E+00    0.000000E+00  
 -5.893000E+04   -5.893000E+03   -4.404401E+00    0.000000E+00    0.000000E+00  
 -5.883000E+04   -5.883000E+03   -4.396927E+00    0.000000E+00    0.000000E+00  
 -5.873000E+04   -5.873000E+03   -4.389453E+00    0.000000E+00    0.000000E+00  
 -5.863000E+04   -5.863000E+03   -4.381979E+00    0.000000E+00    0.000000E+00  
 -5.853000E+04   -5.853000E+03   -4.374505E+00    0.000000E+00    0.000000E+00  
 -5.843000E+04   -5.843000E+03   -4.367031E+00    0.000000E+00    0.000000E+00  
 -5.833000E+04   -5.833000E+03   -4.359558E+00    0.000000E+00    0.000000E+00  
 -5.823000E+04   -5.823000E+03   -4.352084E+00    0.000000E+00    0.000000E+00  
 -5.813000E+04   -5.813000E+03   -4.344610E+00    0.000000E+00    0.000000E+00  
 -5.803000E+04   -5.803000E+03   -4.337136E+00    0.000000E+00    0.000000E+00  
 -5.793000E+04   -5.793000E+03   -4.329662E+00    0.000000E+00    0.000000E+00  
 -5.783000E+04   -5.783000E+03   -4.322188E+00    0.000000E+00    0.000000E+00  
 -5.773000E+04   -5.773000E+03   -4.314714E+00    0.000000E+00    0.000000E+00  
 -5.763000E+04   -5.763000E+03   -4.307240E+00    0.000000E+00    0.000000E+00  
 -5.753000E+04   -5.753000E+03   -4.299766E+00    0.000000E+00    0.000000E+00  
 -5.743000E+04   -5.743000E+03   -4.292292E+00    0.000000E+00    0.000000E+00  
 -5.733000E+04   -5.733000E+03   -4.284818E+00    0.000000E+00    0.000000E+00  
 -5.723000E+04   -5.723000E+03   -4.277344E+00    0.000000E+00    0.000000E+00  
 -5.713000E+04   -5.713000E+03   -4.269870E+00    0.000000E+00    0.000000E+00  
 -5.703000E+04   -5.703000E+03   -4.262396E+00    0.000000E+00    0.000000E+00  
 -5.693000E+04   -5.693000E+03   -4.254922E+00    0.000000E+00    0.000000E+00  
 -5.683000E+04   -5.683000E+03   -4.247448E+00    0.000000E+00    0.000000E+00  
 -5.673000E+04   -5.673000E+03   -4.239974E+00    7.941595E-06    1.062569E-02  
 -5.663000E+04   -5.663000E+03   -4.232500E+00    0.000000E+00    0.000000E+00  
 -5.653000E+04   -5.653000E+03   -4.225026E+00    0.000000E+00    0.000000E+00  
 -5.643000E+04   -5.643000E+03   -4.217552E+00    0.000000E+00    0.000000E+00  
 -5.633000E+04   -5.633000E+03   -4.210078E+00    7.941460E-06    1.062551E-02  
 -5.623000E+04   -5.623000E+03   -4.202604E+00    0.000000E+00    0.000000E+00  
 -5.613000E+04   -5.613000E+03   -4.195131E+00    0.000000E+00    0.000000E+00  
 -5.603000E+04   -5.603000E+03   -4.187657E+00    0.000000E+00    0.000000E+00  
 -5.593000E+04   -5.593000E+03   -4.180183E+00    0.000000E+00    0.000000E+00  
 -5.583000E+04   -5.583000E+03   -4.172709E+00    7.444016E-06    9.959943E-03  
 -5.573000E+04   -5.573000E+03   -4.165235E+00    4.974407E-07    6.655657E-04  
 -5.563000E+04   -5.563000E+03   -4.157761E+00    0.000000E+00    0.000000E+00  
 -5.553000E+04   -5.553000E+03   -4.150287E+00    0.000000E+00    0.000000E+00  
 -5.543000E+04   -5.543000E+03   -4.142813E+00    0.000000E+00    0.000000E+00  
 -5.533000E+04   -5.533000E+03   -4.135339E+00    0.000000E+00    0.000000E+00  
 -5.523000E+04   -5.523000E+03   -4.127865E+00    0.000000E+00    0.000000E+00  
 -5.513000E+04   -5.513000E+03   -4.120391E+00    0.000000E+00    0.000000E+00  
 -5.503000E+04   -5.503000E+03   -4.112917E+00    0.000000E+00    0.000000E+00  
 -5.493000E+04   -5.493000E+03   -4.105443E+00    0.000000E+00    0.000000E+00  
 -5.483000E+04   -5.483000E+03   -4.097969E+00    0.000000E+00    0.000000E+00  
 -5.473000E+04   -5.473000E+03   -4.090495E+00    0.000000E+00    0.000000E+00  
 -5.463000E+04   -5.463000E+03   -4.083021E+00    0.000000E+00    0.000000E+00  
 -5.453000E+04   -5.453000E+03   -4.075547E+00    0.000000E+00    0.000000E+00  
 -5.443000E+04   -5.443000E+03   -4.068073E+00    0.000000E+00    0.000000E+00  
 -5.433000E+04   -5.433000E+03   -4.060599E+00    0.000000E+00    0.000000E+00  
 -5.423000E+04   -5.423000E+03   -4.053125E+00    0.000000E+00    0.000000E+00  
 -5.413000E+04   -5.413000E+03   -4.045651E+00    0.000000E+00    0.000000E+00  
 -5.403000E+04   -5.403000E+03   -4.038177E+00    0.000000E+00    0.000000E+00  
 -5.393000E+04   -5.393000E+03   -4.030704E+00    0.000000E+00    0.000000E+00  
 -5.383000E+04   -5.383000E+03   -4.023230E+00    3.554104E-08    4.755319E-05  
 -5.373000E+04   -5.373000E+03   -4.015756E+00    7.906074E-06    1.057817E-02  
 -5.363000E+04   -5.363000E+03   -4.008282E+00    6.348068E-06    8.493587E-03  
 -5.353000E+04   -5.353000E+03   -4.000808E+00    1.593499E-06    2.132069E-03  
 -5.343000E+04   -5.343000E+03   -3.993334E+00    7.941549E-06    1.062563E-02  
 -5.333000E+04   -5.333000E+03   -3.985860E+00    0.000000E+00    0.000000E+00  
 -5.323000E+04   -5.323000E+03   -3.978386E+00    0.000000E+00    0.000000E+00  
 -5.313000E+04   -5.313000E+03   -3.970912E+00    7.924052E-06    1.060222E-02  
 -5.303000E+04   -5.303000E+03   -3.963438E+00    1.749120E-08    2.340287E-05  
 -5.293000E+04   -5.293000E+03   -3.955964E+00    0.000000E+00    0.000000E+00  
 -5.283000E+04   -5.283000E+03   -3.948490E+00    1.861248E-06    2.490313E-03  
 -5.273000E+04   -5.273000E+03   -3.941016E+00    1.402173E-05    1.876079E-02  
 -5.263000E+04   -5.263000E+03   -3.933542E+00    0.000000E+00    0.000000E+00  
 -5.253000E+04   -5.253000E+03   -3.926068E+00    0.000000E+00    0.000000E+00  
 -5.243000E+04   -5.243000E+03   -3.918594E+00    1.651234E-06    2.209317E-03  
 -5.233000E+04   -5.233000E+03   -3.911120E+00    8.073324E-06    1.080194E-02  
 -5.223000E+04   -5.223000E+03   -3.903646E+00    7.012763E-06    9.382936E-03  
 -5.213000E+04   -5.213000E+03   -3.896172E+00    6.608890E-06    8.842561E-03  
 -5.203000E+04   -5.203000E+03   -3.888698E+00    3.844512E-06    5.143879E-03  
 -5.193000E+04   -5.193000E+03   -3.881224E+00    1.251683E-05    1.674727E-02  
 -5.183000E+04   -5.183000E+03   -3.873751E+00    1.356806E-05    1.815379E-02  
 -5.173000E+04   -5.173000E+03   -3.866277E+00    2.453261E-05    3.282413E-02  
 -5.163000E+04   -5.163000E+03   -3.858803E+00    1.691117E-05    2.262680E-02  
 -5.153000E+04   -5.153000E+03   -3.851329E+00    5.785591E-07    7.741003E-04  
 -5.143000E+04   -5.143000E+03   -3.843855E+00    0.000000E+00    0.000000E+00  
 -5.133000E+04   -5.133000E+03   -3.836381E+00    5.601501E-06    7.494695E-03  
 -5.123000E+04   -5.123000E+03   -3.828907E+00    8.725576E-06    1.167464E-02  
 -5.113000E+04   -5.113000E+03   -3.821433E+00    2.551263E-06    3.413538E-03  
