 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight= -0.25000000000000000     
 STEPDIS= GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.50000000000000000     
 NT=       262144
 L=   1000000.0000000000     
 NWALKERS_PER_SET=          64
 NSETS=        1080
 IRINIT=           1
 NCONF=       69120
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=      262144
 WINDOW_WIDTH=            7
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=      5000000
 ==================================
    time         <r^2>         <r^4>
         1   0.994491E+00   0.296208E+01
         2   0.281860E+01   0.239747E+02
         3   0.519925E+01   0.812840E+02
         4   0.800564E+01   0.192055E+03
         5   0.111730E+02   0.372329E+03
         6   0.147119E+02   0.642368E+03
         7   0.185626E+02   0.102281E+04
         8   0.227034E+02   0.152808E+04
        10   0.317756E+02   0.299853E+04
        12   0.417439E+02   0.518087E+04
        14   0.525753E+02   0.823090E+04
        17   0.704408E+02   0.148783E+05
        20   0.897591E+02   0.242367E+05
        24   0.118150E+03   0.421034E+05
        29   0.157073E+03   0.741380E+05
        34   0.199337E+03   0.118529E+06
        40   0.254048E+03   0.191549E+06
        48   0.333465E+03   0.329377E+06
        57   0.432123E+03   0.550153E+06
        68   0.563264E+03   0.941695E+06
        81   0.734217E+03   0.160700E+07
        96   0.948643E+03   0.269240E+07
       114   0.122539E+04   0.448541E+07
       136   0.159440E+04   0.759020E+07
       162   0.207347E+04   0.128454E+08
       193   0.269519E+04   0.216652E+08
       230   0.350242E+04   0.365522E+08
       274   0.455903E+04   0.616084E+08
       326   0.592933E+04   0.104054E+09
       388   0.768725E+04   0.175517E+09
       461   0.993796E+04   0.293494E+09
       548   0.128537E+05   0.490828E+09
       652   0.166937E+05   0.829593E+09
       775   0.216006E+05   0.139228E+10
       922   0.279722E+05   0.233595E+10
      1096   0.362408E+05   0.392122E+10
      1303   0.470483E+05   0.658047E+10
      1550   0.610812E+05   0.110772E+11
      1843   0.789112E+05   0.184772E+11
      2192   0.102548E+06   0.311997E+11
      2607   0.133166E+06   0.527982E+11
      3100   0.172942E+06   0.891815E+11
      3687   0.224407E+06   0.150090E+12
      4385   0.291646E+06   0.253822E+12
      5215   0.378083E+06   0.426136E+12
      6202   0.489529E+06   0.716377E+12
      7375   0.633449E+06   0.120131E+13
      8770   0.821839E+06   0.202444E+13
     10429   0.106406E+07   0.339428E+13
     12402   0.137876E+07   0.569658E+13
     14749   0.178558E+07   0.957529E+13
     17540   0.231309E+07   0.160662E+14
     20859   0.298797E+07   0.266522E+14
     24806   0.388664E+07   0.450429E+14
     29499   0.505444E+07   0.759039E+14
     35080   0.656876E+07   0.128426E+15
     41717   0.852383E+07   0.216946E+15
     49610   0.110609E+08   0.365901E+15
     58997   0.143095E+08   0.612489E+15
     70160   0.185373E+08   0.102704E+16
     83435   0.240680E+08   0.172602E+16
     99221   0.312415E+08   0.291105E+16
    117994   0.405381E+08   0.491675E+16
    140319   0.526914E+08   0.833445E+16
    166868   0.681850E+08   0.140024E+17
    198441   0.882871E+08   0.234141E+17
    235987   0.114517E+09   0.393459E+17
