 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight= -0.25000000000000000     
 STEPDIS= GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.50000000000000000     
 NT=      1048576
 L=   1000000.0000000000     
 NWALKERS_PER_SET=          64
 NSETS=         120
 IRINIT=           1
 NCONF=        7680
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=     1048576
 WINDOW_WIDTH=            7
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=      5000000
 ==================================
    time         <r^2>         <r^4>
         1   0.981995E+00   0.288500E+01
         2   0.281582E+01   0.238618E+02
         3   0.525357E+01   0.831542E+02
         4   0.807601E+01   0.194259E+03
         5   0.112279E+02   0.370389E+03
         6   0.147249E+02   0.630838E+03
         7   0.184772E+02   0.987162E+03
         8   0.224799E+02   0.144050E+04
        10   0.311379E+02   0.275974E+04
        12   0.409703E+02   0.485077E+04
        14   0.517526E+02   0.779183E+04
        17   0.696499E+02   0.142997E+05
        20   0.887319E+02   0.233088E+05
        24   0.117430E+03   0.407470E+05
        29   0.156222E+03   0.723761E+05
        34   0.197437E+03   0.114673E+06
        40   0.250511E+03   0.184456E+06
        48   0.332291E+03   0.325639E+06
        57   0.432253E+03   0.548638E+06
        68   0.563474E+03   0.927639E+06
        81   0.733628E+03   0.156541E+07
        96   0.946019E+03   0.258906E+07
       114   0.121981E+04   0.437930E+07
       136   0.157576E+04   0.743609E+07
       162   0.205229E+04   0.125719E+08
       193   0.267742E+04   0.216258E+08
       230   0.347246E+04   0.363809E+08
       274   0.451566E+04   0.611750E+08
       326   0.592860E+04   0.106103E+09
       388   0.773340E+04   0.180839E+09
       461   0.100495E+05   0.308151E+09
       548   0.131033E+05   0.526824E+09
       652   0.170438E+05   0.895501E+09
       775   0.220520E+05   0.148705E+10
       922   0.285568E+05   0.249725E+10
      1096   0.368287E+05   0.410018E+10
      1303   0.474652E+05   0.679224E+10
      1550   0.613326E+05   0.110790E+11
      1843   0.797152E+05   0.185774E+11
      2192   0.104243E+06   0.317881E+11
      2607   0.134765E+06   0.532208E+11
      3100   0.175641E+06   0.901386E+11
      3687   0.228632E+06   0.152594E+12
      4385   0.295459E+06   0.253548E+12
      5215   0.382408E+06   0.424116E+12
      6202   0.496314E+06   0.718498E+12
      7375   0.639383E+06   0.119537E+13
      8770   0.824091E+06   0.201734E+13
     10429   0.105469E+07   0.332388E+13
     12402   0.136762E+07   0.557579E+13
     14749   0.179068E+07   0.961294E+13
     17540   0.230075E+07   0.156374E+14
     20859   0.295045E+07   0.258348E+14
     24806   0.383017E+07   0.443522E+14
     29499   0.501167E+07   0.770320E+14
     35080   0.652302E+07   0.130266E+15
     41717   0.847075E+07   0.218531E+15
     49610   0.110799E+08   0.371484E+15
     58997   0.144341E+08   0.626725E+15
     70160   0.186325E+08   0.104013E+16
     83435   0.240309E+08   0.172891E+16
     99221   0.309857E+08   0.284263E+16
    117994   0.404325E+08   0.482728E+16
    140319   0.523246E+08   0.807907E+16
    166868   0.675284E+08   0.134840E+17
    198441   0.875142E+08   0.223771E+17
    235987   0.114046E+09   0.372927E+17
    280637   0.146894E+09   0.624689E+17
    333736   0.189688E+09   0.103811E+18
    396881   0.245499E+09   0.173916E+18
    471974   0.319022E+09   0.292152E+18
    561275   0.414550E+09   0.500062E+18
    667472   0.540857E+09   0.854222E+18
    793762   0.705317E+09   0.145781E+19
    943947   0.917631E+09   0.246488E+19
