Program Mean-density FBM Gaussian Binned (procs as sets)
Integrated density distribution
force_weight= -0.25000000000000000
STEPDIS= GAU
STEPSIG= 1.0000000000000000
GAMMMA= 0.50000000000000000
NT= 1048576
L= 1000000.0000000000
NWALKERS_PER_SET= 64
NSETS= 120
IRINIT= 1
NCONF= 7680
FORCE_TYPE= LINEAR
FORCE_TEST= NONE
GRAD_FORM= SYMM
GRAD_DX= 1
GRAD_TEST= NONE
KILL_FBM_TIME= 1048576
WINDOW_WIDTH= 7
WALKER_SIGMA= 0.50000000000000000
WALKER_WIDTH= 1.5000000000000000
NBINS= 5000000
NTSTART= 0
NTEND= 1048576
REBIN_BINWIDTH_FACTOR= 100
x_rms(t_last=943947)= 30292.42479564817
==================================
 ibin            x               x/x_rms         P(|x|)          (x_rms/t_last)P
 -1.208589E+06   -1.208589E+05   -3.989740E+00    6.005349E-04    1.927191E-05  
 -1.208489E+06   -1.208489E+05   -3.989410E+00    3.101051E-04    9.951656E-06  
 -1.208389E+06   -1.208389E+05   -3.989080E+00    5.306635E-04    1.702965E-05  
 -1.208289E+06   -1.208289E+05   -3.988750E+00    1.626490E-03    5.219608E-05  
 -1.208189E+06   -1.208189E+05   -3.988420E+00    8.937586E-04    2.868182E-05  
 -1.208089E+06   -1.208089E+05   -3.988089E+00    5.767007E-04    1.850704E-05  
 -1.207989E+06   -1.207989E+05   -3.987759E+00    4.226885E-04    1.356460E-05  
 -1.207889E+06   -1.207889E+05   -3.987429E+00    2.377712E-04    7.630373E-06  
 -1.207789E+06   -1.207789E+05   -3.987099E+00    7.258331E-04    2.329288E-05  
 -1.207689E+06   -1.207689E+05   -3.986769E+00    1.207700E-03    3.875659E-05  
 -1.207589E+06   -1.207589E+05   -3.986439E+00    1.535018E-03    4.926062E-05  
 -1.207489E+06   -1.207489E+05   -3.986109E+00    1.615762E-03    5.185180E-05  
 -1.207389E+06   -1.207389E+05   -3.985779E+00    1.687400E-03    5.415076E-05  
 -1.207289E+06   -1.207289E+05   -3.985449E+00    6.744474E-04    2.164385E-05  
 -1.207189E+06   -1.207189E+05   -3.985118E+00    6.221704E-04    1.996622E-05  
 -1.207089E+06   -1.207089E+05   -3.984788E+00    2.378334E-04    7.632366E-06  
 -1.206989E+06   -1.206989E+05   -3.984458E+00    6.212174E-04    1.993563E-05  
 -1.206889E+06   -1.206889E+05   -3.984128E+00    1.339631E-03    4.299042E-05  
 -1.206789E+06   -1.206789E+05   -3.983798E+00    6.321440E-04    2.028628E-05  
 -1.206689E+06   -1.206689E+05   -3.983468E+00    2.085264E-04    6.691871E-06  
 -1.206589E+06   -1.206589E+05   -3.983138E+00    1.773520E-04    5.691443E-06  
 -1.206489E+06   -1.206489E+05   -3.982808E+00    4.394641E-04    1.410295E-05  
 -1.206389E+06   -1.206389E+05   -3.982477E+00    3.448016E-04    1.106511E-05  
 -1.206289E+06   -1.206289E+05   -3.982147E+00    2.301996E-04    7.387389E-06  
 -1.206189E+06   -1.206189E+05   -3.981817E+00    1.558536E-04    5.001535E-06  
 -1.206089E+06   -1.206089E+05   -3.981487E+00    1.111227E-04    3.566066E-06  
 -1.205989E+06   -1.205989E+05   -3.981157E+00    2.284882E-04    7.332468E-06  
 -1.205889E+06   -1.205889E+05   -3.980827E+00    3.783834E-04    1.214279E-05  
