 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight= -0.25000000000000000     
 STEPDIS= GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.50000000000000000     
 NT=      8388608
 L=   1000000.0000000000     
 NWALKERS_PER_SET=          64
 NSETS=         240
 IRINIT=           1
 NCONF=       15360
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=     8388608
 WINDOW_WIDTH=            7
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=      5000000
 ==================================
    time         <r^2>         <r^4>
         1   0.987184E+00   0.291495E+01
         2   0.280963E+01   0.235365E+02
         3   0.522642E+01   0.817841E+02
         4   0.804532E+01   0.194467E+03
         5   0.112098E+02   0.372409E+03
         6   0.147168E+02   0.633224E+03
         7   0.185332E+02   0.998975E+03
         8   0.226331E+02   0.148423E+04
        10   0.314268E+02   0.287398E+04
        12   0.413620E+02   0.506773E+04
        14   0.521199E+02   0.803568E+04
        17   0.701154E+02   0.145204E+05
        20   0.894041E+02   0.237422E+05
        24   0.118401E+03   0.419694E+05
        29   0.157185E+03   0.744303E+05
        34   0.199919E+03   0.119391E+06
        40   0.255169E+03   0.195016E+06
        48   0.336478E+03   0.338538E+06
        57   0.437935E+03   0.570827E+06
        68   0.570903E+03   0.967558E+06
        81   0.740488E+03   0.163719E+07
        96   0.957248E+03   0.273118E+07
       114   0.124231E+04   0.462153E+07
       136   0.160862E+04   0.782453E+07
       162   0.209034E+04   0.131585E+08
       193   0.272296E+04   0.223103E+08
       230   0.352792E+04   0.373325E+08
       274   0.457758E+04   0.624983E+08
       326   0.595262E+04   0.106109E+09
       388   0.772243E+04   0.177249E+09
       461   0.100008E+05   0.296795E+09
       548   0.129932E+05   0.499404E+09
       652   0.169562E+05   0.851691E+09
       775   0.219922E+05   0.143439E+10
       922   0.285231E+05   0.242767E+10
      1096   0.369458E+05   0.408277E+10
      1303   0.477324E+05   0.680373E+10
      1550   0.617512E+05   0.113621E+11
      1843   0.796896E+05   0.187336E+11
      2192   0.103588E+06   0.316833E+11
      2607   0.133805E+06   0.531486E+11
      3100   0.174046E+06   0.894766E+11
      3687   0.224975E+06   0.150427E+12
      4385   0.291039E+06   0.253149E+12
      5215   0.378798E+06   0.429043E+12
      6202   0.492146E+06   0.726995E+12
      7375   0.637436E+06   0.122081E+13
      8770   0.826920E+06   0.205797E+13
     10429   0.106950E+07   0.343511E+13
     12402   0.139402E+07   0.583567E+13
     14749   0.181832E+07   0.992117E+13
     17540   0.234692E+07   0.165310E+14
     20859   0.302646E+07   0.276490E+14
     24806   0.392050E+07   0.468423E+14
     29499   0.512862E+07   0.808125E+14
     35080   0.669357E+07   0.137446E+15
     41717   0.865980E+07   0.229469E+15
     49610   0.112578E+08   0.388840E+15
     58997   0.145884E+08   0.651690E+15
     70160   0.187826E+08   0.107657E+16
     83435   0.243113E+08   0.178175E+16
     99221   0.315215E+08   0.296931E+16
    117994   0.412744E+08   0.508495E+16
    140319   0.538902E+08   0.868804E+16
    166868   0.693937E+08   0.144357E+17
    198441   0.896749E+08   0.240392E+17
    235987   0.116406E+09   0.404577E+17
    280637   0.150244E+09   0.678209E+17
    333736   0.194183E+09   0.112314E+18
    396881   0.251826E+09   0.190305E+18
    471974   0.326691E+09   0.317647E+18
    561275   0.423087E+09   0.531128E+18
    667472   0.549313E+09   0.893207E+18
    793762   0.713312E+09   0.150575E+19
    943947   0.923446E+09   0.250587E+19
   1122548   0.119698E+10   0.420678E+19
   1334942   0.155787E+10   0.714848E+19
   1587523   0.203214E+10   0.121492E+20
   1887894   0.264421E+10   0.206330E+20
   2245097   0.343791E+10   0.345553E+20
   2669885   0.446751E+10   0.584311E+20
   3175046   0.578816E+10   0.983168E+20
   3775787   0.752254E+10   0.165937E+21
   4490193   0.979826E+10   0.282927E+21
   5339769   0.127160E+11   0.478875E+21
   6350091   0.163763E+11   0.796542E+21
   7551573   0.211238E+11   0.132255E+22
