 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight= -0.25000000000000000     
 STEPDIS= GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.50000000000000000     
 NT=     33554432
 L=   3000000.0000000000     
 NWALKERS_PER_SET=          64
 NSETS=         120
 IRINIT=           1
 NCONF=        7680
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=    33554432
 WINDOW_WIDTH=            7
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=     15000000
 ==================================
    time         <r^2>         <r^4>
         1   0.989956E+00   0.288232E+01
         2   0.284821E+01   0.243959E+02
         3   0.530974E+01   0.847417E+02
         4   0.818542E+01   0.200123E+03
         5   0.113554E+02   0.380350E+03
         6   0.148860E+02   0.646126E+03
         7   0.186904E+02   0.101202E+04
         8   0.227124E+02   0.148504E+04
        10   0.314558E+02   0.286400E+04
        12   0.414507E+02   0.510553E+04
        14   0.522762E+02   0.817655E+04
        17   0.703861E+02   0.149030E+05
        20   0.896490E+02   0.242252E+05
        24   0.118625E+03   0.426474E+05
        29   0.157076E+03   0.744364E+05
        34   0.198415E+03   0.117685E+06
        40   0.251674E+03   0.190284E+06
        48   0.333402E+03   0.334073E+06
        57   0.434316E+03   0.561416E+06
        68   0.565751E+03   0.941505E+06
        81   0.734230E+03   0.157399E+07
        96   0.947067E+03   0.260679E+07
       114   0.122343E+04   0.442345E+07
       136   0.158333E+04   0.752060E+07
       162   0.205465E+04   0.125746E+08
       193   0.267600E+04   0.214548E+08
       230   0.347319E+04   0.362307E+08
       274   0.451043E+04   0.606407E+08
       326   0.591277E+04   0.103804E+09
       388   0.768951E+04   0.173764E+09
       461   0.997083E+04   0.293826E+09
       548   0.129778E+05   0.504822E+09
       652   0.169310E+05   0.871884E+09
       775   0.219893E+05   0.147633E+10
       922   0.285102E+05   0.250900E+10
      1096   0.367834E+05   0.413772E+10
      1303   0.474089E+05   0.683556E+10
      1550   0.611728E+05   0.111091E+11
      1843   0.795022E+05   0.186727E+11
      2192   0.103743E+06   0.316128E+11
      2607   0.133773E+06   0.525012E+11
      3100   0.173795E+06   0.885661E+11
      3687   0.225334E+06   0.149209E+12
      4385   0.291631E+06   0.248440E+12
      5215   0.377566E+06   0.413217E+12
      6202   0.490798E+06   0.700675E+12
      7375   0.632820E+06   0.116773E+13
      8770   0.817306E+06   0.197403E+13
     10429   0.104745E+07   0.327155E+13
     12402   0.136525E+07   0.556229E+13
     14749   0.179067E+07   0.961049E+13
     17540   0.230831E+07   0.157439E+14
     20859   0.296454E+07   0.259098E+14
     24806   0.385593E+07   0.447125E+14
     29499   0.504449E+07   0.778897E+14
     35080   0.656935E+07   0.131718E+15
     41717   0.853869E+07   0.222851E+15
     49610   0.111538E+08   0.378248E+15
     58997   0.144992E+08   0.637301E+15
     70160   0.186667E+08   0.105361E+16
     83435   0.240755E+08   0.175270E+16
     99221   0.310570E+08   0.289166E+16
    117994   0.405241E+08   0.495356E+16
    140319   0.525246E+08   0.834509E+16
    166868   0.678386E+08   0.139799E+17
    198441   0.879460E+08   0.232882E+17
    235987   0.114240E+09   0.385217E+17
    280637   0.147121E+09   0.639499E+17
    333736   0.189584E+09   0.105631E+18
    396881   0.244806E+09   0.175807E+18
    471974   0.317712E+09   0.293755E+18
    561275   0.413438E+09   0.502558E+18
    667472   0.540125E+09   0.852733E+18
    793762   0.704594E+09   0.145224E+19
    943947   0.918296E+09   0.245117E+19
   1122548   0.118568E+10   0.409369E+19
   1334942   0.154532E+10   0.695371E+19
   1587523   0.201888E+10   0.119077E+20
   1887894   0.261291E+10   0.198887E+20
   2245097   0.341172E+10   0.332867E+20
   2669885   0.443549E+10   0.561862E+20
   3175046   0.575916E+10   0.952116E+20
   3775787   0.748291E+10   0.162470E+21
   4490193   0.972134E+10   0.274845E+21
   5339769   0.126852E+11   0.471040E+21
   6350091   0.163964E+11   0.783305E+21
   7551573   0.210886E+11   0.128828E+22
   8980384   0.273067E+11   0.217909E+22
  10679537   0.353205E+11   0.363266E+22
  12700181   0.453121E+11   0.599924E+22
  15103146   0.588585E+11   0.101770E+23
  17960769   0.767966E+11   0.173734E+23
  21359074   0.995319E+11   0.289177E+23
  25400363   0.128718E+12   0.483037E+23
  30206292   0.165770E+12   0.797523E+23
