 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight= -0.25000000000000000     
 STEPDIS= GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.50000000000000000     
 NT=     33554432
 L=   3000000.0000000000     
 NWALKERS_PER_SET=          64
 NSETS=         480
 IRINIT=           1
 NCONF=       30720
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=    33554432
 WINDOW_WIDTH=            7
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=     15000000
 ==================================
    time         <r^2>         <r^4>
         1   0.995642E+00   0.300742E+01
         2   0.281563E+01   0.238516E+02
         3   0.520163E+01   0.813652E+02
         4   0.801714E+01   0.192717E+03
         5   0.112215E+02   0.376056E+03
         6   0.147830E+02   0.646707E+03
         7   0.186247E+02   0.102344E+04
         8   0.227617E+02   0.153503E+04
        10   0.317713E+02   0.299607E+04
        12   0.416997E+02   0.520516E+04
        14   0.524863E+02   0.822228E+04
        17   0.701302E+02   0.147210E+05
        20   0.894366E+02   0.240226E+05
        24   0.117841E+03   0.417205E+05
        29   0.156602E+03   0.735412E+05
        34   0.199471E+03   0.118711E+06
        40   0.254679E+03   0.193243E+06
        48   0.335397E+03   0.334708E+06
        57   0.435067E+03   0.560699E+06
        68   0.567438E+03   0.956375E+06
        81   0.738181E+03   0.163229E+07
        96   0.952468E+03   0.272099E+07
       114   0.123330E+04   0.458386E+07
       136   0.160765E+04   0.780488E+07
       162   0.208597E+04   0.130326E+08
       193   0.271089E+04   0.218485E+08
       230   0.351960E+04   0.368797E+08
       274   0.457223E+04   0.621695E+08
       326   0.593582E+04   0.104527E+09
       388   0.769475E+04   0.176528E+09
       461   0.992003E+04   0.294510E+09
       548   0.128588E+05   0.494064E+09
       652   0.167149E+05   0.838422E+09
       775   0.216244E+05   0.140415E+10
       922   0.279841E+05   0.234987E+10
      1096   0.362776E+05   0.393977E+10
      1303   0.470215E+05   0.659835E+10
      1550   0.609128E+05   0.110410E+11
      1843   0.787206E+05   0.183791E+11
      2192   0.102224E+06   0.309484E+11
      2607   0.132645E+06   0.521711E+11
      3100   0.172452E+06   0.884806E+11
      3687   0.223289E+06   0.148837E+12
      4385   0.288799E+06   0.249604E+12
      5215   0.373461E+06   0.416626E+12
      6202   0.484108E+06   0.700569E+12
      7375   0.628802E+06   0.118331E+13
      8770   0.817282E+06   0.200184E+13
     10429   0.105739E+07   0.335110E+13
     12402   0.137514E+07   0.566485E+13
     14749   0.178931E+07   0.959010E+13
     17540   0.231475E+07   0.160266E+14
     20859   0.298640E+07   0.264827E+14
     24806   0.386821E+07   0.446607E+14
     29499   0.503702E+07   0.764303E+14
     35080   0.655030E+07   0.129573E+15
     41717   0.848545E+07   0.218162E+15
     49610   0.110446E+08   0.370772E+15
     58997   0.143450E+08   0.625063E+15
     70160   0.185849E+08   0.104550E+16
     83435   0.241358E+08   0.175964E+16
     99221   0.313397E+08   0.296985E+16
    117994   0.406939E+08   0.505425E+16
    140319   0.528315E+08   0.850629E+16
    166868   0.684527E+08   0.142880E+17
    198441   0.887920E+08   0.240015E+17
    235987   0.115239E+09   0.405753E+17
    280637   0.148949E+09   0.679664E+17
    333736   0.192253E+09   0.112689E+18
    396881   0.249211E+09   0.189847E+18
    471974   0.324134E+09   0.321411E+18
    561275   0.421042E+09   0.543363E+18
    667472   0.545005E+09   0.910784E+18
    793762   0.706713E+09   0.153315E+19
    943947   0.915443E+09   0.253893E+19
   1122548   0.119146E+10   0.427585E+19
   1334942   0.154998E+10   0.719832E+19
   1587523   0.201724E+10   0.122019E+20
   1887894   0.261035E+10   0.203945E+20
   2245097   0.338840E+10   0.342252E+20
   2669885   0.439223E+10   0.577360E+20
   3175046   0.569108E+10   0.974968E+20
   3775787   0.741251E+10   0.165189E+21
   4490193   0.964951E+10   0.279326E+21
   5339769   0.125050E+11   0.471534E+21
   6350091   0.162038E+11   0.790377E+21
   7551573   0.209504E+11   0.132206E+22
   8980384   0.270977E+11   0.220855E+22
  10679537   0.349739E+11   0.368396E+22
  12700181   0.452580E+11   0.617956E+22
  15103146   0.587815E+11   0.103700E+23
  17960769   0.766099E+11   0.176406E+23
  21359074   0.992335E+11   0.296252E+23
  25400363   0.128765E+12   0.499695E+23
  30206292   0.165948E+12   0.819588E+23
