 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 force_weight= -0.25000000000000000     
 STEPDIS= GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.50000000000000000     
 NT=    134217728
 L=   8000000.0000000000     
 NWALKERS_PER_SET=          64
 NSETS=         120
 IRINIT=           1
 NCONF=        7680
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=   134217728
 WINDOW_WIDTH=            7
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=     40000000
 ==================================
    time         <r^2>         <r^4>
         1   0.999145E+00   0.304324E+01
         2   0.286002E+01   0.245534E+02
         3   0.530829E+01   0.851069E+02
         4   0.813421E+01   0.199150E+03
         5   0.113009E+02   0.377291E+03
         6   0.147877E+02   0.640672E+03
         7   0.185808E+02   0.100298E+04
         8   0.226157E+02   0.146576E+04
        10   0.313388E+02   0.283143E+04
        12   0.412717E+02   0.496040E+04
        14   0.521450E+02   0.789899E+04
        17   0.701593E+02   0.144304E+05
        20   0.891988E+02   0.233675E+05
        24   0.117537E+03   0.407485E+05
        29   0.155699E+03   0.710652E+05
        34   0.196289E+03   0.113381E+06
        40   0.248949E+03   0.183526E+06
        48   0.329787E+03   0.325035E+06
        57   0.430214E+03   0.548908E+06
        68   0.560444E+03   0.931292E+06
        81   0.728540E+03   0.155499E+07
        96   0.941119E+03   0.258187E+07
       114   0.121506E+04   0.433589E+07
       136   0.157233E+04   0.732152E+07
       162   0.204692E+04   0.122197E+08
       193   0.267810E+04   0.210412E+08
       230   0.348515E+04   0.357804E+08
       274   0.453802E+04   0.605446E+08
       326   0.595535E+04   0.104614E+09
       388   0.774858E+04   0.176249E+09
       461   0.100486E+05   0.297667E+09
       548   0.130959E+05   0.509065E+09
       652   0.170457E+05   0.870242E+09
       775   0.221241E+05   0.145548E+10
       922   0.286785E+05   0.247168E+10
      1096   0.370401E+05   0.412029E+10
      1303   0.477229E+05   0.684769E+10
      1550   0.616041E+05   0.112094E+11
      1843   0.798978E+05   0.186901E+11
      2192   0.104458E+06   0.318940E+11
      2607   0.135070E+06   0.538385E+11
      3100   0.175500E+06   0.910308E+11
      3687   0.227691E+06   0.153846E+12
      4385   0.294028E+06   0.253377E+12
      5215   0.380852E+06   0.421290E+12
      6202   0.493861E+06   0.714551E+12
      7375   0.637027E+06   0.120155E+13
      8770   0.820720E+06   0.203513E+13
     10429   0.104964E+07   0.333904E+13
     12402   0.136433E+07   0.565797E+13
     14749   0.178617E+07   0.974006E+13
     17540   0.230164E+07   0.160591E+14
     20859   0.294552E+07   0.263679E+14
     24806   0.383652E+07   0.452403E+14
     29499   0.500292E+07   0.777769E+14
     35080   0.650781E+07   0.131660E+15
     41717   0.846491E+07   0.223079E+15
     49610   0.110560E+08   0.376969E+15
     58997   0.144095E+08   0.630112E+15
     70160   0.185847E+08   0.103910E+16
     83435   0.240406E+08   0.174765E+16
     99221   0.310306E+08   0.288567E+16
    117994   0.404323E+08   0.487394E+16
    140319   0.525315E+08   0.825401E+16
    166868   0.678875E+08   0.137826E+17
    198441   0.882189E+08   0.231185E+17
    235987   0.114684E+09   0.381366E+17
    280637   0.148031E+09   0.641838E+17
    333736   0.191253E+09   0.106256E+18
    396881   0.247678E+09   0.177608E+18
    471974   0.320802E+09   0.294396E+18
    561275   0.416926E+09   0.501977E+18
    667472   0.544394E+09   0.856685E+18
    793762   0.709385E+09   0.144620E+19
    943947   0.922404E+09   0.243875E+19
   1122548   0.118775E+10   0.404361E+19
   1334942   0.154432E+10   0.691189E+19
   1587523   0.201739E+10   0.119239E+20
   1887894   0.260819E+10   0.199183E+20
   2245097   0.340886E+10   0.334832E+20
   2669885   0.443659E+10   0.567536E+20
   3175046   0.573821E+10   0.949569E+20
   3775787   0.746156E+10   0.162040E+21
   4490193   0.970284E+10   0.273712E+21
   5339769   0.126762E+11   0.468661E+21
   6350091   0.164162E+11   0.785207E+21
   7551573   0.211424E+11   0.130022E+22
   8980384   0.273918E+11   0.220056E+22
  10679537   0.353403E+11   0.364857E+22
  12700181   0.452883E+11   0.599539E+22
  15103146   0.587281E+11   0.100953E+23
  17960769   0.763839E+11   0.172376E+23
  21359074   0.987819E+11   0.288294E+23
  25400363   0.127591E+12   0.479586E+23
  30206292   0.164244E+12   0.796106E+23
  35921537   0.212888E+12   0.132237E+24
  42718147   0.276759E+12   0.221301E+24
  50800724   0.362537E+12   0.379907E+24
  60412582   0.471979E+12   0.646301E+24
  71843072   0.612445E+12   0.109780E+25
  85436292   0.790263E+12   0.181682E+25
 101601446   0.102118E+13   0.301933E+25
 120825162   0.132078E+13   0.503473E+25
