 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 weight on force -0.25000000000000000     
 step distribution GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.29999999999999999     
 NT=     67108864
 L=   20000000.000000000     
 NWALKERS_PER_SET=         128
 NSETS=          16
 IRINIT=           1
 NCONF=        2048
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=    67108864
 WINDOW_WIDTH=            7
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=    100000000
 ==================================
    time         <r^2>         <r^4>
        1   0.101515E+01   0.305808E+01
        2   0.334108E+01   0.332941E+02
        3   0.650983E+01   0.127219E+03
        4   0.106790E+02   0.340265E+03
        5   0.154432E+02   0.695172E+03
        6   0.211239E+02   0.127695E+04
        7   0.272976E+02   0.212212E+04
        8   0.341133E+02   0.333154E+04
       10   0.495426E+02   0.695490E+04
       12   0.679400E+02   0.133637E+05
       14   0.880049E+02   0.222800E+05
       17   0.121556E+03   0.431672E+05
       20   0.159862E+03   0.757662E+05
       24   0.219166E+03   0.145737E+06
       29   0.304458E+03   0.282301E+06
       34   0.398966E+03   0.484052E+06
       40   0.525398E+03   0.842688E+06
       48   0.720602E+03   0.158335E+07
       57   0.967590E+03   0.284630E+07
       68   0.130336E+04   0.506855E+07
       81   0.176307E+04   0.924581E+07
       96   0.235830E+04   0.164659E+08
      114   0.312248E+04   0.288303E+08
      136   0.412159E+04   0.510999E+08
      162   0.556910E+04   0.936594E+08
      193   0.757804E+04   0.173542E+09
      230   0.102790E+05   0.317445E+09
      274   0.139315E+05   0.573491E+09
      326   0.189670E+05   0.105151E+10
      388   0.254512E+05   0.191070E+10
      461   0.343871E+05   0.345588E+10
      548   0.456929E+05   0.602500E+10
      652   0.611748E+05   0.108162E+11
      775   0.825021E+05   0.199240E+11
      922   0.111193E+06   0.369148E+11
     1096   0.149519E+06   0.672549E+11
     1303   0.199872E+06   0.120926E+12
     1550   0.268202E+06   0.217428E+12
     1843   0.359097E+06   0.392855E+12
     2192   0.482319E+06   0.694693E+12
     2607   0.635564E+06   0.119851E+13
     3100   0.846346E+06   0.208182E+13
     3687   0.113868E+07   0.372126E+13
     4385   0.151967E+07   0.670906E+13
     5215   0.203493E+07   0.120564E+14
     6202   0.275916E+07   0.222444E+14
     7375   0.372572E+07   0.399187E+14
     8770   0.499874E+07   0.716492E+14
    10429   0.667094E+07   0.128917E+15
    12402   0.903151E+07   0.238900E+15
    14749   0.121353E+08   0.433879E+15
    17540   0.161730E+08   0.773905E+15
    20859   0.214836E+08   0.136679E+16
    24806   0.288216E+08   0.248569E+16
    29499   0.389925E+08   0.462745E+16
    35080   0.530361E+08   0.861368E+16
    41717   0.718009E+08   0.159060E+17
    49610   0.967664E+08   0.285814E+17
    58997   0.129538E+09   0.510661E+17
    70160   0.173750E+09   0.925729E+17
    83435   0.233378E+09   0.167749E+18
    99221   0.313938E+09   0.305674E+18
   117994   0.428398E+09   0.567583E+18
   140319   0.577795E+09   0.101998E+19
   166868   0.768622E+09   0.180991E+19
   198441   0.103352E+10   0.326090E+19
   235987   0.138229E+10   0.571509E+19
   280637   0.183020E+10   0.986178E+19
   333736   0.245593E+10   0.177851E+20
   396881   0.328676E+10   0.315441E+20
   471974   0.437209E+10   0.550994E+20
   561275   0.589199E+10   0.100341E+21
   667472   0.790549E+10   0.179374E+21
   793762   0.106867E+11   0.321649E+21
   943947   0.145068E+11   0.582387E+21
  1122548   0.195634E+11   0.107202E+22
  1334942   0.265132E+11   0.198780E+22
  1587523   0.358465E+11   0.366969E+22
  1887894   0.483265E+11   0.665404E+22
  2245097   0.659774E+11   0.124256E+23
  2669885   0.892154E+11   0.228029E+23
  3175046   0.119691E+12   0.408813E+23
  3775787   0.161048E+12   0.753998E+23
  4490193   0.215547E+12   0.135794E+24
  5339769   0.289615E+12   0.247003E+24
  6350091   0.386549E+12   0.437748E+24
  7551573   0.510508E+12   0.755012E+24
  8980384   0.680159E+12   0.135660E+25
 10679537   0.896118E+12   0.238200E+25
 12700181   0.118319E+13   0.414538E+25
 15103146   0.158576E+13   0.754790E+25
 17960769   0.213779E+13   0.139334E+26
 21359074   0.286064E+13   0.251445E+26
 25400363   0.382908E+13   0.446571E+26
 30206292   0.514916E+13   0.800406E+26
 35921537   0.691103E+13   0.141062E+27
 42718147   0.927351E+13   0.254352E+27
 50800724   0.124412E+14   0.444368E+27
 60412582   0.163805E+14   0.723426E+27
