 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 weight on force -0.25000000000000000     
 step distribution GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.50000000000000000     
 NT=     67108864
 L=   5000000.0000000000     
 NWALKERS_PER_SET=         128
 NSETS=          16
 IRINIT=           1
 NCONF=        2048
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=    67108864
 WINDOW_WIDTH=            7
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=     25000000
 ==================================
    time         <r^2>         <r^4>
        1   0.102655E+01   0.316956E+01
        2   0.297127E+01   0.260826E+02
        3   0.533274E+01   0.848703E+02
        4   0.828473E+01   0.206723E+03
        5   0.114416E+02   0.381733E+03
        6   0.151409E+02   0.655160E+03
        7   0.189581E+02   0.102247E+04
        8   0.230140E+02   0.150207E+04
       10   0.317429E+02   0.280516E+04
       12   0.420287E+02   0.508311E+04
       14   0.528570E+02   0.809537E+04
       17   0.699363E+02   0.143242E+05
       20   0.883815E+02   0.231538E+05
       24   0.116793E+03   0.416199E+05
       29   0.156176E+03   0.753382E+05
       34   0.198004E+03   0.119854E+06
       40   0.251268E+03   0.193358E+06
       48   0.334434E+03   0.341680E+06
       57   0.434419E+03   0.570916E+06
       68   0.562023E+03   0.932546E+06
       81   0.733726E+03   0.158115E+07
       96   0.947409E+03   0.261545E+07
      114   0.120589E+04   0.424083E+07
      136   0.151442E+04   0.692767E+07
      162   0.197902E+04   0.119552E+08
      193   0.260786E+04   0.206940E+08
      230   0.342232E+04   0.355124E+08
      274   0.448172E+04   0.592531E+08
      326   0.594951E+04   0.103547E+09
      388   0.768261E+04   0.174104E+09
      461   0.100591E+05   0.295453E+09
      548   0.129092E+05   0.481355E+09
      652   0.168686E+05   0.834864E+09
      775   0.221058E+05   0.144120E+10
      922   0.287616E+05   0.250204E+10
     1096   0.372582E+05   0.421415E+10
     1303   0.478310E+05   0.706087E+10
     1550   0.618455E+05   0.118759E+11
     1843   0.800458E+05   0.201080E+11
     2192   0.104484E+06   0.336820E+11
     2607   0.132099E+06   0.539003E+11
     3100   0.170326E+06   0.868492E+11
     3687   0.222519E+06   0.144717E+12
     4385   0.285179E+06   0.242612E+12
     5215   0.367907E+06   0.405864E+12
     6202   0.481520E+06   0.701343E+12
     7375   0.627962E+06   0.114688E+13
     8770   0.813557E+06   0.191923E+13
    10429   0.104285E+07   0.314705E+13
    12402   0.136436E+07   0.544607E+13
    14749   0.177284E+07   0.921431E+13
    17540   0.227603E+07   0.151101E+14
    20859   0.289768E+07   0.242457E+14
    24806   0.374987E+07   0.408731E+14
    29499   0.493439E+07   0.722143E+14
    35080   0.651742E+07   0.127946E+15
    41717   0.854520E+07   0.223652E+15
    49610   0.111192E+08   0.368481E+15
    58997   0.143399E+08   0.607329E+15
    70160   0.185173E+08   0.102748E+16
    83435   0.240685E+08   0.174015E+16
    99221   0.312201E+08   0.297028E+16
   117994   0.415814E+08   0.525817E+16
   140319   0.541263E+08   0.883328E+16
   166868   0.693011E+08   0.146599E+17
   198441   0.901562E+08   0.246500E+17
   235987   0.116537E+09   0.401067E+17
   280637   0.148270E+09   0.638584E+17
   333736   0.192357E+09   0.108807E+18
   396881   0.248811E+09   0.180682E+18
   471974   0.318611E+09   0.290401E+18
   561275   0.416014E+09   0.499253E+18
   667472   0.538360E+09   0.824757E+18
   793762   0.705340E+09   0.139791E+19
   943947   0.927003E+09   0.237748E+19
  1122548   0.120371E+10   0.409044E+19
  1334942   0.157472E+10   0.700048E+19
  1587523   0.206036E+10   0.119271E+20
  1887894   0.267216E+10   0.198657E+20
  2245097   0.355270E+10   0.351704E+20
  2669885   0.465500E+10   0.607586E+20
  3175046   0.602282E+10   0.100701E+21
  3775787   0.784855E+10   0.175149E+21
  4490193   0.101480E+11   0.298340E+21
  5339769   0.131990E+11   0.512182E+21
  6350091   0.170277E+11   0.853095E+21
  7551573   0.216244E+11   0.134621E+22
  8980384   0.278334E+11   0.223783E+22
 10679537   0.352752E+11   0.362552E+22
 12700181   0.446231E+11   0.578157E+22
 15103146   0.579139E+11   0.998432E+22
 17960769   0.758368E+11   0.175829E+23
 21359074   0.978371E+11   0.296495E+23
 25400363   0.126682E+12   0.492940E+23
 30206292   0.164234E+12   0.822949E+23
 35921537   0.212308E+12   0.134108E+24
 42718147   0.275256E+12   0.228567E+24
 50800724   0.362302E+12   0.403022E+24
 60412582   0.470487E+12   0.671942E+24
