 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 weight on force -0.25000000000000000     
 step distribution GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=   1.0000000000000000     
 NT=     67108864
 L=   1000000.0000000000     
 NWALKERS_PER_SET=         128
 NSETS=          16
 IRINIT=           1
 NCONF=        2048
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=    67108864
 WINDOW_WIDTH=            7
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=      5000000
 ==================================
    time         <r^2>         <r^4>
        1   0.102374E+01   0.320364E+01
        2   0.211472E+01   0.132310E+02
        3   0.310042E+01   0.284112E+02
        4   0.420808E+01   0.540793E+02
        5   0.519510E+01   0.800211E+02
        6   0.634023E+01   0.114885E+03
        7   0.738834E+01   0.158776E+03
        8   0.839390E+01   0.200851E+03
       10   0.101358E+02   0.280468E+03
       12   0.123734E+02   0.431519E+03
       14   0.145832E+02   0.616861E+03
       17   0.175790E+02   0.903074E+03
       20   0.202788E+02   0.119584E+04
       24   0.246661E+02   0.178213E+04
       29   0.300132E+02   0.273875E+04
       34   0.354860E+02   0.376839E+04
       40   0.409180E+02   0.504565E+04
       48   0.510296E+02   0.783475E+04
       57   0.612375E+02   0.108674E+05
       68   0.724815E+02   0.147349E+05
       81   0.872371E+02   0.213352E+05
       96   0.103784E+03   0.297219E+05
      114   0.121675E+03   0.406702E+05
      136   0.137477E+03   0.541623E+05
      162   0.165454E+03   0.792999E+05
      193   0.202292E+03   0.117573E+06
      230   0.246286E+03   0.171878E+06
      274   0.296706E+03   0.231392E+06
      326   0.368620E+03   0.359956E+06
      388   0.434010E+03   0.492555E+06
      461   0.529793E+03   0.725638E+06
      548   0.631842E+03   0.100306E+07
      652   0.781488E+03   0.158981E+07
      775   0.969716E+03   0.239166E+07
      922   0.116730E+04   0.352304E+07
     1096   0.141073E+04   0.499718E+07
     1303   0.167812E+04   0.724005E+07
     1550   0.200430E+04   0.103297E+08
     1843   0.243935E+04   0.149687E+08
     2192   0.302206E+04   0.227882E+08
     2607   0.356153E+04   0.309628E+08
     3100   0.439471E+04   0.449021E+08
     3687   0.548292E+04   0.666401E+08
     4385   0.653568E+04   0.953257E+08
     5215   0.795679E+04   0.142344E+09
     6202   0.982504E+04   0.216246E+09
     7375   0.120960E+05   0.307531E+09
     8770   0.148769E+05   0.461751E+09
    10429   0.181152E+05   0.661717E+09
    12402   0.225391E+05   0.101584E+10
    14749   0.279558E+05   0.152688E+10
    17540   0.341279E+05   0.224175E+10
    20859   0.410879E+05   0.321079E+10
    24806   0.504060E+05   0.479103E+10
    29499   0.639687E+05   0.755624E+10
    35080   0.808663E+05   0.120035E+11
    41717   0.100350E+06   0.187306E+11
    49610   0.124796E+06   0.278063E+11
    58997   0.155079E+06   0.422200E+11
    70160   0.191583E+06   0.631417E+11
    83435   0.242376E+06   0.100479E+12
    99221   0.298708E+06   0.151351E+12
   117994   0.377987E+06   0.243543E+12
   140319   0.469167E+06   0.371862E+12
   166868   0.577861E+06   0.560247E+12
   198441   0.731428E+06   0.880954E+12
   235987   0.919251E+06   0.135817E+13
   280637   0.115314E+07   0.212164E+13
   333736   0.145472E+07   0.337134E+13
   396881   0.183823E+07   0.531354E+13
   471974   0.229034E+07   0.814403E+13
   561275   0.290658E+07   0.131304E+14
   667472   0.367086E+07   0.208185E+14
   793762   0.463903E+07   0.330809E+14
   943947   0.592622E+07   0.533370E+14
  1122548   0.750810E+07   0.845338E+14
  1334942   0.949312E+07   0.135066E+15
  1587523   0.121397E+08   0.218712E+15
  1887894   0.151265E+08   0.338258E+15
  2245097   0.193755E+08   0.556607E+15
  2669885   0.244750E+08   0.884569E+15
  3175046   0.308988E+08   0.140420E+16
  3775787   0.391152E+08   0.224328E+16
  4490193   0.497179E+08   0.360931E+16
  5339769   0.625440E+08   0.572938E+16
  6350091   0.790453E+08   0.914882E+16
  7551573   0.995359E+08   0.144489E+17
  8980384   0.126306E+09   0.231083E+17
 10679537   0.160058E+09   0.368803E+17
 12700181   0.201836E+09   0.585172E+17
 15103146   0.253916E+09   0.935535E+17
 17960769   0.321581E+09   0.151597E+18
 21359074   0.406412E+09   0.241072E+18
 25400363   0.506509E+09   0.373069E+18
 30206292   0.641803E+09   0.596205E+18
 35921537   0.803583E+09   0.938976E+18
 42718147   0.101882E+10   0.151125E+19
 50800724   0.129046E+10   0.243288E+19
 60412582   0.161951E+10   0.383460E+19
