 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 weight on force -0.25000000000000000     
 step distribution GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.66666666666666663     
 NT=     67108864
 L=   2000000.0000000000     
 NWALKERS_PER_SET=         128
 NSETS=          16
 IRINIT=           1
 NCONF=        2048
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=    67108864
 WINDOW_WIDTH=            7
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=     10000000
 ==================================
    time         <r^2>         <r^4>
        1   0.102756E+01   0.320851E+01
        2   0.266308E+01   0.209262E+02
        3   0.446919E+01   0.593363E+02
        4   0.663668E+01   0.133609E+03
        5   0.882865E+01   0.228489E+03
        6   0.113707E+02   0.369747E+03
        7   0.138928E+02   0.552452E+03
        8   0.164832E+02   0.770264E+03
       10   0.217556E+02   0.130547E+04
       12   0.280134E+02   0.224546E+04
       14   0.344349E+02   0.345345E+04
       17   0.440763E+02   0.570892E+04
       20   0.539605E+02   0.861222E+04
       24   0.692560E+02   0.145578E+05
       29   0.897171E+02   0.249407E+05
       34   0.110872E+03   0.375734E+05
       40   0.136287E+03   0.568837E+05
       48   0.177109E+03   0.958577E+05
       57   0.223837E+03   0.150599E+06
       68   0.280411E+03   0.230229E+06
       81   0.355614E+03   0.368778E+06
       96   0.446141E+03   0.574709E+06
      114   0.550774E+03   0.877218E+06
      136   0.664506E+03   0.133815E+07
      162   0.843485E+03   0.218539E+07
      193   0.108139E+04   0.356906E+07
      230   0.137971E+04   0.578738E+07
      274   0.175210E+04   0.894674E+07
      326   0.227392E+04   0.150139E+08
      388   0.284012E+04   0.235349E+08
      461   0.362311E+04   0.378915E+08
      548   0.451735E+04   0.582556E+08
      652   0.578571E+04   0.982287E+08
      775   0.741137E+04   0.161155E+09
      922   0.936067E+04   0.264546E+09
     1096   0.117705E+05   0.417251E+09
     1303   0.146272E+05   0.659974E+09
     1550   0.183355E+05   0.104695E+10
     1843   0.230894E+05   0.167235E+10
     2192   0.294750E+05   0.269332E+10
     2607   0.360503E+05   0.405465E+10
     3100   0.453538E+05   0.619222E+10
     3687   0.578977E+05   0.975345E+10
     4385   0.717446E+05   0.153791E+11
     5215   0.899170E+05   0.244357E+11
     6202   0.114271E+06   0.400327E+11
     7375   0.144747E+06   0.608986E+11
     8770   0.182233E+06   0.967105E+11
    10429   0.225966E+06   0.147322E+12
    12402   0.287322E+06   0.240802E+12
    14749   0.363803E+06   0.385111E+12
    17540   0.452674E+06   0.591888E+12
    20859   0.556402E+06   0.880135E+12
    24806   0.697494E+06   0.138792E+13
    29499   0.896640E+06   0.233071E+13
    35080   0.115472E+07   0.393176E+13
    41717   0.147160E+07   0.657062E+13
    49610   0.185804E+07   0.101081E+14
    58997   0.232478E+07   0.155809E+14
    70160   0.290609E+07   0.247977E+14
    83435   0.367823E+07   0.397924E+14
    99221   0.461640E+07   0.637033E+14
   117994   0.602150E+07   0.108000E+15
   140319   0.760650E+07   0.172254E+15
   166868   0.943600E+07   0.270322E+15
   198441   0.119454E+08   0.427012E+15
   235987   0.150230E+08   0.655920E+15
   280637   0.185028E+08   0.980906E+15
   333736   0.233562E+08   0.159101E+16
   396881   0.293675E+08   0.249959E+16
   471974   0.364161E+08   0.374341E+16
   561275   0.462940E+08   0.612364E+16
   667472   0.581453E+08   0.945494E+16
   793762   0.742285E+08   0.153320E+17
   943947   0.949592E+08   0.247941E+17
  1122548   0.119502E+09   0.403068E+17
  1334942   0.151680E+09   0.648800E+17
  1587523   0.193143E+09   0.103718E+18
  1887894   0.241991E+09   0.160478E+18
  2245097   0.314510E+09   0.271027E+18
  2669885   0.401176E+09   0.443883E+18
  3175046   0.502956E+09   0.686683E+18
  3775787   0.638569E+09   0.113309E+19
  4490193   0.802121E+09   0.183924E+19
  5339769   0.101566E+10   0.299965E+19
  6350091   0.127477E+10   0.476489E+19
  7551573   0.156741E+10   0.700265E+19
  8980384   0.196104E+10   0.108695E+20
 10679537   0.241161E+10   0.164316E+20
 12700181   0.294310E+10   0.243196E+20
 15103146   0.372057E+10   0.402433E+20
 17960769   0.476187E+10   0.679656E+20
 21359074   0.595628E+10   0.108162E+21
 25400363   0.751023E+10   0.170867E+21
 30206292   0.944021E+10   0.269428E+21
 35921537   0.118144E+11   0.408945E+21
 42718147   0.148698E+11   0.660589E+21
 50800724   0.191230E+11   0.112375E+22
 60412582   0.241635E+11   0.177652E+22
