
2 param: Y = A x ^ alpha_bar

| $$ \gamma $$ | lower bound | upper bound | fits (A, alpha_bar)   | std_err(A,alpha_bar)  | $$\chi ^ 2$$       | $$ \chi $$         |
| ------------ | ----------- | ----------- | --------------------- | --------------------- | ------------------ | ------------------ |
| 0.3          | 1           | 60412582    | 0.99382873 1.70098745 | 0.00422137 0.00039789 | 39.81073451297281  | 0.6406402605462049 |
| 0.5          | 1           | 60412582    | 1.00114132 1.50047794 | 0.00524228 0.00049122 | 59.72455148933902  | 0.7846763827612558 |
| 2/3          | 1           | 60412582    | 1.00670733 1.33432381 | 0.00571345 0.00053058 | 70.43971766702428  | 0.8521635150375044 |
| 1.0          | 10679537    | 60412582    | 0.0661393 1.33512455  | 0.00241661 0.0021427  | 0.61904624198338   | 0.2622649724533017 |
| 1.3          | 10679537    | 60412582    | 0.06576575 1.33628839 | 0.00275133 0.00245217 | 0.7742174488479515 | 0.2932987572137082 |


1 param: Y = A x ^ alpha 


| $$ \gamma $$ | lower bound | upper bound | fits (A)   | std_err(A) | $$\chi ^ 2$$       | $$ \chi $$          |
| ------------ | ----------- | ----------- | ---------- | ---------- | ------------------ | ------------------- |
| 0.3          | 1           | 60412582    | 1.00309432 | 0.00204524 | 42.335784584289755 | 0.6572653968379194  |
| 0.5          | 1           | 60412582    | 1.00565856 | 0.00244796 | 60.30375433305068  | 0.7844389281326526  |
| 2/3          | 1           | 60412582    | 1.01616753 | 0.00270502 | 72.95537110934936  | 0.8628108496885627  |
| 1.0          | 10679537    | 60412582    | 0.06818949 | 7.89944e-5 | 0.6670931939172864 | 0.25828147318715805 |
| 1.3          | 10679537    | 60412582    | 0.06916425 | 9.45932e-5 | 0.8988057328980672 | 0.2998008894079648  |
