 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 step distribution GAU
 weight on force=  -6.2500000000000000E-002
 STEPSIG=   1.0000000000000000     
 GAMMMA=   1.3000000000000000     
 NT=     67108864
 L=   1000000.0000000000     
 NWALKERS_PER_SET=         128
 NSETS=          60
 IRINIT=           1
 NCONF=        7680
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=    67108864
 WINDOW_WIDTH=            7
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=      5000000
 ==================================
    time         <r^2>         <r^4>
         1   0.996114E+00   0.299064E+01
         2   0.161236E+01   0.749636E+01
         3   0.220284E+01   0.143308E+02
         4   0.269123E+01   0.217047E+02
         5   0.310180E+01   0.286722E+02
         6   0.352328E+01   0.360076E+02
         7   0.392863E+01   0.451737E+02
         8   0.429642E+01   0.536887E+02
        10   0.496980E+01   0.717361E+02
        12   0.570897E+01   0.971299E+02
        14   0.636311E+01   0.120069E+03
        17   0.737396E+01   0.162467E+03
        20   0.820807E+01   0.200683E+03
        24   0.952319E+01   0.267510E+03
        29   0.108393E+02   0.346494E+03
        34   0.122037E+02   0.425559E+03
        40   0.133325E+02   0.515862E+03
        48   0.155500E+02   0.707198E+03
        57   0.179076E+02   0.934975E+03
        68   0.203747E+02   0.117037E+04
        81   0.232058E+02   0.148303E+04
        96   0.266808E+02   0.192634E+04
       114   0.303421E+02   0.250457E+04
       136   0.345877E+02   0.332992E+04
       162   0.400893E+02   0.433399E+04
       193   0.471608E+02   0.593148E+04
       230   0.551990E+02   0.784604E+04
       274   0.642568E+02   0.102867E+05
       326   0.763389E+02   0.143060E+05
       388   0.898790E+02   0.190366E+05
       461   0.106107E+03   0.259037E+05
       548   0.129080E+03   0.370950E+05
       652   0.156822E+03   0.538209E+05
       775   0.190982E+03   0.757422E+05
       922   0.230873E+03   0.109087E+06
      1096   0.280987E+03   0.155431E+06
      1303   0.343410E+03   0.225965E+06
      1550   0.421867E+03   0.325317E+06
      1843   0.526470E+03   0.487652E+06
      2192   0.660216E+03   0.751309E+06
      2607   0.825446E+03   0.113695E+07
      3100   0.105109E+04   0.178813E+07
      3687   0.133277E+04   0.281395E+07
      4385   0.168258E+04   0.438511E+07
      5215   0.214547E+04   0.694175E+07
      6202   0.274672E+04   0.112420E+08
      7375   0.348556E+04   0.178962E+08
      8770   0.445059E+04   0.287780E+08
     10429   0.565015E+04   0.457403E+08
     12402   0.726045E+04   0.751266E+08
     14749   0.931962E+04   0.123222E+09
     17540   0.118513E+05   0.197863E+09
     20859   0.150573E+05   0.318680E+09
     24806   0.192200E+05   0.521030E+09
     29499   0.244534E+05   0.843844E+09
     35080   0.309339E+05   0.135120E+10
     41717   0.393138E+05   0.218495E+10
     49610   0.497378E+05   0.350396E+10
     58997   0.628620E+05   0.561275E+10
     70160   0.794104E+05   0.895300E+10
     83435   0.100287E+06   0.143420E+11
     99221   0.126442E+06   0.228374E+11
    117994   0.159667E+06   0.365552E+11
    140319   0.201329E+06   0.581499E+11
    166868   0.253543E+06   0.924733E+11
    198441   0.319375E+06   0.147010E+12
    235987   0.402599E+06   0.234177E+12
    280637   0.505736E+06   0.370380E+12
    333736   0.634781E+06   0.584848E+12
    396881   0.798080E+06   0.926635E+12
    471974   0.100241E+07   0.146162E+13
    561275   0.125946E+07   0.231138E+13
    667472   0.158686E+07   0.367242E+13
    793762   0.200207E+07   0.584416E+13
    943947   0.252782E+07   0.931538E+13
   1122548   0.318718E+07   0.147933E+14
   1334942   0.401701E+07   0.234619E+14
   1587523   0.506894E+07   0.372790E+14
   1887894   0.638200E+07   0.590474E+14
   2245097   0.805047E+07   0.940309E+14
   2669885   0.101588E+08   0.149717E+15
   3175046   0.127655E+08   0.236051E+15
   3775787   0.161077E+08   0.376033E+15
   4490193   0.203036E+08   0.597684E+15
   5339769   0.256413E+08   0.953655E+15
   6350091   0.323264E+08   0.151999E+16
   7551573   0.407552E+08   0.241506E+16
   8980384   0.513493E+08   0.384383E+16
  10679537   0.645941E+08   0.608768E+16
  12700181   0.813485E+08   0.965358E+16
  15103146   0.102176E+09   0.152400E+17
  17960769   0.128636E+09   0.241560E+17
  21359074   0.161921E+09   0.382733E+17
  25400363   0.203385E+09   0.603532E+17
  30206292   0.255180E+09   0.950652E+17
  35921537   0.321794E+09   0.151181E+18
  42718147   0.404428E+09   0.238456E+18
  50800724   0.510116E+09   0.379615E+18
  60412582   0.644359E+09   0.605191E+18
