 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 weight on force=  -1.5625000000000000E-002
 step distribution GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=   1.3000000000000000     
 NT=     67108864
 L=   1000000.0000000000     
 NWALKERS_PER_SET=         128
 NSETS=          60
 IRINIT=           1
 NCONF=        7680
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=    67108864
 WINDOW_WIDTH=            7
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=      5000000
 ==================================
    time         <r^2>         <r^4>
         1   0.996114E+00   0.299064E+01
         2   0.161146E+01   0.748926E+01
         3   0.220010E+01   0.143033E+02
         4   0.268590E+01   0.216411E+02
         5   0.309324E+01   0.285580E+02
         6   0.351076E+01   0.358254E+02
         7   0.391165E+01   0.448989E+02
         8   0.427407E+01   0.532958E+02
        10   0.493555E+01   0.710469E+02
        12   0.566089E+01   0.960430E+02
        14   0.629915E+01   0.118475E+03
        17   0.728225E+01   0.159867E+03
        20   0.808563E+01   0.196838E+03
        24   0.935292E+01   0.261300E+03
        29   0.106014E+02   0.336774E+03
        34   0.118914E+02   0.411342E+03
        40   0.129256E+02   0.495878E+03
        48   0.149871E+02   0.674918E+03
        57   0.171443E+02   0.883791E+03
        68   0.193521E+02   0.109425E+04
        81   0.218205E+02   0.136692E+04
        96   0.248328E+02   0.174971E+04
       114   0.278818E+02   0.224278E+04
       136   0.313167E+02   0.293649E+04
       162   0.356942E+02   0.372935E+04
       193   0.412052E+02   0.498596E+04
       230   0.471547E+02   0.637604E+04
       274   0.535381E+02   0.804855E+04
       326   0.619552E+02   0.108002E+05
       388   0.706808E+02   0.136950E+05
       461   0.805738E+02   0.176806E+05
       548   0.944904E+02   0.239465E+05
       652   0.110559E+03   0.330275E+05
       775   0.128852E+03   0.433390E+05
       922   0.148835E+03   0.584025E+05
      1096   0.172557E+03   0.763292E+05
      1303   0.200581E+03   0.101567E+06
      1550   0.234067E+03   0.132429E+06
      1843   0.278009E+03   0.179479E+06
      2192   0.334552E+03   0.255951E+06
      2607   0.395727E+03   0.348004E+06
      3100   0.483186E+03   0.499600E+06
      3687   0.589710E+03   0.714149E+06
      4385   0.714660E+03   0.100812E+07
      5215   0.876946E+03   0.146241E+07
      6202   0.108949E+04   0.218903E+07
      7375   0.134482E+04   0.322229E+07
      8770   0.167239E+04   0.487367E+07
     10429   0.205567E+04   0.710488E+07
     12402   0.261377E+04   0.111397E+08
     14749   0.334437E+04   0.178754E+08
     17540   0.420383E+04   0.274014E+08
     20859   0.529198E+04   0.427319E+08
     24806   0.675677E+04   0.694894E+08
     29499   0.865725E+04   0.112012E+09
     35080   0.110344E+05   0.178467E+09
     41717   0.140706E+05   0.287372E+09
     49610   0.180044E+05   0.465082E+09
     58997   0.230092E+05   0.755100E+09
     70160   0.294645E+05   0.122688E+10
     83435   0.376479E+05   0.199849E+10
     99221   0.479637E+05   0.323936E+10
    117994   0.611697E+05   0.527744E+10
    140319   0.778582E+05   0.853925E+10
    166868   0.987129E+05   0.137491E+11
    198441   0.125144E+06   0.221615E+11
    235987   0.158723E+06   0.356792E+11
    280637   0.199925E+06   0.566566E+11
    333736   0.252872E+06   0.908559E+11
    396881   0.320021E+06   0.145796E+12
    471974   0.403535E+06   0.233040E+12
    561275   0.507675E+06   0.370307E+12
    667472   0.640214E+06   0.589676E+12
    793762   0.807253E+06   0.939600E+12
    943947   0.101533E+07   0.148834E+13
   1122548   0.127738E+07   0.235922E+13
   1334942   0.160972E+07   0.375102E+13
   1587523   0.202756E+07   0.596628E+13
   1887894   0.255011E+07   0.945566E+13
   2245097   0.321378E+07   0.150264E+14
   2669885   0.404719E+07   0.238238E+14
   3175046   0.508650E+07   0.376428E+14
   3775787   0.639938E+07   0.595173E+14
   4490193   0.806254E+07   0.943521E+14
   5339769   0.101413E+08   0.149381E+15
   6350091   0.127791E+08   0.237618E+15
   7551573   0.161344E+08   0.378772E+15
   8980384   0.203758E+08   0.604108E+15
  10679537   0.256918E+08   0.959908E+15
  12700181   0.323022E+08   0.151782E+16
  15103146   0.406880E+08   0.240986E+16
  17960769   0.513705E+08   0.384412E+16
  21359074   0.646419E+08   0.608921E+16
  25400363   0.810880E+08   0.956761E+16
  30206292   0.101934E+09   0.151379E+17
  35921537   0.128121E+09   0.239416E+17
  42718147   0.161298E+09   0.378700E+17
  50800724   0.203065E+09   0.601331E+17
  60412582   0.256128E+09   0.957398E+17
