 Program Soft FBM Gaussian Binned (procs as sets)
 average displacement of reflected FBM
 weight on force=  -4.0000000000000000     
 step distribution GAU
 STEPSIG=   1.0000000000000000     
 GAMMMA=   1.3000000000000000     
 NT=     67108864
 L=   1000000.0000000000     
 NWALKERS_PER_SET=         128
 NSETS=          60
 IRINIT=           1
 NCONF=        7680
 FORCE_TYPE= LINEAR
 FORCE_TEST= NONE
 GRAD_FORM= SYMM
 GRAD_DX=            1
 GRAD_TEST= NONE
 KILL_FBM_TIME=    67108864
 WINDOW_WIDTH=            7
 WALKER_SIGMA=  0.50000000000000000     
 WALKER_WIDTH=    1.5000000000000000     
 NBINS=      5000000
 ==================================
    time         <r^2>         <r^4>
         1   0.996114E+00   0.299064E+01
         2   0.169135E+01   0.812820E+01
         3   0.244591E+01   0.168407E+02
         4   0.316780E+01   0.276374E+02
         5   0.387124E+01   0.395780E+02
         6   0.465550E+01   0.539174E+02
         7   0.547270E+01   0.727117E+02
         8   0.632865E+01   0.938003E+02
        10   0.808511E+01   0.145494E+03
        12   0.100577E+02   0.217108E+03
        14   0.121347E+02   0.303393E+03
        17   0.155753E+02   0.474137E+03
        20   0.190678E+02   0.681005E+03
        24   0.244665E+02   0.108087E+04
        29   0.313735E+02   0.169970E+04
        34   0.389787E+02   0.252462E+04
        40   0.481279E+02   0.372866E+04
        48   0.624575E+02   0.615576E+04
        57   0.803338E+02   0.998423E+04
        68   0.102655E+03   0.158280E+05
        81   0.132109E+03   0.257211E+05
        96   0.169165E+03   0.416432E+05
       114   0.215949E+03   0.670246E+05
       136   0.275146E+03   0.108141E+06
       162   0.355217E+03   0.179081E+06
       193   0.457496E+03   0.294877E+06
       230   0.588301E+03   0.485703E+06
       274   0.750165E+03   0.788594E+06
       326   0.956502E+03   0.128485E+07
       388   0.121693E+04   0.208447E+07
       461   0.154064E+04   0.334756E+07
       548   0.195859E+04   0.540744E+07
       652   0.247891E+04   0.869649E+07
       775   0.313785E+04   0.139771E+08
       922   0.394891E+04   0.222552E+08
      1096   0.497134E+04   0.353394E+08
      1303   0.626201E+04   0.562966E+08
      1550   0.788789E+04   0.895953E+08
      1843   0.994003E+04   0.142735E+09
      2192   0.125260E+05   0.227034E+09
      2607   0.157096E+05   0.357347E+09
      3100   0.197978E+05   0.567930E+09
      3687   0.249439E+05   0.903003E+09
      4385   0.314142E+05   0.143293E+10
      5215   0.395699E+05   0.227139E+10
      6202   0.498192E+05   0.360875E+10
      7375   0.625674E+05   0.569629E+10
      8770   0.787893E+05   0.902660E+10
     10429   0.993789E+05   0.143294E+11
     12402   0.125684E+06   0.229294E+11
     14749   0.158326E+06   0.363771E+11
     17540   0.199144E+06   0.575751E+11
     20859   0.250858E+06   0.914566E+11
     24806   0.315562E+06   0.144824E+12
     29499   0.397221E+06   0.229086E+12
     35080   0.500662E+06   0.363769E+12
     41717   0.632299E+06   0.580800E+12
     49610   0.795571E+06   0.919818E+12
     58997   0.100210E+07   0.145979E+13
     70160   0.126315E+07   0.231950E+13
     83435   0.159062E+07   0.368204E+13
     99221   0.200355E+07   0.585160E+13
    117994   0.253040E+07   0.933426E+13
    140319   0.318761E+07   0.148210E+14
    166868   0.400277E+07   0.233457E+14
    198441   0.503384E+07   0.368836E+14
    235987   0.632965E+07   0.582787E+14
    280637   0.797796E+07   0.927237E+14
    333736   0.100690E+08   0.147602E+15
    396881   0.126833E+08   0.233989E+15
    471974   0.159859E+08   0.372527E+15
    561275   0.201492E+08   0.591724E+15
    667472   0.253846E+08   0.939420E+15
    793762   0.319781E+08   0.149163E+16
    943947   0.402304E+08   0.236083E+16
   1122548   0.505412E+08   0.372259E+16
   1334942   0.637552E+08   0.591831E+16
   1587523   0.804835E+08   0.943449E+16
   1887894   0.101413E+09   0.150059E+17
   2245097   0.127525E+09   0.237740E+17
   2669885   0.159946E+09   0.373491E+17
   3175046   0.201421E+09   0.591729E+17
   3775787   0.254055E+09   0.938589E+17
   4490193   0.321479E+09   0.150666E+18
   5339769   0.404081E+09   0.238067E+18
   6350091   0.508256E+09   0.376955E+18
   7551573   0.640843E+09   0.598834E+18
   8980384   0.806153E+09   0.946984E+18
  10679537   0.101357E+10   0.149416E+19
  12700181   0.127662E+10   0.237789E+19
  15103146   0.161255E+10   0.379020E+19
  17960769   0.202852E+10   0.601793E+19
  21359074   0.255384E+10   0.954639E+19
  25400363   0.321539E+10   0.151204E+20
  30206292   0.405810E+10   0.240729E+20
  35921537   0.510116E+10   0.380177E+20
  42718147   0.642818E+10   0.603065E+20
  50800724   0.810171E+10   0.957085E+20
  60412582   0.102158E+11   0.152207E+21
