    time    <nwalker>     <r>         <r^2>
        1  0.100000E+01 -0.910629E-02  0.964360E+00
        2  0.999596E+00 -0.113844E-01  0.337658E+01
        3  0.100222E+01 -0.857350E-02  0.704224E+01
        4  0.100485E+01 -0.168123E-01  0.118401E+02
        5  0.100525E+01 -0.151557E-01  0.177017E+02
        6  0.100364E+01 -0.186155E-01  0.245507E+02
        7  0.100444E+01 -0.168751E-01  0.323703E+02
        8  0.100788E+01  0.900784E-03  0.409817E+02
       10  0.100747E+01 -0.150885E-01  0.606611E+02
       12  0.100848E+01 -0.101705E-01  0.847513E+02
       14  0.101010E+01  0.882469E-02  0.111336E+03
       17  0.101374E+01 -0.844497E-02  0.157875E+03
       20  0.101616E+01 -0.171706E-01  0.210957E+03
       24  0.102141E+01 -0.807060E-02  0.288568E+03
       29  0.102485E+01 -0.114457E-02  0.407221E+03
       34  0.102747E+01 -0.188452E-01  0.539315E+03
       40  0.103859E+01  0.310262E+00  0.722992E+03
       48  0.104141E+01  0.564239E+00  0.100853E+04
       57  0.105172E+01  0.348660E+00  0.138417E+04
       68  0.106040E+01  0.199372E+00  0.191399E+04
       81  0.106020E+01 -0.172700E-01  0.266168E+04
       96  0.105717E+01 -0.179550E+00  0.363099E+04
      114  0.107758E+01  0.857174E+00  0.501248E+04
      136  0.108929E+01  0.864494E+00  0.688846E+04
      162  0.110465E+01  0.652729E+00  0.938039E+04
      193  0.111919E+01  0.784135E+00  0.127196E+05
      230  0.113212E+01  0.307522E+01  0.174435E+05
      274  0.114545E+01  0.333686E+01  0.239285E+05
      326  0.115152E+01  0.661834E+01  0.325352E+05
      388  0.115818E+01  0.737764E+01  0.455431E+05
      461  0.118061E+01  0.108827E+02  0.618980E+05
      548  0.122242E+01  0.269209E+01  0.855060E+05
      652  0.124000E+01  0.265412E+01  0.111479E+06
      775  0.127515E+01  0.382732E+01  0.138226E+06
      922  0.133859E+01  0.217721E+02  0.171161E+06
     1096  0.137293E+01  0.154932E+02  0.208676E+06
     1303  0.144202E+01  0.155686E+02  0.233455E+06
     1550  0.144687E+01  0.104602E+02  0.267484E+06
     1843  0.156263E+01  0.258297E+02  0.291745E+06
     2192  0.164000E+01  0.366021E+02  0.315647E+06
     2607  0.169475E+01  0.195962E+02  0.333023E+06
     3100  0.195172E+01  0.504399E+02  0.347403E+06
     3687  0.215172E+01  0.415835E+02  0.355919E+06
     4385  0.247354E+01  0.667375E+02  0.360974E+06
     5215  0.281293E+01  0.809991E+02  0.367313E+06
     6202  0.345758E+01  0.122437E+03  0.354403E+06
     7375  0.435455E+01  0.985143E+02  0.353789E+06
     8770  0.568364E+01  0.568759E+02  0.346688E+06
    10429  0.785556E+01  0.651651E+02  0.359683E+06
    12402  0.119691E+02  0.355085E+02  0.355714E+06
    14749  0.194406E+02  0.297959E+02  0.361322E+06
    16383  0.269974E+02  0.153513E+02  0.359218E+06
