    time    <nwalker>     <r>         <r^2>          <r^4>         var      err
        1  0.100000E+01 -0.848390E-02  0.961508E+00  0.271348E+01  0.178899E+01  0.189307E-01
        2  0.999800E+00 -0.125457E-01  0.336725E+01  0.333749E+02  0.220365E+02  0.664473E-01
        3  0.100220E+01 -0.109040E-01  0.702469E+01  0.145664E+03  0.963175E+02  0.138751E+00
        4  0.100441E+01 -0.203376E-01  0.118158E+02  0.416113E+03  0.276499E+03  0.234831E+00
        5  0.100441E+01 -0.198215E-01  0.176763E+02  0.950006E+03  0.637555E+03  0.356588E+00
        6  0.100280E+01 -0.227340E-01  0.245194E+02  0.184767E+04  0.124647E+04  0.498995E+00
        7  0.100361E+01 -0.211174E-01  0.323590E+02  0.323705E+04  0.218995E+04  0.661148E+00
        8  0.100681E+01 -0.249643E-02  0.409689E+02  0.518890E+04  0.351045E+04  0.835738E+00
       10  0.100621E+01 -0.215500E-01  0.606193E+02  0.112684E+05  0.759369E+04  0.122955E+01
       12  0.100621E+01 -0.869075E-02  0.845291E+02  0.220644E+05  0.149192E+05  0.172342E+01
       14  0.100761E+01  0.131143E-01  0.111131E+03  0.379816E+05  0.256314E+05  0.225737E+01
       17  0.101122E+01 -0.263088E-02  0.157559E+03  0.758563E+05  0.510316E+05  0.317951E+01
       20  0.101242E+01 -0.982414E-02  0.210926E+03  0.137679E+06  0.931894E+05  0.429404E+01
       24  0.101783E+01 -0.257096E-01  0.288399E+03  0.257477E+06  0.174304E+06  0.585704E+01
       29  0.102003E+01 -0.768659E-02  0.406368E+03  0.507683E+06  0.342548E+06  0.820194E+01
       34  0.102224E+01 -0.354862E-01  0.537966E+03  0.875267E+06  0.585859E+06  0.107148E+02
       40  0.103065E+01  0.226661E+00  0.719937E+03  0.157611E+07  0.105780E+07  0.143387E+02
       48  0.102985E+01  0.582113E+00  0.100470E+04  0.306394E+07  0.205451E+07  0.199908E+02
       57  0.103986E+01  0.398527E+00  0.138192E+04  0.581978E+07  0.391008E+07  0.274452E+02
       68  0.104647E+01  0.336400E+00  0.190981E+04  0.110656E+08  0.741823E+07  0.376833E+02
       81  0.104487E+01  0.151879E+00  0.265350E+04  0.210238E+08  0.139827E+08  0.517758E+02
       96  0.103726E+01  0.391491E-02  0.362026E+04  0.391367E+08  0.260304E+08  0.709021E+02
      114  0.104948E+01  0.100160E+01  0.498292E+04  0.759568E+08  0.511272E+08  0.987875E+02
      136  0.105609E+01  0.143038E+01  0.687410E+04  0.142646E+09  0.953926E+08  0.134515E+03
      162  0.106931E+01  0.858264E+00  0.932281E+04  0.265160E+09  0.178245E+09  0.182734E+03
      193  0.107692E+01  0.792079E+00  0.125831E+05  0.476386E+09  0.318051E+09  0.243231E+03
      230  0.107853E+01  0.363047E+01  0.172429E+05  0.871011E+09  0.573694E+09  0.326428E+03
      274  0.107953E+01  0.233329E+01  0.235470E+05  0.164591E+10  0.109145E+10  0.450037E+03
      326  0.109014E+01  0.569499E+01  0.319725E+05  0.292723E+10  0.190498E+10  0.591652E+03
      388  0.107272E+01  0.800984E+01  0.430179E+05  0.509051E+10  0.323997E+10  0.777840E+03
      461  0.107392E+01  0.120556E+02  0.566758E+05  0.823165E+10  0.501950E+10  0.967626E+03
      548  0.109295E+01  0.120545E+02  0.746540E+05  0.128253E+11  0.725212E+10  0.115291E+04
      652  0.109555E+01  0.294325E+01  0.886070E+05  0.168081E+11  0.895690E+10  0.127975E+04
      775  0.112039E+01  0.175517E+02  0.102597E+06  0.207279E+11  0.102017E+11  0.135056E+04
      922  0.113822E+01  0.213299E+02  0.118534E+06  0.255125E+11  0.114621E+11  0.142031E+04
     1096  0.115705E+01  0.167481E+02  0.137034E+06  0.312371E+11  0.124588E+11  0.146867E+04
     1303  0.120413E+01  0.194131E+02  0.150474E+06  0.353164E+11  0.126739E+11  0.145205E+04
     1550  0.120913E+01  0.297821E+02  0.164767E+06  0.397875E+11  0.126392E+11  0.144706E+04
     1843  0.127183E+01  0.168790E+02  0.181809E+06  0.447292E+11  0.116747E+11  0.135603E+04
     2192  0.130929E+01 -0.325280E+01  0.189352E+06  0.470031E+11  0.111489E+11  0.130605E+04
     2607  0.133514E+01  0.625894E+00  0.199370E+06  0.497783E+11  0.100300E+11  0.122673E+04
     3100  0.141907E+01 -0.644917E+01  0.201422E+06  0.506743E+11  0.101036E+11  0.119426E+04
     3687  0.143189E+01  0.169792E+02  0.203078E+06  0.515039E+11  0.102632E+11  0.119826E+04
     4385  0.159996E+01  0.246445E+02  0.202991E+06  0.512314E+11  0.100259E+11  0.112039E+04
     5215  0.191506E+01  0.405541E+00  0.204263E+06  0.513330E+11  0.960949E+10  0.100259E+04
     6202  0.191106E+01  0.294887E+02  0.199230E+06  0.496651E+11  0.997260E+10  0.102242E+04
     7375  0.208313E+01  0.188259E+02  0.196849E+06  0.490436E+11  0.102940E+11  0.994936E+03
     8770  0.246695E+01  0.118989E+02  0.199627E+06  0.496313E+11  0.978052E+10  0.891176E+03
    10429  0.278486E+01  0.216160E+02  0.194412E+06  0.481595E+11  0.103636E+11  0.863411E+03
    12402  0.319331E+01  0.319201E+02  0.201474E+06  0.506736E+11  0.100819E+11  0.795270E+03
    14749  0.372356E+01  0.342960E+02  0.203232E+06  0.511105E+11  0.980710E+10  0.726363E+03
    16383  0.440385E+01  0.626451E+02  0.202378E+06  0.508374E+11  0.988054E+10  0.670404E+03
