   ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
       0  -0.230259E+01   0.100000E+00   0.789109E+00   0.789109E+01   0.714286E-04   0.110475E+05
       1  -0.220712E+01   0.110017E+00   0.839639E+00   0.763188E+01   0.785838E-04   0.106846E+05
       2  -0.211165E+01   0.121038E+00   0.879903E+00   0.726963E+01   0.864559E-04   0.101775E+05
       3  -0.201618E+01   0.133163E+00   0.927151E+00   0.696252E+01   0.951165E-04   0.974753E+04
       4  -0.192071E+01   0.146503E+00   0.971318E+00   0.663004E+01   0.104645E-03   0.928206E+04
       5  -0.182524E+01   0.161178E+00   0.101407E+01   0.629162E+01   0.115127E-03   0.880827E+04
       6  -0.172978E+01   0.177324E+00   0.104889E+01   0.591511E+01   0.126660E-03   0.828115E+04
       7  -0.163431E+01   0.195087E+00   0.107718E+01   0.552153E+01   0.139348E-03   0.773014E+04
       8  -0.153884E+01   0.214630E+00   0.110441E+01   0.514566E+01   0.153307E-03   0.720392E+04
       9  -0.144337E+01   0.236130E+00   0.111772E+01   0.473349E+01   0.168664E-03   0.662688E+04
      10  -0.134790E+01   0.259784E+00   0.112039E+01   0.431279E+01   0.185560E-03   0.603790E+04
      11  -0.125244E+01   0.285808E+00   0.112547E+01   0.393785E+01   0.204148E-03   0.551299E+04
      12  -0.115697E+01   0.314438E+00   0.111236E+01   0.353761E+01   0.224599E-03   0.495266E+04
      13  -0.106150E+01   0.345937E+00   0.109262E+01   0.315844E+01   0.247098E-03   0.442181E+04
      14  -0.966031E+00   0.380590E+00   0.105827E+01   0.278060E+01   0.271850E-03   0.389284E+04
      15  -0.870563E+00   0.418716E+00   0.101469E+01   0.242333E+01   0.299083E-03   0.339266E+04
      16  -0.775095E+00   0.460660E+00   0.969497E+00   0.210458E+01   0.329043E-03   0.294641E+04
      17  -0.679627E+00   0.506806E+00   0.910903E+00   0.179734E+01   0.362004E-03   0.251628E+04
      18  -0.584159E+00   0.557575E+00   0.850741E+00   0.152579E+01   0.398268E-03   0.213610E+04
      19  -0.488691E+00   0.613429E+00   0.791298E+00   0.128996E+01   0.438164E-03   0.180594E+04
      20  -0.393223E+00   0.674879E+00   0.730687E+00   0.108269E+01   0.482056E-03   0.151577E+04
      21  -0.297754E+00   0.742484E+00   0.676882E+00   0.911645E+00   0.530345E-03   0.127630E+04
      22  -0.202286E+00   0.816861E+00   0.626082E+00   0.766449E+00   0.583472E-03   0.107303E+04
      23  -0.106818E+00   0.898689E+00   0.583020E+00   0.648745E+00   0.641921E-03   0.908242E+03
      24  -0.113501E-01   0.988714E+00   0.543597E+00   0.549802E+00   0.706224E-03   0.769723E+03
      25   0.841181E-01   0.108776E+01   0.513550E+00   0.472118E+00   0.776970E-03   0.660965E+03
