     time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
        1   109440  0.100000E+01  0.000000E+00  0.298986E-02  0.997470E+00  0.301898E-02  0.427532E-02
        2   108338  0.100954E+01  0.972271E-01  0.139534E-02  0.131290E+01  0.348117E-02  0.564536E-02
        3   107351  0.101963E+01  0.140119E+00  0.999705E-03  0.154128E+01  0.378911E-02  0.661781E-02
        4   106355  0.102926E+01  0.171632E+00  0.952335E-03  0.172992E+01  0.403305E-02  0.747621E-02
        5   105355  0.103957E+01  0.200848E+00 -0.272179E-02  0.189393E+01  0.423988E-02  0.817706E-02
        6   104352  0.104945E+01  0.225299E+00 -0.182635E-02  0.202623E+01  0.440650E-02  0.880702E-02
        7   103396  0.105952E+01  0.248282E+00 -0.522004E-02  0.215506E+01  0.456536E-02  0.938533E-02
        8   102458  0.106873E+01  0.268274E+00 -0.518360E-02  0.226498E+01  0.470172E-02  0.987656E-02
        9   101559  0.107872E+01  0.288613E+00  0.207071E-02  0.239320E+01  0.485433E-02  0.105399E-01
       10   100611  0.108910E+01  0.307887E+00  0.203655E-02  0.249607E+01  0.498087E-02  0.109714E-01
       11    99732  0.109940E+01  0.326746E+00  0.863433E-02  0.259035E+01  0.509631E-02  0.114249E-01
       12    98842  0.110868E+01  0.343411E+00  0.396662E-02  0.267371E+01  0.520098E-02  0.117650E-01
       13    98009  0.111898E+01  0.360957E+00  0.732681E-03  0.276475E+01  0.531123E-02  0.122252E-01
       14    97172  0.112890E+01  0.377213E+00  0.191956E-03  0.284962E+01  0.541530E-02  0.126079E-01
       15    96313  0.113955E+01  0.393938E+00  0.466717E-02  0.293554E+01  0.552077E-02  0.130238E-01
       16    95489  0.114923E+01  0.409255E+00  0.795689E-02  0.301122E+01  0.561552E-02  0.133842E-01
       17    94686  0.115907E+01  0.424595E+00  0.918506E-02  0.308006E+01  0.570336E-02  0.136925E-01
       18    93882  0.116929E+01  0.439333E+00  0.797206E-02  0.315489E+01  0.579691E-02  0.140985E-01
       19    93198  0.117868E+01  0.453690E+00  0.568247E-02  0.321942E+01  0.587737E-02  0.143465E-01
       20    92450  0.118856E+01  0.467796E+00  0.103257E-02  0.330568E+01  0.597966E-02  0.147891E-01
       21    91705  0.119819E+01  0.481973E+00  0.224353E-02  0.335523E+01  0.604873E-02  0.151197E-01
       22    91010  0.120852E+01  0.496178E+00  0.235756E-02  0.342867E+01  0.613788E-02  0.155125E-01
       23    90282  0.121853E+01  0.510644E+00  0.391661E-02  0.346976E+01  0.619937E-02  0.158256E-01
       24    89541  0.122851E+01  0.524912E+00 -0.114770E-02  0.354596E+01  0.629297E-02  0.160330E-01
       25    88822  0.123823E+01  0.538105E+00 -0.450458E-02  0.361467E+01  0.637930E-02  0.164651E-01
       26    88147  0.124796E+01  0.551183E+00  0.561405E-02  0.368122E+01  0.646235E-02  0.167744E-01
       27    87449  0.125784E+01  0.564132E+00  0.572612E-02  0.370976E+01  0.651319E-02  0.169121E-01
       28    86780  0.126830E+01  0.578382E+00  0.447902E-02  0.378452E+01  0.660381E-02  0.172681E-01
       29    86100  0.127847E+01  0.591200E+00 -0.208660E-02  0.383926E+01  0.667762E-02  0.176435E-01
       30    85447  0.128907E+01  0.604035E+00  0.735468E-04  0.389499E+01  0.675157E-02  0.179117E-01
       31    84843  0.129967E+01  0.618060E+00 -0.382007E-02  0.393609E+01  0.681120E-02  0.181433E-01
       32    84172  0.131016E+01  0.631260E+00 -0.598457E-02  0.398541E+01  0.688099E-02  0.185000E-01
       33    83555  0.132029E+01  0.644066E+00 -0.556451E-02  0.402280E+01  0.693867E-02  0.186586E-01
       34    82946  0.133036E+01  0.657825E+00 -0.608167E-02  0.407736E+01  0.701116E-02  0.189183E-01
       35    82340  0.134034E+01  0.670451E+00 -0.329534E-02  0.411623E+01  0.707040E-02  0.191227E-01
       36    81748  0.134975E+01  0.682811E+00 -0.181873E-02  0.417838E+01  0.714932E-02  0.195101E-01
       37    81163  0.135876E+01  0.693739E+00 -0.197302E-02  0.424292E+01  0.723024E-02  0.198907E-01
       38    80581  0.136875E+01  0.705988E+00 -0.145876E-02  0.427276E+01  0.728178E-02  0.199507E-01
       39    79981  0.137970E+01  0.718902E+00 -0.360748E-02  0.432312E+01  0.735198E-02  0.202334E-01
       40    79430  0.139003E+01  0.729799E+00 -0.551618E-02  0.435414E+01  0.740385E-02  0.205122E-01
       42    78346  0.141009E+01  0.752596E+00 -0.892733E-02  0.444237E+01  0.753000E-02  0.209712E-01
       44    77212  0.143147E+01  0.777777E+00 -0.627412E-02  0.452344E+01  0.765403E-02  0.214338E-01
       46    76203  0.145148E+01  0.800897E+00 -0.637574E-02  0.459751E+01  0.776736E-02  0.219792E-01
       48    75185  0.147305E+01  0.827277E+00 -0.443451E-02  0.469268E+01  0.790030E-02  0.223978E-01
       50    74294  0.149260E+01  0.851756E+00 -0.122291E-02  0.477983E+01  0.802102E-02  0.227747E-01
       52    73358  0.151201E+01  0.874472E+00  0.105792E-02  0.483014E+01  0.811439E-02  0.231522E-01
       54    72416  0.153128E+01  0.896342E+00 -0.236394E-02  0.488509E+01  0.821332E-02  0.235246E-01
       56    71553  0.155151E+01  0.918844E+00 -0.189419E-02  0.493922E+01  0.830836E-02  0.239167E-01
       58    70675  0.157150E+01  0.941166E+00  0.475965E-02  0.499978E+01  0.841088E-02  0.244352E-01
       60    69770  0.159104E+01  0.962328E+00  0.598028E-02  0.506173E+01  0.851753E-02  0.246497E-01
       63    68513  0.162079E+01  0.995609E+00  0.110443E-02  0.517340E+01  0.868963E-02  0.254342E-01
       66    67276  0.165170E+01  0.103153E+01  0.296659E-03  0.526189E+01  0.884383E-02  0.260292E-01
       69    66114  0.168265E+01  0.106502E+01  0.151608E-02  0.536801E+01  0.901073E-02  0.265980E-01
       72    65055  0.171206E+01  0.109903E+01 -0.851493E-02  0.546198E+01  0.916288E-02  0.273174E-01
       75    63987  0.174412E+01  0.113576E+01 -0.140928E-02  0.556549E+01  0.932622E-02  0.278765E-01
       78    62902  0.177454E+01  0.116725E+01 -0.995684E-03  0.566961E+01  0.949390E-02  0.285488E-01
       81    61892  0.180448E+01  0.119911E+01 -0.109934E-01  0.575989E+01  0.964684E-02  0.292434E-01
       85    60650  0.184536E+01  0.124111E+01 -0.632539E-02  0.588901E+01  0.985381E-02  0.298994E-01
       89    59376  0.188345E+01  0.128572E+01 -0.750844E-02  0.601061E+01  0.100612E-01  0.308168E-01
       93    58189  0.192504E+01  0.132967E+01 -0.850523E-03  0.609404E+01  0.102337E-01  0.317161E-01
       97    57040  0.196727E+01  0.137472E+01  0.391734E-02  0.619555E+01  0.104220E-01  0.322325E-01
      101    55957  0.200474E+01  0.141517E+01  0.124442E-02  0.629740E+01  0.106085E-01  0.330254E-01
      106    54659  0.205743E+01  0.147465E+01 -0.600784E-02  0.641170E+01  0.108306E-01  0.334328E-01
      111    53449  0.210788E+01  0.152918E+01 -0.511522E-02  0.652113E+01  0.110456E-01  0.345207E-01
      116    52258  0.215705E+01  0.158094E+01 -0.580010E-02  0.664667E+01  0.112778E-01  0.353234E-01
      121    51134  0.220681E+01  0.163403E+01 -0.533348E-02  0.674933E+01  0.114888E-01  0.361628E-01
      127    49777  0.226749E+01  0.169390E+01 -0.219477E-02  0.685155E+01  0.117322E-01  0.368870E-01
      133    48618  0.232932E+01  0.175610E+01 -0.124870E-01  0.695521E+01  0.119606E-01  0.379531E-01
      139    47483  0.239029E+01  0.182422E+01 -0.356621E-02  0.710213E+01  0.122300E-01  0.387333E-01
      145    46335  0.245588E+01  0.188877E+01 -0.425398E-02  0.722064E+01  0.124834E-01  0.400159E-01
      152    45158  0.252863E+01  0.196133E+01 -0.620011E-02  0.738419E+01  0.127874E-01  0.411204E-01
      159    44004  0.260438E+01  0.203597E+01 -0.133912E-02  0.752345E+01  0.130756E-01  0.423579E-01
      166    42869  0.267972E+01  0.211593E+01 -0.777039E-02  0.763918E+01  0.133490E-01  0.432924E-01
      174    41637  0.276043E+01  0.219781E+01 -0.200235E-01  0.782249E+01  0.137063E-01  0.444621E-01
      182    40504  0.283703E+01  0.227695E+01 -0.184687E-01  0.798585E+01  0.140411E-01  0.458006E-01
      191    39307  0.293431E+01  0.238066E+01 -0.278649E-01  0.811484E+01  0.143676E-01  0.473575E-01
      200    38127  0.303740E+01  0.248706E+01 -0.216545E-01  0.832347E+01  0.147749E-01  0.488590E-01
      210    36927  0.314209E+01  0.259402E+01 -0.863896E-02  0.842078E+01  0.151009E-01  0.499296E-01
      220    35815  0.324906E+01  0.271004E+01 -0.112485E-01  0.862771E+01  0.155207E-01  0.520476E-01
      231    34649  0.336927E+01  0.283305E+01 -0.236769E-01  0.873471E+01  0.158769E-01  0.529042E-01
      242    33614  0.348167E+01  0.295656E+01 -0.237917E-01  0.890097E+01  0.162721E-01  0.541065E-01
      254    32527  0.360113E+01  0.307865E+01 -0.229437E-01  0.904613E+01  0.166762E-01  0.563903E-01
      266    31441  0.373713E+01  0.320135E+01 -0.155303E-01  0.928358E+01  0.171832E-01  0.586825E-01
      279    30420  0.387821E+01  0.335055E+01 -0.279950E-01  0.943357E+01  0.176092E-01  0.599058E-01
      292    29508  0.400905E+01  0.347188E+01 -0.253170E-01  0.962082E+01  0.180560E-01  0.612258E-01
      306    28534  0.416125E+01  0.362539E+01 -0.296409E-01  0.983962E+01  0.185690E-01  0.639909E-01
      321    27558  0.432938E+01  0.378698E+01 -0.185490E-01  0.100244E+02  0.190721E-01  0.656841E-01
      337    26602  0.449932E+01  0.395285E+01 -0.117274E-01  0.103106E+02  0.196871E-01  0.687557E-01
      353    25710  0.467958E+01  0.411588E+01 -0.132614E-01  0.103571E+02  0.200708E-01  0.696587E-01
      370    24829  0.487853E+01  0.431739E+01 -0.582591E-02  0.106096E+02  0.206714E-01  0.724838E-01
      388    23954  0.508713E+01  0.450223E+01 -0.160164E-01  0.108211E+02  0.212541E-01  0.738324E-01
      407    23146  0.529824E+01  0.473057E+01 -0.240670E-01  0.110414E+02  0.218405E-01  0.763452E-01
      427    22326  0.554739E+01  0.498919E+01 -0.217427E-01  0.111891E+02  0.223863E-01  0.777150E-01
      448    21546  0.580446E+01  0.525540E+01 -0.222745E-01  0.114401E+02  0.230421E-01  0.803645E-01
      470    20822  0.606493E+01  0.554870E+01 -0.148129E-01  0.117049E+02  0.237093E-01  0.835233E-01
      493    20090  0.634634E+01  0.583490E+01 -0.116067E-01  0.119443E+02  0.243831E-01  0.864422E-01
      517    19358  0.662207E+01  0.608314E+01 -0.252148E-01  0.121886E+02  0.250920E-01  0.897359E-01
      542    18697  0.692255E+01  0.635674E+01 -0.105926E-01  0.124309E+02  0.257848E-01  0.943051E-01
      569    18023  0.723914E+01  0.665273E+01 -0.170024E-01  0.126656E+02  0.265090E-01  0.956376E-01
      597    17368  0.756927E+01  0.696301E+01 -0.248005E-01  0.128469E+02  0.271965E-01  0.981095E-01
      626    16757  0.789646E+01  0.726546E+01 -0.315528E-01  0.130709E+02  0.279279E-01  0.102065E+00
      657    16169  0.830187E+01  0.769016E+01 -0.174528E-01  0.133070E+02  0.286875E-01  0.104014E+00
      689    15576  0.868573E+01  0.809338E+01  0.906672E-02  0.136024E+02  0.295514E-01  0.107361E+00
      723    15031  0.909959E+01  0.852268E+01 -0.121766E-01  0.139180E+02  0.304293E-01  0.111475E+00
      759    14469  0.950833E+01  0.893176E+01  0.115397E-01  0.141814E+02  0.313068E-01  0.117040E+00
      796    13931  0.998119E+01  0.930422E+01  0.206448E-02  0.145455E+02  0.323127E-01  0.119159E+00
      835    13458  0.104313E+02  0.969799E+01 -0.545699E-02  0.147410E+02  0.330957E-01  0.122146E+00
      876    12965  0.109617E+02  0.102343E+02 -0.122823E-01  0.150866E+02  0.341120E-01  0.128197E+00
      919    12497  0.115020E+02  0.108374E+02 -0.562566E-02  0.153597E+02  0.350581E-01  0.133857E+00
      964    12074  0.120845E+02  0.114677E+02 -0.109472E-01  0.156503E+02  0.360026E-01  0.133987E+00
     1012    11628  0.127307E+02  0.120856E+02 -0.166870E-01  0.159478E+02  0.370335E-01  0.138711E+00
     1062    11200  0.134369E+02  0.127987E+02  0.176900E-01  0.161560E+02  0.379799E-01  0.143052E+00
     1115    10814  0.141518E+02  0.133846E+02  0.918041E-02  0.165765E+02  0.391519E-01  0.148722E+00
     1170    10430  0.148646E+02  0.141604E+02  0.327462E-01  0.169016E+02  0.402539E-01  0.151300E+00
     1228    10045  0.156557E+02  0.149366E+02  0.236196E-01  0.171875E+02  0.413641E-01  0.157516E+00
     1289     9713  0.164957E+02  0.157680E+02  0.353272E-01  0.176552E+02  0.426328E-01  0.164819E+00
     1353     9340  0.175733E+02  0.167351E+02  0.346095E-01  0.180494E+02  0.439585E-01  0.174449E+00
     1420     9025  0.185965E+02  0.177332E+02  0.216520E-01  0.182079E+02  0.449160E-01  0.174682E+00
     1491     8736  0.196154E+02  0.189306E+02  0.368948E-01  0.184928E+02  0.460075E-01  0.181348E+00
     1565     8430  0.208057E+02  0.201672E+02  0.512329E-01  0.189966E+02  0.474673E-01  0.188136E+00
     1643     8163  0.219659E+02  0.215428E+02  0.476806E-01  0.193253E+02  0.486534E-01  0.192298E+00
     1725     7882  0.234371E+02  0.230260E+02  0.429337E-01  0.199325E+02  0.502855E-01  0.203985E+00
     1811     7632  0.249237E+02  0.246000E+02  0.262570E-01  0.203138E+02  0.515904E-01  0.207035E+00
     1901     7391  0.264324E+02  0.263514E+02  0.308128E-01  0.206606E+02  0.528701E-01  0.211695E+00
     1996     7137  0.281382E+02  0.281116E+02  0.274499E-01  0.209935E+02  0.542347E-01  0.214229E+00
     2095     6919  0.299845E+02  0.302238E+02  0.342924E-01  0.214905E+02  0.557301E-01  0.222222E+00
     2199     6703  0.319218E+02  0.321645E+02  0.134347E-01  0.215810E+02  0.567413E-01  0.222503E+00
     2308     6491  0.340532E+02  0.343877E+02 -0.165120E-01  0.219018E+02  0.580874E-01  0.227073E+00
     2423     6256  0.365745E+02  0.368825E+02 -0.108599E-01  0.223687E+02  0.597958E-01  0.232512E+00
     2544     6066  0.389982E+02  0.394819E+02  0.189601E-01  0.225374E+02  0.609533E-01  0.231554E+00
     2671     5889  0.417534E+02  0.423855E+02  0.339249E-01  0.230464E+02  0.625561E-01  0.247812E+00
     2804     5724  0.446684E+02  0.453424E+02  0.639927E-01  0.236477E+02  0.642698E-01  0.252705E+00
     2944     5564  0.478807E+02  0.485573E+02  0.627116E-01  0.237689E+02  0.653544E-01  0.246599E+00
     3091     5406  0.519373E+02  0.524800E+02  0.649475E-01  0.243744E+02  0.671415E-01  0.259311E+00
     3245     5261  0.558778E+02  0.567113E+02  0.345387E-01  0.248285E+02  0.686959E-01  0.268491E+00
     3407     5103  0.607068E+02  0.621061E+02  0.508912E-01  0.252929E+02  0.703986E-01  0.267884E+00
     3577     4958  0.658269E+02  0.672192E+02  0.229194E-01  0.256379E+02  0.719090E-01  0.269919E+00
     3755     4831  0.718083E+02  0.741610E+02  0.157388E-01  0.262739E+02  0.737466E-01  0.276389E+00
     3942     4726  0.772761E+02  0.800288E+02  0.349155E-01  0.264974E+02  0.748764E-01  0.278101E+00
     4139     4610  0.842011E+02  0.866321E+02  0.503903E-01  0.269621E+02  0.764726E-01  0.285481E+00
     4345     4467  0.923562E+02  0.935270E+02  0.299262E-01  0.276466E+02  0.786694E-01  0.299423E+00
     4562     4368  0.100899E+03  0.102826E+03  0.268301E-01  0.279301E+02  0.799630E-01  0.290280E+00
     4790     4277  0.110296E+03  0.111733E+03  0.939446E-02  0.284651E+02  0.815804E-01  0.296696E+00
     5029     4194  0.121252E+03  0.123396E+03 -0.112482E-01  0.287764E+02  0.828330E-01  0.290830E+00
     5280     4112  0.133443E+03  0.134969E+03 -0.670457E-01  0.291203E+02  0.841468E-01  0.295859E+00
     5544     4030  0.147581E+03  0.148762E+03 -0.527916E-01  0.294054E+02  0.854163E-01  0.297180E+00
     5821     3967  0.162922E+03  0.163517E+03 -0.743814E-01  0.296680E+02  0.864715E-01  0.296511E+00
     6112     3895  0.181145E+03  0.180975E+03 -0.395291E-01  0.301833E+02  0.880276E-01  0.291460E+00
     6417     3832  0.201768E+03  0.200907E+03 -0.230550E-01  0.305674E+02  0.893127E-01  0.287077E+00
     6737     3778  0.225401E+03  0.225165E+03 -0.474191E-01  0.311733E+02  0.908332E-01  0.291977E+00
     7073     3730  0.253036E+03  0.253392E+03 -0.198685E-01  0.315304E+02  0.919407E-01  0.291254E+00
     7426     3681  0.286754E+03  0.286583E+03 -0.319385E-01  0.316265E+02  0.926907E-01  0.287237E+00
     7797     3636  0.324346E+03  0.323262E+03 -0.290220E-01  0.318505E+02  0.935924E-01  0.272123E+00
     8186     3588  0.368467E+03  0.367324E+03 -0.289751E-01  0.321605E+02  0.946738E-01  0.263321E+00
     8595     3553  0.422073E+03  0.421681E+03 -0.485754E-01  0.325392E+02  0.956952E-01  0.257458E+00
     9024     3523  0.483884E+03  0.485091E+03 -0.160711E-01  0.329461E+02  0.967039E-01  0.259435E+00
     9475     3498  0.558341E+03  0.561046E+03 -0.275112E-01  0.331569E+02  0.973581E-01  0.252700E+00
     9948     3478  0.646157E+03  0.650978E+03 -0.318099E-01  0.335102E+02  0.981560E-01  0.253674E+00
    10445     3448  0.756937E+03  0.762497E+03 -0.238694E-01  0.336918E+02  0.988496E-01  0.246431E+00
    10967     3431  0.889065E+03  0.894591E+03 -0.962320E-02  0.339385E+02  0.994569E-01  0.234866E+00
    11515     3405  0.105324E+04  0.105545E+04 -0.207921E-01  0.339916E+02  0.999135E-01  0.220067E+00
    12090     3388  0.125721E+04  0.125882E+04 -0.219796E-01  0.343148E+02  0.100639E+00  0.223526E+00
    12694     3372  0.151337E+04  0.151729E+04 -0.187244E-01  0.343475E+02  0.100926E+00  0.211160E+00
    13328     3358  0.183925E+04  0.184291E+04 -0.208577E-02  0.344416E+02  0.101275E+00  0.193478E+00
    13994     3347  0.224703E+04  0.224498E+04  0.980039E-02  0.346186E+02  0.101701E+00  0.183383E+00
    14693     3336  0.278296E+04  0.278216E+04  0.669462E-02  0.348827E+02  0.102257E+00  0.179730E+00
    15427     3330  0.348405E+04  0.348231E+04  0.161386E-01  0.350487E+02  0.102592E+00  0.166757E+00
