    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
       0  -0.230259E+01   0.100000E+00   0.814318E-05   0.814318E-04   0.285714E-02   0.285011E-02
       1  -0.224401E+01   0.106033E+00   0.879926E-05   0.829861E-04   0.302951E-02   0.290451E-02
       2  -0.218543E+01   0.112430E+00   0.939015E-05   0.835201E-04   0.321228E-02   0.292320E-02
       3  -0.212685E+01   0.119213E+00   0.100982E-04   0.847072E-04   0.340607E-02   0.296475E-02
       4  -0.206827E+01   0.126405E+00   0.108661E-04   0.859625E-04   0.361156E-02   0.300869E-02
       5  -0.200969E+01   0.134030E+00   0.117315E-04   0.875283E-04   0.382944E-02   0.306349E-02
       6  -0.195111E+01   0.142116E+00   0.126138E-04   0.887570E-04   0.406047E-02   0.310650E-02
       7  -0.189253E+01   0.150690E+00   0.135868E-04   0.901639E-04   0.430543E-02   0.315574E-02
       8  -0.183395E+01   0.159781E+00   0.146112E-04   0.914451E-04   0.456517E-02   0.320058E-02
       9  -0.177537E+01   0.169421E+00   0.157538E-04   0.929861E-04   0.484059E-02   0.325452E-02
      10  -0.171679E+01   0.179642E+00   0.170108E-04   0.946930E-04   0.513262E-02   0.331426E-02
      11  -0.165821E+01   0.190479E+00   0.183940E-04   0.965668E-04   0.544226E-02   0.337984E-02
      12  -0.159963E+01   0.201971E+00   0.196102E-04   0.970943E-04   0.577059E-02   0.339830E-02
      13  -0.154105E+01   0.214155E+00   0.215514E-04   0.100634E-03   0.611872E-02   0.352220E-02
      14  -0.148247E+01   0.227075E+00   0.234173E-04   0.103126E-03   0.648786E-02   0.360941E-02
      15  -0.142390E+01   0.240774E+00   0.252473E-04   0.104859E-03   0.687927E-02   0.367005E-02
      16  -0.136532E+01   0.255300E+00   0.274540E-04   0.107536E-03   0.729429E-02   0.376376E-02
      17  -0.130674E+01   0.270702E+00   0.299325E-04   0.110574E-03   0.773434E-02   0.387008E-02
      18  -0.124816E+01   0.287033E+00   0.327948E-04   0.114254E-03   0.820095E-02   0.399890E-02
      19  -0.118958E+01   0.304350E+00   0.357180E-04   0.117358E-03   0.869571E-02   0.410754E-02
