
    time    <nwalker>     <r>         <r^2>
        1  0.100000E+01 -0.930412E-02  0.962335E+00
        2  0.999800E+00 -0.695485E-04  0.132274E+01
        3  0.100220E+01 -0.539980E-02  0.156154E+01
        4  0.100440E+01 -0.496657E-02  0.173604E+01
        5  0.100460E+01  0.436218E-02  0.186352E+01
        6  0.100360E+01 -0.272467E-02  0.204673E+01
        7  0.100440E+01  0.111956E-01  0.214444E+01
        8  0.100780E+01  0.166906E-01  0.229924E+01
       10  0.100720E+01  0.383908E-02  0.239474E+01
       12  0.100820E+01  0.119774E-02  0.265164E+01
       14  0.100980E+01  0.164500E-01  0.281039E+01
       17  0.101340E+01  0.480073E-02  0.303039E+01
       20  0.101540E+01 -0.176252E-01  0.321939E+01
       24  0.102080E+01 -0.248114E-02  0.340271E+01
       29  0.102380E+01 -0.748545E-02  0.365077E+01
       34  0.102620E+01  0.329424E-02  0.396021E+01
       40  0.103740E+01  0.313775E-01  0.428708E+01
       48  0.103960E+01  0.369753E-01  0.448071E+01
       57  0.104900E+01  0.435005E-01  0.484809E+01
       68  0.105720E+01  0.176453E-01  0.541228E+01
       81  0.105720E+01  0.230597E-01  0.580272E+01
       96  0.105460E+01  0.190553E-01  0.630592E+01
      114  0.107380E+01  0.484949E-01  0.672691E+01
      136  0.108560E+01  0.532314E-01  0.717839E+01
      162  0.110180E+01  0.834856E-01  0.770679E+01
      193  0.111580E+01  0.613075E-01  0.815318E+01
      230  0.112920E+01  0.766789E-01  0.880709E+01
      274  0.114300E+01  0.677947E-01  0.951337E+01
      326  0.114900E+01  0.978656E-01  0.100908E+02
      388  0.115640E+01  0.120097E+00  0.105344E+02
      461  0.118140E+01  0.848223E-01  0.116543E+02
      548  0.122360E+01 -0.186149E-01  0.125719E+02
      652  0.124020E+01  0.236869E-01  0.134687E+02
      775  0.127480E+01 -0.593196E-01  0.142264E+02
      922  0.133480E+01  0.702998E-01  0.152414E+02
     1096  0.137300E+01 -0.206248E-01  0.172187E+02
     1303  0.143900E+01 -0.918849E-01  0.175426E+02
     1550  0.144340E+01 -0.112866E+00  0.196801E+02
     1843  0.155720E+01  0.606968E-02  0.207488E+02
     2192  0.163240E+01  0.133973E-01  0.222122E+02
     2607  0.168280E+01  0.444533E-01  0.257100E+02
     3100  0.194100E+01  0.218838E+00  0.263568E+02
     3687  0.214280E+01  0.148884E+00  0.263613E+02
     4385  0.246060E+01  0.229626E+00  0.296038E+02
     5215  0.279500E+01  0.288704E+00  0.304137E+02
     6202  0.343980E+01  0.619998E+00  0.298890E+02
     7375  0.433660E+01  0.510843E+00  0.303449E+02
     8770  0.567380E+01  0.430164E+00  0.307389E+02
    10429  0.782080E+01  0.652178E+00  0.332023E+02
    12402  0.118752E+02  0.442685E+00  0.338555E+02
    14749  0.192780E+02  0.369718E+00  0.355533E+02
    16383  0.267824E+02  0.239481E+00  0.357891E+02
