
    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
       0  -0.230259E+01   0.100000E+00   0.182617E-03   0.182617E-02   0.285714E-02   0.639159E-01
       1  -0.224401E+01   0.106033E+00   0.169424E-03   0.159784E-02   0.302951E-02   0.559246E-01
       2  -0.218543E+01   0.112430E+00   0.217335E-03   0.193307E-02   0.321228E-02   0.676576E-01
       3  -0.212685E+01   0.119213E+00   0.193032E-03   0.161923E-02   0.340607E-02   0.566730E-01
       4  -0.206827E+01   0.126405E+00   0.199282E-03   0.157654E-02   0.361156E-02   0.551788E-01
       5  -0.200969E+01   0.134030E+00   0.256914E-03   0.191683E-02   0.382944E-02   0.670891E-01
       6  -0.195111E+01   0.142116E+00   0.252053E-03   0.177357E-02   0.406047E-02   0.620749E-01
       7  -0.189253E+01   0.150690E+00   0.272190E-03   0.180629E-02   0.430543E-02   0.632200E-01
       8  -0.183395E+01   0.159781E+00   0.308991E-03   0.193384E-02   0.456517E-02   0.676843E-01
       9  -0.177537E+01   0.169421E+00   0.340931E-03   0.201234E-02   0.484059E-02   0.704318E-01
      10  -0.171679E+01   0.179642E+00   0.342320E-03   0.190557E-02   0.513262E-02   0.666950E-01
      11  -0.165821E+01   0.190479E+00   0.395786E-03   0.207784E-02   0.544226E-02   0.727245E-01
      12  -0.159963E+01   0.201971E+00   0.381204E-03   0.188742E-02   0.577059E-02   0.660599E-01
      13  -0.154105E+01   0.214155E+00   0.437447E-03   0.204266E-02   0.611872E-02   0.714933E-01
      14  -0.148247E+01   0.227075E+00   0.459667E-03   0.202430E-02   0.648786E-02   0.708503E-01
      15  -0.142390E+01   0.240774E+00   0.509661E-03   0.211676E-02   0.687927E-02   0.740865E-01
      16  -0.136532E+01   0.255300E+00   0.572154E-03   0.224110E-02   0.729429E-02   0.784386E-01
      17  -0.130674E+01   0.270702E+00   0.597151E-03   0.220593E-02   0.773434E-02   0.772076E-01
      18  -0.124816E+01   0.287033E+00   0.658949E-03   0.229572E-02   0.820095E-02   0.803503E-01
      19  -0.118958E+01   0.304350E+00   0.738106E-03   0.242519E-02   0.869571E-02   0.848816E-01
      20  -0.113100E+01   0.322711E+00   0.801293E-03   0.248300E-02   0.922031E-02   0.869052E-01
      21  -0.107242E+01   0.342180E+00   0.884616E-03   0.258524E-02   0.977656E-02   0.904833E-01
      22  -0.101384E+01   0.362823E+00   0.948497E-03   0.261421E-02   0.103664E-01   0.914975E-01
      23  -0.955260E+00   0.384712E+00   0.109154E-02   0.283728E-02   0.109918E-01   0.993048E-01
      24  -0.896681E+00   0.407921E+00   0.111306E-02   0.272862E-02   0.116549E-01   0.955016E-01
