
     time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
        1   108672  0.100000E+01  0.000000E+00  0.317583E-02  0.996868E+00  0.302871E-02  0.428914E-02
        2   107577  0.100954E+01  0.971926E-01  0.425401E-02  0.344659E+01  0.566023E-02  0.148643E-01
        3   106598  0.101963E+01  0.140154E+00  0.558489E-02  0.711196E+01  0.816806E-02  0.308160E-01
        4   105609  0.102928E+01  0.171701E+00  0.494443E-02  0.118904E+02  0.106108E-01  0.518857E-01
        5   104619  0.103966E+01  0.201089E+00  0.305334E-02  0.176983E+02  0.130065E-01  0.775395E-01
        6   103621  0.104955E+01  0.225510E+00  0.101564E-02  0.244902E+02  0.153735E-01  0.107837E+00
        7   102669  0.105964E+01  0.248535E+00 -0.255246E-02  0.322022E+02  0.177102E-01  0.142629E+00
        8   101732  0.106886E+01  0.268547E+00 -0.442007E-02  0.407737E+02  0.200199E-01  0.181723E+00
        9   100843  0.107883E+01  0.288792E+00 -0.448645E-02  0.502485E+02  0.223223E-01  0.225136E+00
       10    99898  0.108918E+01  0.307996E+00 -0.305075E-02  0.605757E+02  0.246247E-01  0.272775E+00
       11    99022  0.109951E+01  0.326924E+00  0.686744E-02  0.717224E+02  0.269130E-01  0.324909E+00
       12    98138  0.110877E+01  0.343522E+00  0.678933E-02  0.835761E+02  0.291825E-01  0.380013E+00
       13    97309  0.111905E+01  0.361034E+00  0.615742E-02  0.962283E+02  0.314467E-01  0.439649E+00
       14    96482  0.112896E+01  0.377256E+00  0.452229E-02  0.109599E+03  0.337039E-01  0.502305E+00
       15    95624  0.113963E+01  0.393965E+00  0.319360E-02  0.123606E+03  0.359531E-01  0.569642E+00
       16    94808  0.114929E+01  0.409224E+00  0.921744E-02  0.138281E+03  0.381908E-01  0.639882E+00
       17    94010  0.115911E+01  0.424593E+00  0.176588E-01  0.153773E+03  0.404439E-01  0.714026E+00
       18    93211  0.116933E+01  0.439328E+00  0.210850E-01  0.169892E+03  0.426925E-01  0.791950E+00
       19    92536  0.117877E+01  0.453767E+00  0.224214E-01  0.186660E+03  0.449128E-01  0.872818E+00
       20    91793  0.118859E+01  0.467785E+00  0.156173E-01  0.204170E+03  0.471618E-01  0.958123E+00
       21    91056  0.119821E+01  0.481935E+00  0.106377E-01  0.221959E+03  0.493722E-01  0.104562E+01
       22    90368  0.120851E+01  0.496156E+00  0.190976E-01  0.240690E+03  0.516085E-01  0.113815E+01
       23    89644  0.121856E+01  0.510702E+00  0.185577E-01  0.259953E+03  0.538501E-01  0.123544E+01
       24    88907  0.122856E+01  0.525014E+00  0.177240E-01  0.279860E+03  0.561051E-01  0.133535E+01
       25    88190  0.123824E+01  0.538154E+00  0.703344E-02  0.300475E+03  0.583706E-01  0.143989E+01
       26    87519  0.124793E+01  0.551230E+00  0.771698E-02  0.321750E+03  0.606329E-01  0.154838E+01
       27    86824  0.125776E+01  0.564132E+00  0.147440E-01  0.343198E+03  0.628713E-01  0.166022E+01
       28    86161  0.126822E+01  0.578326E+00  0.254318E-01  0.365191E+03  0.651035E-01  0.177399E+01
       29    85485  0.127841E+01  0.591134E+00  0.234185E-01  0.387836E+03  0.673564E-01  0.189167E+01
       30    84837  0.128901E+01  0.603988E+00  0.223101E-01  0.410959E+03  0.695996E-01  0.201159E+01
       31    84239  0.129960E+01  0.617883E+00  0.204992E-01  0.434591E+03  0.718263E-01  0.213509E+01
       32    83576  0.131003E+01  0.630992E+00  0.188693E-01  0.458410E+03  0.740604E-01  0.226034E+01
       33    82959  0.132027E+01  0.643904E+00  0.167957E-01  0.482962E+03  0.763000E-01  0.239054E+01
       34    82354  0.133034E+01  0.657554E+00  0.921354E-03  0.507853E+03  0.785284E-01  0.252357E+01
       35    81748  0.134040E+01  0.670292E+00  0.857920E-02  0.533183E+03  0.807606E-01  0.265925E+01
       36    81159  0.134986E+01  0.682643E+00  0.208640E-01  0.558981E+03  0.829908E-01  0.279937E+01
       37    80578  0.135888E+01  0.693594E+00  0.239455E-01  0.585068E+03  0.852108E-01  0.294111E+01
       38    80002  0.136893E+01  0.705984E+00  0.194270E-01  0.611466E+03  0.874250E-01  0.308559E+01
       39    79405  0.137985E+01  0.718875E+00  0.240139E-01  0.638361E+03  0.896621E-01  0.323243E+01
       40    78860  0.139017E+01  0.729768E+00  0.273974E-01  0.666300E+03  0.919192E-01  0.338640E+01
       42    77786  0.141022E+01  0.752574E+00  0.416401E-01  0.722378E+03  0.963676E-01  0.369871E+01
       44    76663  0.143158E+01  0.777798E+00  0.433733E-01  0.779895E+03  0.100861E+00  0.402529E+01
       46    75666  0.145151E+01  0.800696E+00  0.409939E-01  0.839592E+03  0.105338E+00  0.436578E+01
       48    74652  0.147303E+01  0.827033E+00  0.417565E-01  0.900991E+03  0.109860E+00  0.472254E+01
       50    73772  0.149269E+01  0.851568E+00  0.406680E-01  0.963188E+03  0.114264E+00  0.508222E+01
       52    72841  0.151212E+01  0.874393E+00  0.420883E-01  0.102678E+04  0.118727E+00  0.545645E+01
       54    71913  0.153139E+01  0.896438E+00  0.308532E-01  0.109139E+04  0.123193E+00  0.583784E+01
       56    71057  0.155150E+01  0.918677E+00  0.396515E-01  0.115605E+04  0.127551E+00  0.622157E+01
       58    70184  0.157143E+01  0.941056E+00  0.378342E-01  0.122165E+04  0.131933E+00  0.661874E+01
       60    69284  0.159093E+01  0.962208E+00  0.505639E-01  0.128762E+04  0.136326E+00  0.702547E+01
       63    68036  0.162058E+01  0.995594E+00  0.624549E-01  0.138947E+04  0.142907E+00  0.765385E+01
       66    66808  0.165152E+01  0.103174E+01  0.607986E-01  0.149493E+04  0.149588E+00  0.831655E+01
       69    65655  0.168249E+01  0.106530E+01  0.615093E-01  0.159979E+04  0.156098E+00  0.897385E+01
       72    64603  0.171186E+01  0.109914E+01  0.280234E-01  0.170995E+04  0.162692E+00  0.967233E+01
       75    63540  0.174410E+01  0.113608E+01  0.303742E-01  0.182384E+04  0.169422E+00  0.104116E+02
       78    62468  0.177438E+01  0.116757E+01  0.240735E-01  0.194051E+04  0.176250E+00  0.111542E+02
       81    61459  0.180452E+01  0.119971E+01 -0.153093E-01  0.205585E+04  0.182896E+00  0.119102E+02
       85    60226  0.184533E+01  0.124133E+01 -0.246525E-01  0.221247E+04  0.191667E+00  0.129756E+02
       89    58960  0.188334E+01  0.128608E+01 -0.407018E-01  0.236914E+04  0.200455E+00  0.140583E+02
       93    57783  0.192482E+01  0.132972E+01 -0.251230E-01  0.253041E+04  0.209264E+00  0.151884E+02
       97    56642  0.196720E+01  0.137474E+01  0.446589E-02  0.269404E+04  0.218088E+00  0.163681E+02
      101    55565  0.200461E+01  0.141517E+01 -0.194490E-01  0.285688E+04  0.226749E+00  0.175526E+02
      106    54272  0.205749E+01  0.147482E+01 -0.112929E-01  0.306134E+04  0.237502E+00  0.190380E+02
      111    53068  0.210782E+01  0.152936E+01 -0.382345E-02  0.327286E+04  0.248340E+00  0.205869E+02
      116    51885  0.215700E+01  0.158100E+01  0.212579E-01  0.347812E+04  0.258911E+00  0.221322E+02
      121    50765  0.220672E+01  0.163389E+01 -0.104183E-01  0.368154E+04  0.269298E+00  0.236989E+02
      127    49415  0.226777E+01  0.169444E+01  0.135070E-01  0.393050E+04  0.282029E+00  0.256567E+02
      133    48266  0.232926E+01  0.175622E+01 -0.213661E-01  0.418246E+04  0.294371E+00  0.277618E+02
      139    47141  0.238992E+01  0.182404E+01 -0.103296E+00  0.443419E+04  0.306695E+00  0.297427E+02
      145    45997  0.245570E+01  0.188867E+01  0.214809E-01  0.468828E+04  0.319258E+00  0.318374E+02
      152    44832  0.252824E+01  0.196100E+01 -0.348610E-01  0.499660E+04  0.333844E+00  0.342713E+02
      159    43685  0.260440E+01  0.203624E+01 -0.548357E-01  0.529432E+04  0.348128E+00  0.368001E+02
      166    42563  0.267895E+01  0.211578E+01 -0.200213E+00  0.559772E+04  0.362650E+00  0.395409E+02
      174    41339  0.276003E+01  0.219789E+01 -0.302058E+00  0.593331E+04  0.378848E+00  0.424947E+02
