 Program bfbm2
 average displacement of reflected FBM
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.20000000000000001     
 BRANCHPROB=   1.0000000000000000E-003
 DEATHPROB=   9.7000000000000005E-004
 MEMORY=NONE
 NT=        16384
 L=   1061.0000000000000     
 IRINIT=          43
 NCONF=       99840
 ==================================
     time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
        1    99840  0.100000E+01  0.000000E+00  0.460489E-02  0.993820E+00  0.315498E-02  0.446491E-02
        2    99715  0.100082E+01  0.286647E-01  0.686084E-02  0.344876E+01  0.588096E-02  0.154573E-01
        3    99626  0.100174E+01  0.418755E-01  0.988278E-02  0.714504E+01  0.846863E-02  0.320184E-01
        4    99520  0.100262E+01  0.513401E-01  0.119133E-01  0.119843E+02  0.109736E-01  0.537636E-01
        5    99422  0.100367E+01  0.606453E-01  0.131575E-01  0.178795E+02  0.134102E-01  0.801764E-01
        6    99326  0.100471E+01  0.686272E-01  0.141471E-01  0.248076E+02  0.158037E-01  0.111241E+00
        7    99236  0.100582E+01  0.762281E-01  0.123868E-01  0.327008E+02  0.181528E-01  0.146860E+00
        8    99146  0.100681E+01  0.825973E-01  0.112189E-01  0.415099E+02  0.204615E-01  0.186721E+00
        9    99059  0.100780E+01  0.883352E-01  0.149996E-01  0.512601E+02  0.227479E-01  0.230739E+00
       10    98961  0.100887E+01  0.942035E-01  0.180824E-01  0.619961E+02  0.250293E-01  0.279490E+00
       11    98867  0.101002E+01  0.100222E+00  0.248447E-01  0.736036E+02  0.272849E-01  0.332533E+00
       12    98762  0.101089E+01  0.104683E+00  0.284018E-01  0.860666E+02  0.295203E-01  0.389057E+00
       13    98675  0.101196E+01  0.109996E+00  0.294578E-01  0.993808E+02  0.317355E-01  0.449667E+00
       14    98572  0.101310E+01  0.115109E+00  0.302407E-01  0.113575E+03  0.339440E-01  0.513859E+00
       15    98462  0.101414E+01  0.119511E+00  0.326530E-01  0.128623E+03  0.361430E-01  0.582431E+00
       16    98374  0.101515E+01  0.123624E+00  0.372335E-01  0.144449E+03  0.383191E-01  0.654301E+00
       17    98275  0.101614E+01  0.127772E+00  0.427854E-01  0.161039E+03  0.404801E-01  0.729352E+00
       18    98179  0.101708E+01  0.131447E+00  0.467681E-01  0.178550E+03  0.426449E-01  0.809048E+00
       19    98099  0.101794E+01  0.134719E+00  0.478114E-01  0.196707E+03  0.447790E-01  0.891872E+00
       20    98016  0.101898E+01  0.138446E+00  0.454458E-01  0.215758E+03  0.469173E-01  0.978343E+00
       21    97918  0.101975E+01  0.141401E+00  0.469689E-01  0.235426E+03  0.490336E-01  0.106821E+01
       22    97830  0.102086E+01  0.145195E+00  0.481846E-01  0.255962E+03  0.511505E-01  0.116178E+01
       23    97739  0.102165E+01  0.147907E+00  0.505987E-01  0.277263E+03  0.532610E-01  0.125971E+01
       24    97633  0.102272E+01  0.151659E+00  0.484125E-01  0.299329E+03  0.553699E-01  0.136061E+01
       25    97536  0.102367E+01  0.154836E+00  0.440674E-01  0.322153E+03  0.574708E-01  0.146507E+01
       26    97433  0.102446E+01  0.157362E+00  0.444282E-01  0.345741E+03  0.595691E-01  0.157325E+01
       27    97350  0.102559E+01  0.161187E+00  0.467890E-01  0.370014E+03  0.616510E-01  0.168472E+01
       28    97252  0.102654E+01  0.164276E+00  0.519376E-01  0.394909E+03  0.637233E-01  0.179839E+01
       29    97145  0.102771E+01  0.167987E+00  0.492064E-01  0.420614E+03  0.658007E-01  0.191669E+01
       30    97054  0.102857E+01  0.170814E+00  0.520557E-01  0.447025E+03  0.678669E-01  0.203797E+01
       31    96960  0.102957E+01  0.173901E+00  0.494193E-01  0.474104E+03  0.699261E-01  0.216241E+01
       32    96860  0.103061E+01  0.176992E+00  0.457261E-01  0.501836E+03  0.719793E-01  0.229007E+01
       33    96775  0.103159E+01  0.179912E+00  0.459864E-01  0.530160E+03  0.740152E-01  0.242060E+01
       34    96685  0.103256E+01  0.182650E+00  0.424283E-01  0.559210E+03  0.760514E-01  0.255473E+01
       35    96596  0.103350E+01  0.185101E+00  0.427023E-01  0.588974E+03  0.780850E-01  0.269169E+01
       36    96499  0.103446E+01  0.187994E+00  0.439894E-01  0.619612E+03  0.801305E-01  0.283352E+01
       37    96390  0.103516E+01  0.190059E+00  0.470731E-01  0.650778E+03  0.821674E-01  0.297861E+01
       38    96317  0.103608E+01  0.192890E+00  0.451188E-01  0.682771E+03  0.841948E-01  0.312603E+01
       39    96225  0.103707E+01  0.195527E+00  0.510693E-01  0.715598E+03  0.862362E-01  0.327686E+01
       40    96133  0.103790E+01  0.197899E+00  0.495669E-01  0.748939E+03  0.882645E-01  0.343147E+01
       42    95961  0.104002E+01  0.203663E+00  0.553853E-01  0.817631E+03  0.923061E-01  0.374838E+01
