
    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x   P(ln(x))  P(x)   x/L    P(x)*L
       0  -0.230259E+01   0.100000E+00   0.200377E-01   0.200377E+00   0.942507E-04   0.212600E+03
       1  -0.220989E+01   0.109713E+00   0.216537E-01   0.197367E+00   0.103405E-03   0.209407E+03
       2  -0.211719E+01   0.120369E+00   0.224513E-01   0.186521E+00   0.113449E-03   0.197898E+03
       3  -0.202450E+01   0.132060E+00   0.238822E-01   0.180843E+00   0.124468E-03   0.191875E+03
       4  -0.193180E+01   0.144887E+00   0.246115E-01   0.169867E+00   0.136557E-03   0.180229E+03
       5  -0.183911E+01   0.158959E+00   0.257924E-01   0.162258E+00   0.149820E-03   0.172156E+03
       6  -0.174641E+01   0.174399E+00   0.270210E-01   0.154938E+00   0.164372E-03   0.164389E+03
       7  -0.165372E+01   0.191337E+00   0.276183E-01   0.144343E+00   0.180337E-03   0.153148E+03
       8  -0.156102E+01   0.209922E+00   0.285944E-01   0.136215E+00   0.197853E-03   0.144524E+03
       9  -0.146833E+01   0.230311E+00   0.290886E-01   0.126301E+00   0.217070E-03   0.134006E+03
      10  -0.137563E+01   0.252680E+00   0.292010E-01   0.115565E+00   0.238153E-03   0.122614E+03
      11  -0.128293E+01   0.277223E+00   0.295780E-01   0.106694E+00   0.261284E-03   0.113202E+03
      12  -0.119024E+01   0.304149E+00   0.292443E-01   0.961512E-01   0.286662E-03   0.102016E+03
      13  -0.109754E+01   0.333690E+00   0.290978E-01   0.872002E-01   0.314505E-03   0.925194E+02
      14  -0.100485E+01   0.366100E+00   0.284532E-01   0.777196E-01   0.345052E-03   0.824605E+02
      15  -0.912152E+00   0.401659E+00   0.276379E-01   0.688095E-01   0.378566E-03   0.730069E+02
      16  -0.819457E+00   0.440671E+00   0.266776E-01   0.605386E-01   0.415336E-03   0.642314E+02
      17  -0.726761E+00   0.483472E+00   0.253678E-01   0.524700E-01   0.455676E-03   0.556707E+02
      18  -0.634066E+00   0.530431E+00   0.239299E-01   0.451140E-01   0.499935E-03   0.478659E+02
      19  -0.541370E+00   0.581950E+00   0.225799E-01   0.388004E-01   0.548492E-03   0.411673E+02
      20  -0.448675E+00   0.638474E+00   0.208748E-01   0.326948E-01   0.601766E-03   0.346892E+02
      21  -0.355979E+00   0.700487E+00   0.196451E-01   0.280448E-01   0.660214E-03   0.297556E+02
      22  -0.263284E+00   0.768524E+00   0.182459E-01   0.237415E-01   0.724339E-03   0.251898E+02
      23  -0.170588E+00   0.843169E+00   0.170789E-01   0.202556E-01   0.794693E-03   0.214912E+02
      24  -0.778926E-01   0.925064E+00   0.160237E-01   0.173217E-01   0.871879E-03   0.183783E+02
      25   0.148030E-01   0.101491E+01   0.151136E-01   0.148916E-01   0.956563E-03   0.157999E+02
      26   0.107498E+00   0.111349E+01   0.144873E-01   0.130107E-01   0.104947E-02   0.138044E+02
      27   0.200194E+00   0.122164E+01   0.139681E-01   0.114339E-01   0.115140E-02   0.121313E+02
      28   0.292890E+00   0.134029E+01   0.136114E-01   0.101555E-01   0.126324E-02   0.107750E+02
      29   0.385585E+00   0.147047E+01   0.133890E-01   0.910525E-02   0.138593E-02   0.966067E+01
      30   0.478281E+00   0.161330E+01   0.132622E-01   0.822055E-02   0.152054E-02   0.872200E+01
      31   0.570976E+00   0.176999E+01   0.132629E-01   0.749318E-02   0.166823E-02   0.795026E+01
      32   0.663672E+00   0.194191E+01   0.134030E-01   0.690196E-02   0.183026E-02   0.732298E+01
      33   0.756367E+00   0.213052E+01   0.135651E-01   0.636705E-02   0.200803E-02   0.675544E+01
      34   0.849063E+00   0.233745E+01   0.137678E-01   0.589009E-02   0.220307E-02   0.624938E+01
      35   0.941758E+00   0.256449E+01   0.140198E-01   0.546689E-02   0.241705E-02   0.580037E+01
      36   0.103445E+01   0.281357E+01   0.143312E-01   0.509360E-02   0.265181E-02   0.540431E+01
      37   0.112715E+01   0.308684E+01   0.146554E-01   0.474768E-02   0.290937E-02   0.503729E+01
      38   0.121984E+01   0.338666E+01   0.150208E-01   0.443527E-02   0.319195E-02   0.470582E+01
      39   0.131254E+01   0.371560E+01   0.153760E-01   0.413824E-02   0.350198E-02   0.439067E+01
      40   0.140524E+01   0.407649E+01   0.157452E-01   0.386245E-02   0.384212E-02   0.409806E+01
      41   0.149793E+01   0.447243E+01   0.161957E-01   0.362123E-02   0.421529E-02   0.384213E+01
      42   0.159063E+01   0.490682E+01   0.166586E-01   0.339499E-02   0.462472E-02   0.360209E+01
      43   0.168332E+01   0.538341E+01   0.171245E-01   0.318097E-02   0.507390E-02   0.337501E+01
      44   0.177602E+01   0.590629E+01   0.176454E-01   0.298756E-02   0.556672E-02   0.316980E+01
      45   0.186871E+01   0.647995E+01   0.182048E-01   0.280940E-02   0.610740E-02   0.298077E+01
      46   0.196141E+01   0.710934E+01   0.188473E-01   0.265107E-02   0.670060E-02   0.281278E+01
      47   0.205410E+01   0.779985E+01   0.194484E-01   0.249343E-02   0.735141E-02   0.264553E+01
      48   0.214680E+01   0.855743E+01   0.200999E-01   0.234882E-02   0.806544E-02   0.249210E+01
      49   0.223950E+01   0.938859E+01   0.208084E-01   0.221635E-02   0.884882E-02   0.235155E+01
      50   0.233219E+01   0.103005E+02   0.216372E-01   0.210060E-02   0.970828E-02   0.222873E+01
      51   0.242489E+01   0.113009E+02   0.224165E-01   0.198359E-02   0.106512E-01   0.210459E+01
      52   0.251758E+01   0.123986E+02   0.232744E-01   0.187718E-02   0.116858E-01   0.199169E+01
      53   0.261028E+01   0.136028E+02   0.243367E-01   0.178909E-02   0.128208E-01   0.189823E+01
      54   0.270297E+01   0.149240E+02   0.252970E-01   0.169505E-02   0.140660E-01   0.179845E+01
      55   0.279567E+01   0.163736E+02   0.264239E-01   0.161381E-02   0.154322E-01   0.171225E+01
      56   0.288836E+01   0.179639E+02   0.275722E-01   0.153487E-02   0.169311E-01   0.162850E+01
      57   0.298106E+01   0.197087E+02   0.288665E-01   0.146466E-02   0.185756E-01   0.155400E+01
      58   0.307376E+01   0.216229E+02   0.301601E-01   0.139482E-02   0.203798E-01   0.147991E+01
      59   0.316645E+01   0.237231E+02   0.315727E-01   0.133088E-02   0.223592E-01   0.141207E+01
      60   0.325915E+01   0.260273E+02   0.331521E-01   0.127374E-02   0.245309E-01   0.135144E+01
      61   0.335184E+01   0.285553E+02   0.349080E-01   0.122247E-02   0.269136E-01   0.129704E+01
      62   0.344454E+01   0.313288E+02   0.367226E-01   0.117217E-02   0.295276E-01   0.124367E+01
      63   0.353723E+01   0.343717E+02   0.386502E-01   0.112448E-02   0.323955E-01   0.119307E+01
      64   0.362993E+01   0.377101E+02   0.409984E-01   0.108720E-02   0.355420E-01   0.115352E+01
      65   0.372262E+01   0.413728E+02   0.433790E-01   0.104849E-02   0.389942E-01   0.111245E+01
      66   0.381532E+01   0.453913E+02   0.458345E-01   0.100977E-02   0.427816E-01   0.107136E+01
      67   0.390801E+01   0.498000E+02   0.485582E-01   0.975064E-03   0.469368E-01   0.103454E+01
      68   0.400071E+01   0.546370E+02   0.515742E-01   0.943943E-03   0.514957E-01   0.100152E+01
      69   0.409341E+01   0.599437E+02   0.547995E-01   0.914182E-03   0.564974E-01   0.969947E+00
      70   0.418610E+01   0.657659E+02   0.585411E-01   0.890144E-03   0.619848E-01   0.944443E+00
      71   0.427880E+01   0.721536E+02   0.623514E-01   0.864148E-03   0.680053E-01   0.916861E+00
      72   0.437149E+01   0.791617E+02   0.665253E-01   0.840373E-03   0.746105E-01   0.891635E+00
      73   0.446419E+01   0.868505E+02   0.713216E-01   0.821200E-03   0.818572E-01   0.871293E+00
      74   0.455688E+01   0.952861E+02   0.765846E-01   0.803734E-03   0.898078E-01   0.852761E+00
      75   0.464958E+01   0.104541E+03   0.821873E-01   0.786173E-03   0.985306E-01   0.834130E+00
      76   0.474227E+01   0.114695E+03   0.880815E-01   0.767965E-03   0.108101E+00   0.814810E+00
      77   0.483497E+01   0.125835E+03   0.949315E-01   0.754414E-03   0.118600E+00   0.800433E+00
      78   0.492767E+01   0.138057E+03   0.101479E+00   0.735051E-03   0.130120E+00   0.779889E+00
      79   0.502036E+01   0.151466E+03   0.109658E+00   0.723974E-03   0.142758E+00   0.768137E+00
      80   0.511306E+01   0.166178E+03   0.118291E+00   0.711833E-03   0.156623E+00   0.755255E+00
      81   0.520575E+01   0.182318E+03   0.128119E+00   0.702725E-03   0.171836E+00   0.745591E+00
      82   0.529845E+01   0.200026E+03   0.138116E+00   0.690488E-03   0.188526E+00   0.732608E+00
      83   0.539114E+01   0.219454E+03   0.149552E+00   0.681474E-03   0.206837E+00   0.723043E+00
      84   0.548384E+01   0.240769E+03   0.162825E+00   0.676270E-03   0.226927E+00   0.717523E+00
      85   0.557653E+01   0.264155E+03   0.176403E+00   0.667801E-03   0.248968E+00   0.708537E+00
      86   0.566923E+01   0.289811E+03   0.191180E+00   0.659670E-03   0.273149E+00   0.699909E+00
      87   0.576193E+01   0.317960E+03   0.207696E+00   0.653214E-03   0.299679E+00   0.693060E+00
      88   0.585462E+01   0.348843E+03   0.226501E+00   0.649292E-03   0.328787E+00   0.688898E+00
      89   0.594732E+01   0.382725E+03   0.246678E+00   0.644531E-03   0.360721E+00   0.683847E+00
      90   0.604001E+01   0.419898E+03   0.269862E+00   0.642685E-03   0.395757E+00   0.681888E+00
      91   0.613271E+01   0.460682E+03   0.295608E+00   0.641675E-03   0.434196E+00   0.680817E+00
      92   0.622540E+01   0.505427E+03   0.324812E+00   0.642650E-03   0.476368E+00   0.681851E+00
      93   0.631810E+01   0.554518E+03   0.357088E+00   0.643961E-03   0.522637E+00   0.683243E+00
      94   0.641079E+01   0.608377E+03   0.391010E+00   0.642710E-03   0.573399E+00   0.681915E+00
      95   0.650349E+01   0.667467E+03   0.432057E+00   0.647309E-03   0.629092E+00   0.686794E+00
      96   0.659619E+01   0.732296E+03   0.478030E+00   0.652783E-03   0.690194E+00   0.692602E+00
      97   0.668888E+01   0.803422E+03   0.537115E+00   0.668534E-03   0.757231E+00   0.709314E+00
      98   0.678158E+01   0.881457E+03   0.620623E+00   0.704087E-03   0.830779E+00   0.747037E+00
      99   0.687427E+01   0.967071E+03   0.794124E+00   0.821164E-03   0.911471E+00   0.871255E+00
     100   0.696697E+01   0.106100E+04   0.178231E+01   0.167984E-02   0.100000E+01   0.178231E+01
