    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x   P(ln(x))  P(x)   x/L    P(x)*L
       0  -0.230259E+01   0.100000E+00   0.429599E-03   0.429599E-02   0.140845E-02   0.305016E+00
       1  -0.223693E+01   0.106786E+00   0.460793E-03   0.431513E-02   0.150402E-02   0.306374E+00
       2  -0.217128E+01   0.114032E+00   0.494081E-03   0.433284E-02   0.160608E-02   0.307632E+00
       3  -0.210563E+01   0.121769E+00   0.529411E-03   0.434766E-02   0.171506E-02   0.308684E+00
       4  -0.203997E+01   0.130032E+00   0.569555E-03   0.438011E-02   0.183144E-02   0.310988E+00
       5  -0.197432E+01   0.138855E+00   0.611254E-03   0.440209E-02   0.195571E-02   0.312549E+00
       6  -0.190867E+01   0.148278E+00   0.654939E-03   0.441698E-02   0.208842E-02   0.313606E+00
       7  -0.184302E+01   0.158339E+00   0.704550E-03   0.444963E-02   0.223013E-02   0.315924E+00
       8  -0.177736E+01   0.169083E+00   0.758033E-03   0.448320E-02   0.238145E-02   0.318307E+00
       9  -0.171171E+01   0.180557E+00   0.812561E-03   0.450032E-02   0.254305E-02   0.319522E+00
      10  -0.164606E+01   0.192808E+00   0.875575E-03   0.454117E-02   0.271561E-02   0.322423E+00
      11  -0.158041E+01   0.205892E+00   0.941727E-03   0.457390E-02   0.289988E-02   0.324747E+00
      12  -0.151475E+01   0.219862E+00   0.101370E-02   0.461063E-02   0.309665E-02   0.327355E+00
      13  -0.144910E+01   0.234781E+00   0.109381E-02   0.465886E-02   0.330678E-02   0.330779E+00
      14  -0.138345E+01   0.250713E+00   0.117937E-02   0.470406E-02   0.353116E-02   0.333989E+00
      15  -0.131780E+01   0.267725E+00   0.127174E-02   0.475016E-02   0.377077E-02   0.337262E+00
      16  -0.125214E+01   0.285892E+00   0.137071E-02   0.479453E-02   0.402664E-02   0.340411E+00
      17  -0.118649E+01   0.305291E+00   0.148058E-02   0.484974E-02   0.429987E-02   0.344331E+00
      18  -0.112084E+01   0.326007E+00   0.160203E-02   0.491409E-02   0.459164E-02   0.348900E+00
      19  -0.105518E+01   0.348128E+00   0.173176E-02   0.497450E-02   0.490321E-02   0.353190E+00
      20  -0.989532E+00   0.371751E+00   0.187300E-02   0.503831E-02   0.523592E-02   0.357720E+00
      21  -0.923879E+00   0.396976E+00   0.203256E-02   0.512011E-02   0.559121E-02   0.363528E+00
      22  -0.858227E+00   0.423913E+00   0.220022E-02   0.519027E-02   0.597061E-02   0.368509E+00
      23  -0.792574E+00   0.452678E+00   0.238803E-02   0.527534E-02   0.637575E-02   0.374549E+00
      24  -0.726922E+00   0.483395E+00   0.259245E-02   0.536300E-02   0.680838E-02   0.380773E+00
      25  -0.661269E+00   0.516196E+00   0.282186E-02   0.546664E-02   0.727037E-02   0.388132E+00
      26  -0.595616E+00   0.551223E+00   0.306889E-02   0.556742E-02   0.776370E-02   0.395287E+00
      27  -0.529964E+00   0.588626E+00   0.334595E-02   0.568433E-02   0.829051E-02   0.403588E+00
      28  -0.464311E+00   0.628568E+00   0.364906E-02   0.580536E-02   0.885307E-02   0.412181E+00
      29  -0.398658E+00   0.671220E+00   0.397953E-02   0.592880E-02   0.945380E-02   0.420945E+00
      30  -0.333006E+00   0.716766E+00   0.435104E-02   0.607038E-02   0.100953E-01   0.430997E+00
      31  -0.267353E+00   0.765403E+00   0.475817E-02   0.621655E-02   0.107803E-01   0.441375E+00
      32  -0.201700E+00   0.817340E+00   0.520502E-02   0.636825E-02   0.115118E-01   0.452146E+00
      33  -0.136048E+00   0.872801E+00   0.571089E-02   0.654318E-02   0.122930E-01   0.464566E+00
      34  -0.703950E-01   0.932026E+00   0.626331E-02   0.672010E-02   0.131271E-01   0.477127E+00
      35  -0.474235E-02   0.995269E+00   0.688334E-02   0.691606E-02   0.140179E-01   0.491040E+00
      36   0.609103E-01   0.106280E+01   0.756740E-02   0.712022E-02   0.149691E-01   0.505536E+00
      37   0.126563E+00   0.113492E+01   0.832773E-02   0.733772E-02   0.159848E-01   0.520978E+00
      38   0.192216E+00   0.121193E+01   0.917391E-02   0.756966E-02   0.170695E-01   0.537446E+00
      39   0.257868E+00   0.129417E+01   0.101113E-01   0.781294E-02   0.182277E-01   0.554719E+00
      40   0.323521E+00   0.138199E+01   0.111489E-01   0.806734E-02   0.194646E-01   0.572781E+00
      41   0.389174E+00   0.147576E+01   0.123065E-01   0.833906E-02   0.207854E-01   0.592073E+00
      42   0.454826E+00   0.157590E+01   0.135864E-01   0.862136E-02   0.221958E-01   0.612117E+00
      43   0.520479E+00   0.168283E+01   0.150057E-01   0.891694E-02   0.237019E-01   0.633103E+00
      44   0.586131E+00   0.179702E+01   0.165609E-01   0.921577E-02   0.253102E-01   0.654319E+00
      45   0.651784E+00   0.191896E+01   0.183010E-01   0.953693E-02   0.270276E-01   0.677122E+00
      46   0.717437E+00   0.204917E+01   0.201945E-01   0.985495E-02   0.288616E-01   0.699701E+00
      47   0.783089E+00   0.218822E+01   0.222844E-01   0.101838E-01   0.308200E-01   0.723050E+00
      48   0.848742E+00   0.233671E+01   0.245794E-01   0.105188E-01   0.329113E-01   0.746838E+00
      49   0.914395E+00   0.249526E+01   0.270702E-01   0.108486E-01   0.351446E-01   0.770253E+00
      50   0.980047E+00   0.266458E+01   0.297894E-01   0.111798E-01   0.375293E-01   0.793763E+00
      51   0.104570E+01   0.284539E+01   0.327452E-01   0.115081E-01   0.400759E-01   0.817078E+00
      52   0.111135E+01   0.303847E+01   0.359319E-01   0.118257E-01   0.427953E-01   0.839622E+00
      53   0.117701E+01   0.324464E+01   0.393723E-01   0.121345E-01   0.456992E-01   0.861553E+00
      54   0.124266E+01   0.346481E+01   0.430678E-01   0.124301E-01   0.488002E-01   0.882534E+00
      55   0.130831E+01   0.369992E+01   0.470318E-01   0.127116E-01   0.521115E-01   0.902522E+00
      56   0.137396E+01   0.395098E+01   0.512653E-01   0.129753E-01   0.556476E-01   0.921249E+00
      57   0.143962E+01   0.421908E+01   0.557752E-01   0.132198E-01   0.594236E-01   0.938604E+00
      58   0.150527E+01   0.450536E+01   0.605793E-01   0.134460E-01   0.634558E-01   0.954668E+00
      59   0.157092E+01   0.481108E+01   0.656905E-01   0.136540E-01   0.677617E-01   0.969435E+00
