 Program bfbm2
 average displacement of reflected FBM
 STEPSIG=   1.0000000000000000     
 GAMMMA=   1.6000000000000001     
 BRANCHPROB=   1.0000000000000000E-003
 DEATHPROB=   9.7000000000000005E-004
 MEMORY=NONE
 NT=        16384
 L=   35.000000000000000     
 IRINIT=          43
 NCONF=       99840
 ==================================
     time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
        1    99840  0.100000E+01  0.000000E+00  0.460489E-02  0.993820E+00  0.315498E-02  0.446491E-02
        2    99715  0.100082E+01  0.286647E-01  0.163537E-02  0.131023E+01  0.362488E-02  0.587839E-02
        3    99626  0.100174E+01  0.418755E-01  0.286269E-02  0.154201E+01  0.393420E-02  0.688772E-02
        4    99520  0.100262E+01  0.513401E-01  0.254024E-02  0.173193E+01  0.417166E-02  0.777326E-02
        5    99422  0.100367E+01  0.606453E-01  0.385293E-03  0.189267E+01  0.436311E-02  0.848257E-02
        6    99326  0.100471E+01  0.686272E-01  0.787731E-03  0.203178E+01  0.452280E-02  0.914006E-02
        7    99236  0.100582E+01  0.762281E-01 -0.336334E-02  0.215860E+01  0.466391E-02  0.971250E-02
        8    99146  0.100681E+01  0.825973E-01 -0.369363E-02  0.226848E+01  0.478331E-02  0.101725E-01
        9    99059  0.100780E+01  0.883352E-01  0.413701E-02  0.239425E+01  0.491628E-02  0.108007E-01
       10    98961  0.100887E+01  0.942035E-01  0.315674E-02  0.250351E+01  0.502970E-02  0.112731E-01
       11    98867  0.101002E+01  0.100222E+00  0.790925E-02  0.259841E+01  0.512653E-02  0.117005E-01
       12    98762  0.101089E+01  0.104683E+00  0.547275E-02  0.268989E+01  0.521879E-02  0.120524E-01
       13    98675  0.101196E+01  0.109996E+00  0.140016E-02  0.278336E+01  0.531105E-02  0.125273E-01
       14    98572  0.101310E+01  0.115109E+00  0.208357E-02  0.286778E+01  0.539381E-02  0.129024E-01
       15    98462  0.101414E+01  0.119511E+00  0.466949E-02  0.296099E+01  0.548381E-02  0.132984E-01
       16    98374  0.101515E+01  0.123624E+00  0.734942E-02  0.303793E+01  0.555706E-02  0.136813E-01
       17    98275  0.101614E+01  0.127772E+00  0.729021E-02  0.310768E+01  0.562332E-02  0.139465E-01
       18    98179  0.101708E+01  0.131447E+00  0.764937E-02  0.319085E+01  0.570085E-02  0.143529E-01
       19    98099  0.101794E+01  0.134719E+00  0.127506E-02  0.324851E+01  0.575453E-02  0.145628E-01
       20    98016  0.101898E+01  0.138446E+00  0.819746E-03  0.332957E+01  0.582835E-02  0.149498E-01
       21    97918  0.101975E+01  0.141401E+00  0.292686E-02  0.338812E+01  0.588230E-02  0.152430E-01
       22    97830  0.102086E+01  0.145195E+00  0.104301E-02  0.345987E+01  0.594694E-02  0.155764E-01
       23    97739  0.102165E+01  0.147907E+00  0.202475E-02  0.351224E+01  0.599457E-02  0.158753E-01
       24    97633  0.102272E+01  0.151659E+00 -0.206165E-02  0.357680E+01  0.605269E-02  0.160417E-01
       25    97536  0.102367E+01  0.154836E+00 -0.541977E-02  0.365137E+01  0.611849E-02  0.164606E-01
       26    97433  0.102446E+01  0.157362E+00  0.708899E-03  0.371727E+01  0.617673E-02  0.167282E-01
       27    97350  0.102559E+01  0.161187E+00  0.146846E-02  0.375631E+01  0.621173E-02  0.169215E-01
       28    97252  0.102654E+01  0.164276E+00  0.107327E-03  0.381404E+01  0.626244E-02  0.171090E-01
       29    97145  0.102771E+01  0.167987E+00 -0.229964E-02  0.387390E+01  0.631486E-02  0.174439E-01
       30    97054  0.102857E+01  0.170814E+00  0.258404E-02  0.393109E+01  0.636428E-02  0.177119E-01
       31    96960  0.102957E+01  0.173901E+00 -0.527170E-02  0.396886E+01  0.639787E-02  0.178999E-01
       32    96860  0.103061E+01  0.176992E+00 -0.826837E-02  0.402140E+01  0.644336E-02  0.181658E-01
       33    96775  0.103159E+01  0.179912E+00 -0.401511E-02  0.407635E+01  0.649013E-02  0.184580E-01
