
    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x  P(ln(x))  P(x)   x/L    P(x)*L
       0  -0.230259E+01   0.100000E+00   0.856796E-04   0.856796E-03   0.285714E-02   0.299879E-01
       1  -0.224401E+01   0.106033E+00   0.938673E-04   0.885266E-03   0.302951E-02   0.309843E-01
       2  -0.218543E+01   0.112430E+00   0.995885E-04   0.885784E-03   0.321228E-02   0.310024E-01
       3  -0.212685E+01   0.119213E+00   0.111099E-03   0.931942E-03   0.340607E-02   0.326180E-01
       4  -0.206827E+01   0.126405E+00   0.114491E-03   0.905749E-03   0.361156E-02   0.317012E-01
       5  -0.200969E+01   0.134030E+00   0.129256E-03   0.964378E-03   0.382944E-02   0.337532E-01
       6  -0.195111E+01   0.142116E+00   0.133333E-03   0.938194E-03   0.406047E-02   0.328368E-01
       7  -0.189253E+01   0.150690E+00   0.142411E-03   0.945060E-03   0.430543E-02   0.330771E-01
       8  -0.183395E+01   0.159781E+00   0.152586E-03   0.954968E-03   0.456517E-02   0.334239E-01
       9  -0.177537E+01   0.169421E+00   0.167111E-03   0.986369E-03   0.484059E-02   0.345229E-01
      10  -0.171679E+01   0.179642E+00   0.180712E-03   0.100596E-02   0.513262E-02   0.352085E-01
      11  -0.165821E+01   0.190479E+00   0.193730E-03   0.101707E-02   0.544226E-02   0.355973E-01
      12  -0.159963E+01   0.201971E+00   0.207570E-03   0.102772E-02   0.577059E-02   0.359704E-01
      13  -0.154105E+01   0.214155E+00   0.227234E-03   0.106107E-02   0.611872E-02   0.371375E-01
      14  -0.148247E+01   0.227075E+00   0.249125E-03   0.109711E-02   0.648786E-02   0.383987E-01
      15  -0.142390E+01   0.240774E+00   0.267899E-03   0.111265E-02   0.687927E-02   0.389429E-01
      16  -0.136532E+01   0.255300E+00   0.287323E-03   0.112543E-02   0.729429E-02   0.393902E-01
      17  -0.130674E+01   0.270702E+00   0.304966E-03   0.112657E-02   0.773434E-02   0.394301E-01
      18  -0.124816E+01   0.287033E+00   0.340937E-03   0.118780E-02   0.820095E-02   0.415729E-01
      19  -0.118958E+01   0.304350E+00   0.370228E-03   0.121646E-02   0.869571E-02   0.425759E-01
      20  -0.113100E+01   0.322711E+00   0.396778E-03   0.122952E-02   0.922031E-02   0.430330E-01
      21  -0.107242E+01   0.342180E+00   0.443712E-03   0.129672E-02   0.977656E-02   0.453852E-01
      22  -0.101384E+01   0.362823E+00   0.470501E-03   0.129678E-02   0.103664E-01   0.453873E-01
      23  -0.955260E+00   0.384712E+00   0.530008E-03   0.137767E-02   0.109918E-01   0.482186E-01
      24  -0.896681E+00   0.407921E+00   0.568720E-03   0.139419E-02   0.116549E-01   0.487966E-01
      25  -0.838102E+00   0.432531E+00   0.615448E-03   0.142290E-02   0.123580E-01   0.498015E-01
      26  -0.779522E+00   0.458625E+00   0.694276E-03   0.151382E-02   0.131036E-01   0.529837E-01
      27  -0.720943E+00   0.486293E+00   0.763203E-03   0.156943E-02   0.138941E-01   0.549300E-01
      28  -0.662364E+00   0.515631E+00   0.833843E-03   0.161713E-02   0.147323E-01   0.565996E-01
      29  -0.603784E+00   0.546739E+00   0.929526E-03   0.170013E-02   0.156211E-01   0.595045E-01
      30  -0.545205E+00   0.579723E+00   0.102603E-02   0.176987E-02   0.165635E-01   0.619453E-01
      31  -0.486626E+00   0.614697E+00   0.114230E-02   0.185832E-02   0.175628E-01   0.650412E-01
      32  -0.428046E+00   0.651781E+00   0.126717E-02   0.194417E-02   0.186223E-01   0.680460E-01
      33  -0.369467E+00   0.691102E+00   0.142188E-02   0.205742E-02   0.197458E-01   0.720095E-01
      34  -0.310888E+00   0.732796E+00   0.158958E-02   0.216920E-02   0.209370E-01   0.759219E-01
      35  -0.252308E+00   0.777005E+00   0.177269E-02   0.228144E-02   0.222001E-01   0.798503E-01
      36  -0.193729E+00   0.823881E+00   0.199941E-02   0.242682E-02   0.235395E-01   0.849386E-01
      37  -0.135150E+00   0.873585E+00   0.225299E-02   0.257901E-02   0.249596E-01   0.902655E-01
      38  -0.765705E-01   0.926288E+00   0.255655E-02   0.275999E-02   0.264654E-01   0.965998E-01
      39  -0.179912E-01   0.982170E+00   0.287011E-02   0.292222E-02   0.280620E-01   0.102278E+00
      40   0.405882E-01   0.104142E+01   0.327549E-02   0.314521E-02   0.297549E-01   0.110082E+00
      41   0.991675E-01   0.110425E+01   0.372544E-02   0.337372E-02   0.315500E-01   0.118080E+00
      42   0.157747E+00   0.117087E+01   0.422355E-02   0.360719E-02   0.334534E-01   0.126252E+00
      43   0.216326E+00   0.124151E+01   0.483506E-02   0.389451E-02   0.354716E-01   0.136308E+00
      44   0.274905E+00   0.131641E+01   0.552378E-02   0.419611E-02   0.376116E-01   0.146864E+00
      45   0.333485E+00   0.139582E+01   0.630055E-02   0.451386E-02   0.398807E-01   0.157985E+00
