
    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
       0  -0.230259E+01   0.100000E+00   0.549845E-02   0.549845E-01   0.285714E-02   0.192446E+01
       1  -0.224401E+01   0.106033E+00   0.582402E-02   0.549265E-01   0.302951E-02   0.192243E+01
       2  -0.218543E+01   0.112430E+00   0.628465E-02   0.558984E-01   0.321228E-02   0.195645E+01
       3  -0.212685E+01   0.119213E+00   0.663794E-02   0.556816E-01   0.340607E-02   0.194886E+01
       4  -0.206827E+01   0.126405E+00   0.688532E-02   0.544705E-01   0.361156E-02   0.190647E+01
       5  -0.200969E+01   0.134030E+00   0.768787E-02   0.573592E-01   0.382944E-02   0.200757E+01
       6  -0.195111E+01   0.142116E+00   0.820751E-02   0.577520E-01   0.406047E-02   0.202132E+01
       7  -0.189253E+01   0.150690E+00   0.863402E-02   0.572965E-01   0.430543E-02   0.200538E+01
       8  -0.183395E+01   0.159781E+00   0.941880E-02   0.589481E-01   0.456517E-02   0.206319E+01
       9  -0.177537E+01   0.169421E+00   0.997469E-02   0.588753E-01   0.484059E-02   0.206064E+01
      10  -0.171679E+01   0.179642E+00   0.107403E-01   0.597873E-01   0.513262E-02   0.209255E+01
      11  -0.165821E+01   0.190479E+00   0.116104E-01   0.609534E-01   0.544226E-02   0.213337E+01
      12  -0.159963E+01   0.201971E+00   0.126383E-01   0.625747E-01   0.577059E-02   0.219012E+01
      13  -0.154105E+01   0.214155E+00   0.135069E-01   0.630707E-01   0.611872E-02   0.220747E+01
      14  -0.148247E+01   0.227075E+00   0.144630E-01   0.636926E-01   0.648786E-02   0.222924E+01
      15  -0.142390E+01   0.240774E+00   0.155428E-01   0.645534E-01   0.687927E-02   0.225937E+01
      16  -0.136532E+01   0.255300E+00   0.167619E-01   0.656557E-01   0.729429E-02   0.229795E+01
      17  -0.130674E+01   0.270702E+00   0.182668E-01   0.674793E-01   0.773434E-02   0.236178E+01
      18  -0.124816E+01   0.287033E+00   0.197361E-01   0.687590E-01   0.820095E-02   0.240656E+01
      19  -0.118958E+01   0.304350E+00   0.214756E-01   0.705622E-01   0.869571E-02   0.246968E+01
      20  -0.113100E+01   0.322711E+00   0.230075E-01   0.712944E-01   0.922031E-02   0.249530E+01
      21  -0.107242E+01   0.342180E+00   0.254350E-01   0.743324E-01   0.977656E-02   0.260163E+01
      22  -0.101384E+01   0.362823E+00   0.272214E-01   0.750266E-01   0.103664E-01   0.262593E+01
      23  -0.955260E+00   0.384712E+00   0.295118E-01   0.767113E-01   0.109918E-01   0.268490E+01
      24  -0.896681E+00   0.407921E+00   0.324447E-01   0.795368E-01   0.116549E-01   0.278379E+01
      25  -0.838102E+00   0.432531E+00   0.351943E-01   0.813684E-01   0.123580E-01   0.284789E+01
      26  -0.779522E+00   0.458625E+00   0.383811E-01   0.836873E-01   0.131036E-01   0.292906E+01
      27  -0.720943E+00   0.486293E+00   0.420875E-01   0.865475E-01   0.138941E-01   0.302916E+01
      28  -0.662364E+00   0.515631E+00   0.461941E-01   0.895874E-01   0.147323E-01   0.313556E+01
      29  -0.603784E+00   0.546739E+00   0.502516E-01   0.919116E-01   0.156211E-01   0.321691E+01
      30  -0.545205E+00   0.579723E+00   0.552070E-01   0.952299E-01   0.165635E-01   0.333305E+01
      31  -0.486626E+00   0.614697E+00   0.615250E-01   0.100090E+00   0.175628E-01   0.350315E+01
      32  -0.428046E+00   0.651781E+00   0.673604E-01   0.103348E+00   0.186223E-01   0.361719E+01
      33  -0.369467E+00   0.691102E+00   0.749324E-01   0.108424E+00   0.197458E-01   0.379486E+01
      34  -0.310888E+00   0.732796E+00   0.824973E-01   0.112579E+00   0.209370E-01   0.394026E+01
      35  -0.252308E+00   0.777005E+00   0.911839E-01   0.117353E+00   0.222001E-01   0.410736E+01
      36  -0.193729E+00   0.823881E+00   0.101395E+00   0.123070E+00   0.235395E-01   0.430743E+01
      37  -0.135150E+00   0.873585E+00   0.113477E+00   0.129898E+00   0.249596E-01   0.454643E+01
      38  -0.765705E-01   0.926288E+00   0.126281E+00   0.136330E+00   0.264654E-01   0.477155E+01
      39  -0.179912E-01   0.982170E+00   0.140136E+00   0.142680E+00   0.280620E-01   0.499380E+01
      40   0.405882E-01   0.104142E+01   0.156644E+00   0.150413E+00   0.297549E-01   0.526445E+01
      41   0.991675E-01   0.110425E+01   0.175721E+00   0.159131E+00   0.315500E-01   0.556959E+01
      42   0.157747E+00   0.117087E+01   0.196827E+00   0.168104E+00   0.334534E-01   0.588362E+01
      43   0.216326E+00   0.124151E+01   0.221672E+00   0.178550E+00   0.354716E-01   0.624926E+01
      44   0.274905E+00   0.131641E+01   0.247886E+00   0.188305E+00   0.376116E-01   0.659067E+01
      45   0.333485E+00   0.139582E+01   0.279018E+00   0.199895E+00   0.398807E-01   0.699631E+01
      46   0.392064E+00   0.148003E+01   0.315513E+00   0.213180E+00   0.422866E-01   0.746130E+01
      47   0.450643E+00   0.156932E+01   0.355858E+00   0.226759E+00   0.448378E-01   0.793657E+01
      48   0.509223E+00   0.166400E+01   0.400558E+00   0.240721E+00   0.475428E-01   0.842522E+01
