 Program bfbm2
 average displacement of reflected FBM
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.20000000000000001     
 BRANCHPROB=   1.0000000000000000E-003
 DEATHPROB=   9.7000000000000005E-004
 MEMORY=ORIG
 NT=        16384
 L=   1061.0000000000000     
 IRINIT=          43
 NCONF=       99840
 ==================================
     time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
        1    99840  0.100000E+01  0.000000E+00  0.460489E-02  0.993820E+00  0.315498E-02  0.446491E-02
        2    99715  0.100082E+01  0.286647E-01  0.690425E-02  0.344946E+01  0.588156E-02  0.154607E-01
        3    99626  0.100174E+01  0.418755E-01  0.993850E-02  0.714763E+01  0.847016E-02  0.320260E-01
        4    99520  0.100262E+01  0.513401E-01  0.120303E-01  0.119908E+02  0.109766E-01  0.537809E-01
        5    99422  0.100367E+01  0.606453E-01  0.133631E-01  0.178928E+02  0.134151E-01  0.802093E-01
        6    99326  0.100471E+01  0.686272E-01  0.143712E-01  0.248305E+02  0.158110E-01  0.111290E+00
        7    99236  0.100582E+01  0.762281E-01  0.125731E-01  0.327372E+02  0.181629E-01  0.146936E+00
        8    99146  0.100681E+01  0.825973E-01  0.114695E-01  0.415648E+02  0.204750E-01  0.186851E+00
        9    99059  0.100780E+01  0.883352E-01  0.152711E-01  0.513344E+02  0.227644E-01  0.230928E+00
       10    98961  0.100887E+01  0.942035E-01  0.184082E-01  0.620948E+02  0.250492E-01  0.279740E+00
       11    98867  0.101002E+01  0.100222E+00  0.253012E-01  0.737299E+02  0.273083E-01  0.332840E+00
       12    98762  0.101089E+01  0.104683E+00  0.288452E-01  0.862265E+02  0.295477E-01  0.389429E+00
       13    98675  0.101196E+01  0.109996E+00  0.298870E-01  0.995808E+02  0.317674E-01  0.450119E+00
       14    98572  0.101310E+01  0.115109E+00  0.307212E-01  0.113819E+03  0.339804E-01  0.514395E+00
       15    98462  0.101414E+01  0.119511E+00  0.331436E-01  0.128915E+03  0.361839E-01  0.583082E+00
       16    98374  0.101515E+01  0.123624E+00  0.377853E-01  0.144798E+03  0.383653E-01  0.655080E+00
       17    98275  0.101614E+01  0.127772E+00  0.433988E-01  0.161450E+03  0.405317E-01  0.730283E+00
       18    98179  0.101708E+01  0.131447E+00  0.473677E-01  0.179030E+03  0.427023E-01  0.810125E+00
       19    98099  0.101794E+01  0.134719E+00  0.483955E-01  0.197261E+03  0.448421E-01  0.893107E+00
       20    98016  0.101898E+01  0.138446E+00  0.460677E-01  0.216396E+03  0.469866E-01  0.979781E+00
       21    97918  0.101975E+01  0.141401E+00  0.477162E-01  0.236150E+03  0.491090E-01  0.106991E+01
       22    97830  0.102086E+01  0.145195E+00  0.490726E-01  0.256783E+03  0.512324E-01  0.116372E+01
       23    97739  0.102165E+01  0.147907E+00  0.514320E-01  0.278186E+03  0.533497E-01  0.126188E+01
       24    97633  0.102272E+01  0.151659E+00  0.493221E-01  0.300368E+03  0.554660E-01  0.136304E+01
       25    97536  0.102367E+01  0.154836E+00  0.449916E-01  0.323315E+03  0.575743E-01  0.146778E+01
       26    97433  0.102446E+01  0.157362E+00  0.451744E-01  0.347023E+03  0.596795E-01  0.157619E+01
       27    97350  0.102559E+01  0.161187E+00  0.474507E-01  0.371434E+03  0.617692E-01  0.168797E+01
       28    97252  0.102654E+01  0.164276E+00  0.522509E-01  0.396494E+03  0.638510E-01  0.180205E+01
       29    97145  0.102771E+01  0.167987E+00  0.492608E-01  0.422365E+03  0.659375E-01  0.192077E+01
       30    97054  0.102857E+01  0.170814E+00  0.519999E-01  0.448944E+03  0.680124E-01  0.204244E+01
       31    96960  0.102957E+01  0.173901E+00  0.491459E-01  0.476205E+03  0.700809E-01  0.216733E+01
       32    96860  0.103061E+01  0.176992E+00  0.450927E-01  0.504125E+03  0.721433E-01  0.229545E+01
       33    96775  0.103159E+01  0.179912E+00  0.454913E-01  0.532658E+03  0.741894E-01  0.242645E+01
       34    96685  0.103256E+01  0.182650E+00  0.419706E-01  0.561922E+03  0.762356E-01  0.256107E+01
       35    96596  0.103350E+01  0.185101E+00  0.421132E-01  0.591910E+03  0.782794E-01  0.269863E+01
       36    96499  0.103446E+01  0.187994E+00  0.430857E-01  0.622770E+03  0.803344E-01  0.284094E+01
       37    96390  0.103516E+01  0.190059E+00  0.460864E-01  0.654183E+03  0.823821E-01  0.298662E+01
       38    96317  0.103608E+01  0.192890E+00  0.443109E-01  0.686399E+03  0.844182E-01  0.313456E+01
       39    96225  0.103707E+01  0.195527E+00  0.504678E-01  0.719494E+03  0.864707E-01  0.328607E+01
       40    96133  0.103790E+01  0.197899E+00  0.490513E-01  0.753107E+03  0.885098E-01  0.344142E+01
       42    95961  0.104002E+01  0.203663E+00  0.544609E-01  0.822407E+03  0.925753E-01  0.375976E+01
       44    95779  0.104190E+01  0.208378E+00  0.523348E-01  0.894228E+03  0.966247E-01  0.409114E+01
       46    95609  0.104387E+01  0.213450E+00  0.533138E-01  0.968985E+03  0.100672E+00  0.443483E+01
       48    95440  0.104576E+01  0.218468E+00  0.571264E-01  0.104617E+04  0.104697E+00  0.479106E+01
       50    95275  0.104779E+01  0.223458E+00  0.562332E-01  0.112551E+04  0.108689E+00  0.515606E+01
       52    95078  0.104994E+01  0.228377E+00  0.599627E-01  0.120718E+04  0.112680E+00  0.553205E+01
       54    94888  0.105189E+01  0.232527E+00  0.540399E-01  0.129138E+04  0.116660E+00  0.591675E+01
       56    94734  0.105375E+01  0.236893E+00  0.608933E-01  0.137762E+04  0.120590E+00  0.631387E+01
       58    94562  0.105561E+01  0.241094E+00  0.610031E-01  0.146640E+04  0.124528E+00  0.672485E+01
       60    94377  0.105733E+01  0.245341E+00  0.641327E-01  0.155725E+04  0.128453E+00  0.714747E+01
       63    94114  0.106041E+01  0.252484E+00  0.629929E-01  0.169900E+04  0.134360E+00  0.780949E+01
       66    93828  0.106374E+01  0.259692E+00  0.626670E-01  0.184541E+04  0.140243E+00  0.849131E+01
       69    93572  0.106672E+01  0.266556E+00  0.769199E-01  0.199772E+04  0.146115E+00  0.919746E+01
       72    93315  0.106974E+01  0.272989E+00  0.882309E-01  0.215582E+04  0.151995E+00  0.993702E+01
       75    93052  0.107306E+01  0.280078E+00  0.949804E-01  0.231946E+04  0.157881E+00  0.107058E+02
       78    92826  0.107569E+01  0.285574E+00  0.969030E-01  0.248732E+04  0.163693E+00  0.114940E+02
       81    92582  0.107831E+01  0.291229E+00  0.974710E-01  0.266113E+04  0.169539E+00  0.123116E+02
