 ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x  P(ln(x))  P(x)  x/L    P(x)*L
       0  -0.230259E+01   0.100000E+00   0.269507E-01   0.269507E+00   0.942507E-04   0.285947E+03
       1  -0.220989E+01   0.109713E+00   0.282216E-01   0.257231E+00   0.103405E-03   0.272922E+03
       2  -0.211719E+01   0.120369E+00   0.301575E-01   0.250543E+00   0.113449E-03   0.265826E+03
       3  -0.202450E+01   0.132060E+00   0.316950E-01   0.240005E+00   0.124468E-03   0.254645E+03
       4  -0.193180E+01   0.144887E+00   0.328884E-01   0.226994E+00   0.136557E-03   0.240840E+03
       5  -0.183911E+01   0.158959E+00   0.345289E-01   0.217219E+00   0.149820E-03   0.230469E+03
       6  -0.174641E+01   0.174399E+00   0.356430E-01   0.204377E+00   0.164372E-03   0.216844E+03
       7  -0.165372E+01   0.191337E+00   0.369077E-01   0.192893E+00   0.180337E-03   0.204660E+03
       8  -0.156102E+01   0.209922E+00   0.377513E-01   0.179835E+00   0.197853E-03   0.190805E+03
       9  -0.146833E+01   0.230311E+00   0.386617E-01   0.167867E+00   0.217070E-03   0.178107E+03
      10  -0.137563E+01   0.252680E+00   0.387975E-01   0.153544E+00   0.238153E-03   0.162910E+03
      11  -0.128293E+01   0.277223E+00   0.389258E-01   0.140413E+00   0.261284E-03   0.148979E+03
      12  -0.119024E+01   0.304149E+00   0.387673E-01   0.127462E+00   0.286662E-03   0.135237E+03
      13  -0.109754E+01   0.333690E+00   0.382780E-01   0.114711E+00   0.314505E-03   0.121709E+03
      14  -0.100485E+01   0.366100E+00   0.371440E-01   0.101458E+00   0.345052E-03   0.107647E+03
      15  -0.912152E+00   0.401659E+00   0.359069E-01   0.893965E-01   0.378566E-03   0.948496E+02
      16  -0.819457E+00   0.440671E+00   0.346217E-01   0.785660E-01   0.415336E-03   0.833585E+02
      17  -0.726761E+00   0.483472E+00   0.330999E-01   0.684629E-01   0.455676E-03   0.726391E+02
      18  -0.634066E+00   0.530431E+00   0.311257E-01   0.586801E-01   0.499935E-03   0.622596E+02
      19  -0.541370E+00   0.581950E+00   0.290865E-01   0.499810E-01   0.548492E-03   0.530299E+02
