	time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
        1   108672  0.100000E+01  0.000000E+00  0.317583E-02  0.996868E+00  0.302871E-02  0.428914E-02
        2   107577  0.100954E+01  0.971926E-01  0.441931E-02  0.345360E+01  0.566598E-02  0.148793E-01
        3   106598  0.101963E+01  0.140154E+00  0.598677E-02  0.713828E+01  0.818316E-02  0.308779E-01
        4   105609  0.102928E+01  0.171701E+00  0.557458E-02  0.119529E+02  0.106386E-01  0.520206E-01
        5   104619  0.103966E+01  0.201089E+00  0.390427E-02  0.178172E+02  0.130501E-01  0.777907E-01
        6   103621  0.104955E+01  0.225510E+00  0.202663E-02  0.246924E+02  0.154368E-01  0.108268E+00
        7   102669  0.105964E+01  0.248535E+00 -0.131743E-02  0.325190E+02  0.177971E-01  0.143301E+00
        8   101732  0.106886E+01  0.268547E+00 -0.305377E-02  0.412407E+02  0.201342E-01  0.182705E+00
        9   100843  0.107883E+01  0.288792E+00 -0.279266E-02  0.509013E+02  0.224668E-01  0.226525E+00
       10    99898  0.108918E+01  0.307996E+00 -0.755541E-03  0.614594E+02  0.248037E-01  0.274701E+00
       11    99022  0.109951E+01  0.326924E+00  0.970108E-02  0.728713E+02  0.271276E-01  0.327435E+00
       12    98138  0.110877E+01  0.343522E+00  0.104264E-01  0.850325E+02  0.294356E-01  0.383206E+00
       13    97309  0.111905E+01  0.361034E+00  0.103522E-01  0.980501E+02  0.317430E-01  0.443729E+00
       14    96482  0.112896E+01  0.377256E+00  0.904701E-02  0.111854E+03  0.340488E-01  0.507450E+00
       15    95624  0.113963E+01  0.393965E+00  0.890188E-02  0.126337E+03  0.363481E-01  0.575963E+00
       16    94808  0.114929E+01  0.409224E+00  0.157176E-01  0.141553E+03  0.386400E-01  0.647535E+00
       17    94010  0.115911E+01  0.424593E+00  0.233787E-01  0.157672E+03  0.409534E-01  0.723358E+00
       18    93211  0.116933E+01  0.439328E+00  0.269740E-01  0.174496E+03  0.432671E-01  0.803350E+00
       19    92536  0.117877E+01  0.453767E+00  0.284417E-01  0.191980E+03  0.455482E-01  0.886282E+00
       20    91793  0.118859E+01  0.467785E+00  0.220741E-01  0.210310E+03  0.478657E-01  0.973873E+00
