    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
       0  -0.230259E+01   0.100000E+00   0.138467E+00   0.138467E+01   0.942507E-04   0.146913E+04
       1  -0.220989E+01   0.109713E+00   0.146141E+00   0.133203E+01   0.103405E-03   0.141329E+04
       2  -0.211719E+01   0.120369E+00   0.155025E+00   0.128792E+01   0.113449E-03   0.136648E+04
       3  -0.202450E+01   0.132060E+00   0.162605E+00   0.123129E+01   0.124468E-03   0.130640E+04
       4  -0.193180E+01   0.144887E+00   0.174563E+00   0.120482E+01   0.136557E-03   0.127832E+04
       5  -0.183911E+01   0.158959E+00   0.181225E+00   0.114007E+01   0.149820E-03   0.120961E+04
       6  -0.174641E+01   0.174399E+00   0.186155E+00   0.106741E+01   0.164372E-03   0.113253E+04
       7  -0.165372E+01   0.191337E+00   0.195287E+00   0.102064E+01   0.180337E-03   0.108290E+04
       8  -0.156102E+01   0.209922E+00   0.202529E+00   0.964785E+00   0.197853E-03   0.102364E+04
       9  -0.146833E+01   0.230311E+00   0.206312E+00   0.895799E+00   0.217070E-03   0.950443E+03
      10  -0.137563E+01   0.252680E+00   0.209158E+00   0.827756E+00   0.238153E-03   0.878249E+03
      11  -0.128293E+01   0.277223E+00   0.212569E+00   0.766779E+00   0.261284E-03   0.813553E+03
      12  -0.119024E+01   0.304149E+00   0.214037E+00   0.703725E+00   0.286662E-03   0.746653E+03
      13  -0.109754E+01   0.333690E+00   0.214285E+00   0.642168E+00   0.314505E-03   0.681341E+03
      14  -0.100485E+01   0.366100E+00   0.212650E+00   0.580851E+00   0.345052E-03   0.616283E+03
      15  -0.912152E+00   0.401659E+00   0.207693E+00   0.517088E+00   0.378566E-03   0.548631E+03
      16  -0.819457E+00   0.440671E+00   0.201339E+00   0.456893E+00   0.415336E-03   0.484763E+03
      17  -0.726761E+00   0.483472E+00   0.194700E+00   0.402712E+00   0.455676E-03   0.427278E+03
      18  -0.634066E+00   0.530431E+00   0.184612E+00   0.348042E+00   0.499935E-03   0.369273E+03
      19  -0.541370E+00   0.581950E+00   0.178393E+00   0.306544E+00   0.548492E-03   0.325243E+03
      20  -0.448675E+00   0.638474E+00   0.168530E+00   0.263957E+00   0.601766E-03   0.280058E+03
      21  -0.355979E+00   0.700487E+00   0.158935E+00   0.226893E+00   0.660214E-03   0.240733E+03
      22  -0.263284E+00   0.768524E+00   0.150123E+00   0.195339E+00   0.724339E-03   0.207254E+03
      23  -0.170588E+00   0.843169E+00   0.142350E+00   0.168827E+00   0.794693E-03   0.179126E+03
      24  -0.778926E-01   0.925064E+00   0.135268E+00   0.146226E+00   0.871879E-03   0.155146E+03
      25   0.148030E-01   0.101491E+01   0.129716E+00   0.127810E+00   0.956563E-03   0.135606E+03
      26   0.107498E+00   0.111349E+01   0.124203E+00   0.111544E+00   0.104947E-02   0.118348E+03
      27   0.200194E+00   0.122164E+01   0.121457E+00   0.994212E-01   0.115140E-02   0.105486E+03
      28   0.292890E+00   0.134029E+01   0.119124E+00   0.888790E-01   0.126324E-02   0.943006E+02
      29   0.385585E+00   0.147047E+01   0.118143E+00   0.803438E-01   0.138593E-02   0.852447E+02
      30   0.478281E+00   0.161330E+01   0.118935E+00   0.737219E-01   0.152054E-02   0.782189E+02
      31   0.570976E+00   0.176999E+01   0.119799E+00   0.676832E-01   0.166823E-02   0.718119E+02
      32   0.663672E+00   0.194191E+01   0.121833E+00   0.627387E-01   0.183026E-02   0.665658E+02
      33   0.756367E+00   0.213052E+01   0.124695E+00   0.585279E-01   0.200803E-02   0.620981E+02
      34   0.849063E+00   0.233745E+01   0.127946E+00   0.547371E-01   0.220307E-02   0.580761E+02
      35   0.941758E+00   0.256449E+01   0.132157E+00   0.515334E-01   0.241705E-02   0.546769E+02
      36   0.103445E+01   0.281357E+01   0.136754E+00   0.486050E-01   0.265181E-02   0.515699E+02
      37   0.112715E+01   0.308684E+01   0.142158E+00   0.460529E-01   0.290937E-02   0.488621E+02
      38   0.121984E+01   0.338666E+01   0.147545E+00   0.435666E-01   0.319195E-02   0.462241E+02
      39   0.131254E+01   0.371560E+01   0.153393E+00   0.412836E-01   0.350198E-02   0.438019E+02
      40   0.140524E+01   0.407649E+01   0.160288E+00   0.393201E-01   0.384212E-02   0.417187E+02
      41   0.149793E+01   0.447243E+01   0.167221E+00   0.373893E-01   0.421529E-02   0.396701E+02
      42   0.159063E+01   0.490682E+01   0.175505E+00   0.357676E-01   0.462472E-02   0.379494E+02
      43   0.168332E+01   0.538341E+01   0.183799E+00   0.341417E-01   0.507390E-02   0.362243E+02
      44   0.177602E+01   0.590629E+01   0.192250E+00   0.325501E-01   0.556672E-02   0.345356E+02
      45   0.186871E+01   0.647995E+01   0.202512E+00   0.312520E-01   0.610740E-02   0.331584E+02
      46   0.196141E+01   0.710934E+01   0.212758E+00   0.299265E-01   0.670060E-02   0.317520E+02
      47   0.205410E+01   0.779985E+01   0.223852E+00   0.286995E-01   0.735141E-02   0.304502E+02
      48   0.214680E+01   0.855743E+01   0.236574E+00   0.276455E-01   0.806544E-02   0.293319E+02
      49   0.223950E+01   0.938859E+01   0.250181E+00   0.266474E-01   0.884882E-02   0.282729E+02
      50   0.233219E+01   0.103005E+02   0.264746E+00   0.257023E-01   0.970828E-02   0.272701E+02
      51   0.242489E+01   0.113009E+02   0.281047E+00   0.248694E-01   0.106512E-01   0.263864E+02
      52   0.251758E+01   0.123986E+02   0.298963E+00   0.241127E-01   0.116858E-01   0.255836E+02
      53   0.261028E+01   0.136028E+02   0.317532E+00   0.233431E-01   0.128208E-01   0.247670E+02
      54   0.270297E+01   0.149240E+02   0.337994E+00   0.226477E-01   0.140660E-01   0.240292E+02
      55   0.279567E+01   0.163736E+02   0.361166E+00   0.220579E-01   0.154322E-01   0.234034E+02
      56   0.288836E+01   0.179639E+02   0.385887E+00   0.214813E-01   0.169311E-01   0.227916E+02
      57   0.298106E+01   0.197087E+02   0.411283E+00   0.208681E-01   0.185756E-01   0.221411E+02
      58   0.307376E+01   0.216229E+02   0.440192E+00   0.203576E-01   0.203798E-01   0.215994E+02
      59   0.316645E+01   0.237231E+02   0.471551E+00   0.198773E-01   0.223592E-01   0.210898E+02
      60   0.325915E+01   0.260273E+02   0.505697E+00   0.194295E-01   0.245309E-01   0.206147E+02
      61   0.335184E+01   0.285553E+02   0.544949E+00   0.190840E-01   0.269136E-01   0.202481E+02
      62   0.344454E+01   0.313288E+02   0.586801E+00   0.187304E-01   0.295276E-01   0.198730E+02
      63   0.353723E+01   0.343717E+02   0.633119E+00   0.184198E-01   0.323955E-01   0.195434E+02
      64   0.362993E+01   0.377101E+02   0.682478E+00   0.180980E-01   0.355420E-01   0.192020E+02
      65   0.372262E+01   0.413728E+02   0.735732E+00   0.177830E-01   0.389942E-01   0.188677E+02
      66   0.381532E+01   0.453913E+02   0.799220E+00   0.176074E-01   0.427816E-01   0.186814E+02
      67   0.390801E+01   0.498000E+02   0.863958E+00   0.173486E-01   0.469368E-01   0.184068E+02
      68   0.400071E+01   0.546370E+02   0.932219E+00   0.170621E-01   0.514957E-01   0.181028E+02
      69   0.409341E+01   0.599437E+02   0.100814E+01   0.168182E-01   0.564974E-01   0.178441E+02
      70   0.418610E+01   0.657659E+02   0.109488E+01   0.166482E-01   0.619848E-01   0.176637E+02
      71   0.427880E+01   0.721536E+02   0.119453E+01   0.165554E-01   0.680053E-01   0.175652E+02
      72   0.437149E+01   0.791617E+02   0.129601E+01   0.163717E-01   0.746105E-01   0.173703E+02
      73   0.446419E+01   0.868505E+02   0.141127E+01   0.162495E-01   0.818572E-01   0.172407E+02
      74   0.455688E+01   0.952861E+02   0.152419E+01   0.159959E-01   0.898078E-01   0.169716E+02
