    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x   P(ln(x))  P(x)   x/L    P(x)*L
       0  -0.230259E+01   0.100000E+00   0.354868E-03   0.354868E-02   0.140845E-02   0.251956E+00
       1  -0.223693E+01   0.106786E+00   0.380845E-03   0.356645E-02   0.150402E-02   0.253218E+00
       2  -0.217128E+01   0.114032E+00   0.409999E-03   0.359549E-02   0.160608E-02   0.255280E+00
       3  -0.210563E+01   0.121769E+00   0.438288E-03   0.359933E-02   0.171506E-02   0.255553E+00
       4  -0.203997E+01   0.130032E+00   0.471143E-03   0.362329E-02   0.183144E-02   0.257253E+00
       5  -0.197432E+01   0.138855E+00   0.507004E-03   0.365131E-02   0.195571E-02   0.259243E+00
       6  -0.190867E+01   0.148278E+00   0.544239E-03   0.367040E-02   0.208842E-02   0.260599E+00
       7  -0.184302E+01   0.158339E+00   0.585307E-03   0.369654E-02   0.223013E-02   0.262454E+00
       8  -0.177736E+01   0.169083E+00   0.627965E-03   0.371394E-02   0.238145E-02   0.263690E+00
       9  -0.171171E+01   0.180557E+00   0.675225E-03   0.373969E-02   0.254305E-02   0.265518E+00
      10  -0.164606E+01   0.192808E+00   0.728992E-03   0.378092E-02   0.271561E-02   0.268445E+00
      11  -0.158041E+01   0.205892E+00   0.785322E-03   0.381425E-02   0.289988E-02   0.270812E+00
      12  -0.151475E+01   0.219862E+00   0.843106E-03   0.383470E-02   0.309665E-02   0.272264E+00
      13  -0.144910E+01   0.234781E+00   0.912313E-03   0.388580E-02   0.330678E-02   0.275892E+00
      14  -0.138345E+01   0.250713E+00   0.981224E-03   0.391374E-02   0.353116E-02   0.277876E+00
      15  -0.131780E+01   0.267725E+00   0.106054E-02   0.396130E-02   0.377077E-02   0.281253E+00
      16  -0.125214E+01   0.285892E+00   0.114371E-02   0.400051E-02   0.402664E-02   0.284036E+00
      17  -0.118649E+01   0.305291E+00   0.123663E-02   0.405067E-02   0.429987E-02   0.287598E+00
      18  -0.112084E+01   0.326007E+00   0.133853E-02   0.410584E-02   0.459164E-02   0.291515E+00
      19  -0.105518E+01   0.348128E+00   0.144871E-02   0.416143E-02   0.490321E-02   0.295461E+00
      20  -0.989532E+00   0.371751E+00   0.156974E-02   0.422256E-02   0.523592E-02   0.299802E+00
      21  -0.923879E+00   0.396976E+00   0.170187E-02   0.428709E-02   0.559121E-02   0.304384E+00
      22  -0.858227E+00   0.423913E+00   0.184621E-02   0.435516E-02   0.597061E-02   0.309217E+00
      23  -0.792574E+00   0.452678E+00   0.200374E-02   0.442642E-02   0.637575E-02   0.314276E+00
      24  -0.726922E+00   0.483395E+00   0.217897E-02   0.450765E-02   0.680838E-02   0.320043E+00
      25  -0.661269E+00   0.516196E+00   0.237568E-02   0.460228E-02   0.727037E-02   0.326762E+00
      26  -0.595616E+00   0.551223E+00   0.258701E-02   0.469322E-02   0.776370E-02   0.333218E+00
      27  -0.529964E+00   0.588626E+00   0.282086E-02   0.479228E-02   0.829051E-02   0.340252E+00
      28  -0.464311E+00   0.628568E+00   0.308229E-02   0.490367E-02   0.885307E-02   0.348161E+00
      29  -0.398658E+00   0.671220E+00   0.336686E-02   0.501603E-02   0.945380E-02   0.356138E+00
      30  -0.333006E+00   0.716766E+00   0.368797E-02   0.514529E-02   0.100953E-01   0.365316E+00
      31  -0.267353E+00   0.765403E+00   0.403937E-02   0.527744E-02   0.107803E-01   0.374699E+00
