
     time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
        1   108672  0.100000E+01  0.000000E+00  0.317583E-02  0.996868E+00  0.302871E-02  0.428914E-02
        2   107577  0.100954E+01  0.971926E-01  0.150248E-02  0.131516E+01  0.349646E-02  0.567491E-02
        3   106598  0.101963E+01  0.140154E+00  0.121563E-02  0.154841E+01  0.381126E-02  0.666955E-02
        4   105609  0.102928E+01  0.171701E+00  0.136449E-02  0.174262E+01  0.406210E-02  0.755091E-02
        5   104619  0.103966E+01  0.201089E+00 -0.250589E-02  0.191262E+01  0.427571E-02  0.827660E-02
        6   103621  0.104955E+01  0.225510E+00 -0.134716E-02  0.205145E+01  0.444945E-02  0.893009E-02
        7   102669  0.105964E+01  0.248535E+00 -0.499199E-02  0.218764E+01  0.461600E-02  0.953969E-02
        8   101732  0.106886E+01  0.268547E+00 -0.476386E-02  0.230490E+01  0.475987E-02  0.100579E-01
        9   100843  0.107883E+01  0.288792E+00  0.249016E-02  0.244071E+01  0.491965E-02  0.107556E-01
       10    99898  0.108918E+01  0.307996E+00  0.272028E-02  0.255251E+01  0.505480E-02  0.112151E-01
       11    99022  0.109951E+01  0.326924E+00  0.965224E-02  0.265555E+01  0.517849E-02  0.117257E-01
       12    98138  0.110877E+01  0.343522E+00  0.507080E-02  0.274702E+01  0.529066E-02  0.120947E-01
       13    97309  0.111905E+01  0.361034E+00  0.193706E-02  0.284662E+01  0.540864E-02  0.125885E-01
       14    96482  0.112896E+01  0.377256E+00  0.170407E-02  0.294145E+01  0.552151E-02  0.130137E-01
       15    95624  0.113963E+01  0.393965E+00  0.650132E-02  0.303428E+01  0.563302E-02  0.134527E-01
       16    94808  0.114929E+01  0.409224E+00  0.973338E-02  0.312223E+01  0.573857E-02  0.138711E-01
       17    94010  0.115911E+01  0.424593E+00  0.107856E-01  0.320246E+01  0.583642E-02  0.142254E-01
       18    93211  0.116933E+01  0.439328E+00  0.923483E-02  0.328876E+01  0.593987E-02  0.147068E-01
       19    92536  0.117877E+01  0.453767E+00  0.690660E-02  0.336308E+01  0.602851E-02  0.149814E-01
       20    91793  0.118859E+01  0.467785E+00  0.231902E-02  0.346239E+01  0.614162E-02  0.154992E-01
