 Program bfbm2
 average displacement of reflected FBM
 STEPSIG=   1.0000000000000000     
 GAMMMA=   1.6000000000000001     
 BRANCHPROB=   1.0000000000000000E-003
 DEATHPROB=   9.7000000000000005E-004
 MEMORY=ORIG
 NT=        16384
 L=   35.000000000000000     
 IRINIT=          43
 NCONF=       99840
 ==================================
     time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
        1    99840  0.100000E+01  0.000000E+00  0.460489E-02  0.993820E+00  0.315498E-02  0.446491E-02
        2    99715  0.100082E+01  0.286647E-01  0.161785E-02  0.130992E+01  0.362444E-02  0.587517E-02
        3    99626  0.100174E+01  0.418755E-01  0.286479E-02  0.154116E+01  0.393311E-02  0.688225E-02
        4    99520  0.100262E+01  0.513401E-01  0.252027E-02  0.173063E+01  0.417010E-02  0.776465E-02
        5    99422  0.100367E+01  0.606453E-01  0.372989E-03  0.189082E+01  0.436097E-02  0.847197E-02
        6    99326  0.100471E+01  0.686272E-01  0.797341E-03  0.202922E+01  0.451995E-02  0.912808E-02
        7    99236  0.100582E+01  0.762281E-01 -0.330981E-02  0.215551E+01  0.466058E-02  0.969767E-02
        8    99146  0.100681E+01  0.825973E-01 -0.365514E-02  0.226439E+01  0.477900E-02  0.101518E-01
        9    99059  0.100780E+01  0.883352E-01  0.419545E-02  0.238946E+01  0.491136E-02  0.107753E-01
       10    98961  0.100887E+01  0.942035E-01  0.320775E-02  0.249809E+01  0.502425E-02  0.112469E-01
       11    98867  0.101002E+01  0.100222E+00  0.793109E-02  0.259229E+01  0.512048E-02  0.116707E-01
       12    98762  0.101089E+01  0.104683E+00  0.549196E-02  0.268294E+01  0.521204E-02  0.120177E-01
       13    98675  0.101196E+01  0.109996E+00  0.139521E-02  0.277587E+01  0.530391E-02  0.124880E-01
       14    98572  0.101310E+01  0.115109E+00  0.209355E-02  0.285946E+01  0.538598E-02  0.128567E-01
       15    98462  0.101414E+01  0.119511E+00  0.468999E-02  0.295176E+01  0.547526E-02  0.132506E-01
       16    98374  0.101515E+01  0.123624E+00  0.737054E-02  0.302730E+01  0.554732E-02  0.136289E-01
       17    98275  0.101614E+01  0.127772E+00  0.734733E-02  0.309618E+01  0.561290E-02  0.138881E-01
       18    98179  0.101708E+01  0.131447E+00  0.770491E-02  0.317819E+01  0.568953E-02  0.142918E-01
