    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x P(ln(x))  P(x)   x/L    P(x)*L
       0  -0.230259E+01   0.100000E+00   0.602258E-04   0.602258E-03   0.285714E-02   0.210790E-01
       1  -0.224401E+01   0.106033E+00   0.664951E-04   0.627117E-03   0.302951E-02   0.219491E-01
       2  -0.218543E+01   0.112430E+00   0.709144E-04   0.630744E-03   0.321228E-02   0.220760E-01
       3  -0.212685E+01   0.119213E+00   0.735523E-04   0.616984E-03   0.340607E-02   0.215944E-01
       4  -0.206827E+01   0.126405E+00   0.802669E-04   0.635000E-03   0.361156E-02   0.222250E-01
       5  -0.200969E+01   0.134030E+00   0.867416E-04   0.647179E-03   0.382944E-02   0.226513E-01
       6  -0.195111E+01   0.142116E+00   0.990061E-04   0.696655E-03   0.406047E-02   0.243829E-01
       7  -0.189253E+01   0.150690E+00   0.101062E-03   0.670658E-03   0.430543E-02   0.234730E-01
       8  -0.183395E+01   0.159781E+00   0.112298E-03   0.702825E-03   0.456517E-02   0.245989E-01
       9  -0.177537E+01   0.169421E+00   0.119287E-03   0.704087E-03   0.484059E-02   0.246431E-01
      10  -0.171679E+01   0.179642E+00   0.124220E-03   0.691488E-03   0.513262E-02   0.242021E-01
      11  -0.165821E+01   0.190479E+00   0.137204E-03   0.720309E-03   0.544226E-02   0.252108E-01
      12  -0.159963E+01   0.201971E+00   0.143062E-03   0.708331E-03   0.577059E-02   0.247916E-01
      13  -0.154105E+01   0.214155E+00   0.155326E-03   0.725298E-03   0.611872E-02   0.253854E-01
      14  -0.148247E+01   0.227075E+00   0.169783E-03   0.747697E-03   0.648786E-02   0.261694E-01
      15  -0.142390E+01   0.240774E+00   0.188660E-03   0.783554E-03   0.687927E-02   0.274244E-01
      16  -0.136532E+01   0.255300E+00   0.202637E-03   0.793721E-03   0.729429E-02   0.277802E-01
      17  -0.130674E+01   0.270702E+00   0.226309E-03   0.836009E-03   0.773434E-02   0.292603E-01
      18  -0.124816E+01   0.287033E+00   0.238677E-03   0.831529E-03   0.820095E-02   0.291035E-01
      19  -0.118958E+01   0.304350E+00   0.256833E-03   0.843876E-03   0.869571E-02   0.295357E-01
      20  -0.113100E+01   0.322711E+00   0.283075E-03   0.877179E-03   0.922031E-02   0.307013E-01
      21  -0.107242E+01   0.342180E+00   0.310173E-03   0.906463E-03   0.977656E-02   0.317262E-01
