
    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
       0  -0.230259E+01   0.100000E+00   0.355329E-02   0.355329E-01   0.285714E-02   0.124365E+01
       1  -0.224401E+01   0.106033E+00   0.393448E-02   0.371062E-01   0.302951E-02   0.129872E+01
       2  -0.218543E+01   0.112430E+00   0.414349E-02   0.368541E-01   0.321228E-02   0.128989E+01
       3  -0.212685E+01   0.119213E+00   0.450768E-02   0.378121E-01   0.340607E-02   0.132342E+01
       4  -0.206827E+01   0.126405E+00   0.479818E-02   0.379589E-01   0.361156E-02   0.132856E+01
       5  -0.200969E+01   0.134030E+00   0.497248E-02   0.370996E-01   0.382944E-02   0.129849E+01
       6  -0.195111E+01   0.142116E+00   0.532249E-02   0.374516E-01   0.406047E-02   0.131081E+01
       7  -0.189253E+01   0.150690E+00   0.581421E-02   0.385839E-01   0.430543E-02   0.135044E+01
       8  -0.183395E+01   0.159781E+00   0.627121E-02   0.392488E-01   0.456517E-02   0.137371E+01
       9  -0.177537E+01   0.169421E+00   0.686284E-02   0.405077E-01   0.484059E-02   0.141777E+01
      10  -0.171679E+01   0.179642E+00   0.718451E-02   0.399936E-01   0.513262E-02   0.139978E+01
      11  -0.165821E+01   0.190479E+00   0.780306E-02   0.409654E-01   0.544226E-02   0.143379E+01
      12  -0.159963E+01   0.201971E+00   0.846979E-02   0.419357E-01   0.577059E-02   0.146775E+01
      13  -0.154105E+01   0.214155E+00   0.920099E-02   0.429641E-01   0.611872E-02   0.150374E+01
      14  -0.148247E+01   0.227075E+00   0.961265E-02   0.423325E-01   0.648786E-02   0.148164E+01
      15  -0.142390E+01   0.240774E+00   0.105833E-01   0.439554E-01   0.687927E-02   0.153844E+01
      16  -0.136532E+01   0.255300E+00   0.114555E-01   0.448709E-01   0.729429E-02   0.157048E+01
      17  -0.130674E+01   0.270702E+00   0.123979E-01   0.457990E-01   0.773434E-02   0.160297E+01
      18  -0.124816E+01   0.287033E+00   0.132347E-01   0.461085E-01   0.820095E-02   0.161380E+01
      19  -0.118958E+01   0.304350E+00   0.145221E-01   0.477151E-01   0.869571E-02   0.167003E+01
      20  -0.113100E+01   0.322711E+00   0.157889E-01   0.489259E-01   0.922031E-02   0.171241E+01
      21  -0.107242E+01   0.342180E+00   0.170451E-01   0.498134E-01   0.977656E-02   0.174347E+01
      22  -0.101384E+01   0.362823E+00   0.182879E-01   0.504045E-01   0.103664E-01   0.176416E+01
      23  -0.955260E+00   0.384712E+00   0.203837E-01   0.529844E-01   0.109918E-01   0.185446E+01
      24  -0.896681E+00   0.407921E+00   0.219864E-01   0.538988E-01   0.116549E-01   0.188646E+01
      25  -0.838102E+00   0.432531E+00   0.244443E-01   0.565147E-01   0.123580E-01   0.197801E+01
      26  -0.779522E+00   0.458625E+00   0.266380E-01   0.580822E-01   0.131036E-01   0.203288E+01
      27  -0.720943E+00   0.486293E+00   0.292057E-01   0.600577E-01   0.138941E-01   0.210202E+01
      28  -0.662364E+00   0.515631E+00   0.318032E-01   0.616781E-01   0.147323E-01   0.215873E+01
      29  -0.603784E+00   0.546739E+00   0.350220E-01   0.640562E-01   0.156211E-01   0.224197E+01
      30  -0.545205E+00   0.579723E+00   0.390004E-01   0.672743E-01   0.165635E-01   0.235460E+01
      31  -0.486626E+00   0.614697E+00   0.427599E-01   0.695625E-01   0.175628E-01   0.243469E+01
      32  -0.428046E+00   0.651781E+00   0.474029E-01   0.727282E-01   0.186223E-01   0.254549E+01
      33  -0.369467E+00   0.691102E+00   0.526113E-01   0.761266E-01   0.197458E-01   0.266443E+01
      34  -0.310888E+00   0.732796E+00   0.581180E-01   0.793100E-01   0.209370E-01   0.277585E+01
      35  -0.252308E+00   0.777005E+00   0.649624E-01   0.836062E-01   0.222001E-01   0.292622E+01
      36  -0.193729E+00   0.823881E+00   0.725657E-01   0.880779E-01   0.235395E-01   0.308273E+01
      37  -0.135150E+00   0.873585E+00   0.812041E-01   0.929550E-01   0.249596E-01   0.325343E+01
      38  -0.765705E-01   0.926288E+00   0.904242E-01   0.976200E-01   0.264654E-01   0.341670E+01
      39  -0.179912E-01   0.982170E+00   0.101654E+00   0.103499E+00   0.280620E-01   0.362247E+01
      40   0.405882E-01   0.104142E+01   0.114648E+00   0.110087E+00   0.297549E-01   0.385306E+01
      41   0.991675E-01   0.110425E+01   0.129424E+00   0.117205E+00   0.315500E-01   0.410218E+01
      42   0.157747E+00   0.117087E+01   0.144947E+00   0.123794E+00   0.334534E-01   0.433281E+01
      43   0.216326E+00   0.124151E+01   0.163755E+00   0.131900E+00   0.354716E-01   0.461651E+01
      44   0.274905E+00   0.131641E+01   0.186126E+00   0.141389E+00   0.376116E-01   0.494862E+01
      45   0.333485E+00   0.139582E+01   0.209459E+00   0.150061E+00   0.398807E-01   0.525214E+01
      46   0.392064E+00   0.148003E+01   0.238524E+00   0.161161E+00   0.422866E-01   0.564064E+01
      47   0.450643E+00   0.156932E+01   0.270754E+00   0.172529E+00   0.448378E-01   0.603853E+01
      48   0.509223E+00   0.166400E+01   0.308313E+00   0.185285E+00   0.475428E-01   0.648497E+01
      49   0.567802E+00   0.176438E+01   0.351017E+00   0.198946E+00   0.504110E-01   0.696309E+01
      50   0.626381E+00   0.187083E+01   0.399936E+00   0.213775E+00   0.534522E-01   0.748212E+01
      51   0.684961E+00   0.198369E+01   0.454648E+00   0.229192E+00   0.566770E-01   0.802174E+01
      52   0.743540E+00   0.210337E+01   0.516933E+00   0.245764E+00   0.600962E-01   0.860175E+01
      53   0.802119E+00   0.223026E+01   0.587364E+00   0.263361E+00   0.637218E-01   0.921764E+01
      54   0.860699E+00   0.236481E+01   0.667284E+00   0.282172E+00   0.675661E-01   0.987602E+01
      55   0.919278E+00   0.250748E+01   0.758263E+00   0.302400E+00   0.716423E-01   0.105840E+02
      56   0.977857E+00   0.265875E+01   0.858670E+00   0.322959E+00   0.759644E-01   0.113036E+02
      57   0.103644E+01   0.281915E+01   0.971285E+00   0.344531E+00   0.805473E-01   0.120586E+02
      58   0.109502E+01   0.298923E+01   0.109606E+01   0.366668E+00   0.854066E-01   0.128334E+02
      59   0.115360E+01   0.316957E+01   0.123023E+01   0.388138E+00   0.905591E-01   0.135848E+02
      60   0.121217E+01   0.336079E+01   0.137878E+01   0.410256E+00   0.960224E-01   0.143589E+02
      61   0.127075E+01   0.356354E+01   0.153872E+01   0.431795E+00   0.101815E+00   0.151128E+02
      62   0.132933E+01   0.377852E+01   0.171116E+01   0.452866E+00   0.107958E+00   0.158503E+02
      63   0.138791E+01   0.400648E+01   0.189324E+01   0.472545E+00   0.114471E+00   0.165391E+02
      64   0.144649E+01   0.424819E+01   0.208782E+01   0.491462E+00   0.121377E+00   0.172012E+02
      65   0.150507E+01   0.450448E+01   0.229267E+01   0.508976E+00   0.128699E+00   0.178141E+02
      66   0.156365E+01   0.477623E+01   0.250373E+01   0.524208E+00   0.136464E+00   0.183473E+02
      67   0.162223E+01   0.506437E+01   0.272341E+01   0.537758E+00   0.144696E+00   0.188215E+02
      68   0.168081E+01   0.536990E+01   0.295007E+01   0.549371E+00   0.153426E+00   0.192280E+02
      69   0.173939E+01   0.569386E+01   0.318224E+01   0.558890E+00   0.162682E+00   0.195612E+02
      70   0.179797E+01   0.603737E+01   0.342096E+01   0.566632E+00   0.172496E+00   0.198321E+02
      71   0.185655E+01   0.640160E+01   0.366351E+01   0.572281E+00   0.182903E+00   0.200298E+02
      72   0.191513E+01   0.678780E+01   0.391932E+01   0.577406E+00   0.193937E+00   0.202092E+02
      73   0.197371E+01   0.719730E+01   0.418258E+01   0.581132E+00   0.205637E+00   0.203396E+02
      74   0.203229E+01   0.763151E+01   0.445273E+01   0.583467E+00   0.218043E+00   0.204214E+02
      75   0.209086E+01   0.809191E+01   0.474035E+01   0.585814E+00   0.231197E+00   0.205035E+02
      76   0.214944E+01   0.858009E+01   0.503406E+01   0.586715E+00   0.245145E+00   0.205350E+02
      77   0.220802E+01   0.909772E+01   0.534558E+01   0.587574E+00   0.259935E+00   0.205651E+02
      78   0.226660E+01   0.964657E+01   0.567257E+01   0.588040E+00   0.275616E+00   0.205814E+02
      79   0.232518E+01   0.102285E+02   0.601808E+01   0.588361E+00   0.292244E+00   0.205926E+02
      80   0.238376E+01   0.108456E+02   0.638993E+01   0.589171E+00   0.309875E+00   0.206210E+02
      81   0.244234E+01   0.114999E+02   0.678782E+01   0.590249E+00   0.328569E+00   0.206587E+02
      82   0.250092E+01   0.121937E+02   0.720875E+01   0.591186E+00   0.348392E+00   0.206915E+02
      83   0.255950E+01   0.129293E+02   0.765010E+01   0.591685E+00   0.369410E+00   0.207090E+02
      84   0.261808E+01   0.137094E+02   0.811711E+01   0.592085E+00   0.391696E+00   0.207230E+02
      85   0.267666E+01   0.145364E+02   0.862483E+01   0.593325E+00   0.415327E+00   0.207664E+02
      86   0.273524E+01   0.154134E+02   0.916744E+01   0.594771E+00   0.440383E+00   0.208170E+02
      87   0.279382E+01   0.163433E+02   0.973941E+01   0.595927E+00   0.466951E+00   0.208575E+02
      88   0.285240E+01   0.173293E+02   0.103464E+02   0.597048E+00   0.495122E+00   0.208967E+02
      89   0.291098E+01   0.183747E+02   0.109775E+02   0.597426E+00   0.524992E+00   0.209099E+02
      90   0.296955E+01   0.194832E+02   0.116524E+02   0.598075E+00   0.556664E+00   0.209326E+02
      91   0.302813E+01   0.206586E+02   0.123518E+02   0.597898E+00   0.590247E+00   0.209264E+02
      92   0.308671E+01   0.219050E+02   0.130800E+02   0.597125E+00   0.625856E+00   0.208994E+02
      93   0.314529E+01   0.232265E+02   0.138508E+02   0.596337E+00   0.663614E+00   0.208718E+02
      94   0.320387E+01   0.246277E+02   0.146625E+02   0.595365E+00   0.703649E+00   0.208378E+02
      95   0.326245E+01   0.261135E+02   0.155204E+02   0.594346E+00   0.746099E+00   0.208021E+02
      96   0.332103E+01   0.276889E+02   0.163102E+02   0.589053E+00   0.791111E+00   0.206169E+02
      97   0.337961E+01   0.293593E+02   0.165492E+02   0.563677E+00   0.838838E+00   0.197287E+02
      98   0.343819E+01   0.311305E+02   0.143510E+02   0.460995E+00   0.889444E+00   0.161348E+02
      99   0.349677E+01   0.330086E+02   0.770422E+01   0.233400E+00   0.943103E+00   0.816901E+01
     100   0.355535E+01   0.350000E+02   0.111683E+01   0.319094E-01   0.100000E+01   0.111683E+01
