
     time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
        1    99840  0.100000E+01  0.000000E+00  0.460489E-02  0.993820E+00  0.315498E-02  0.446491E-02
        2    99840  0.100000E+01  0.000000E+00  0.701648E-02  0.344962E+01  0.587801E-02  0.154556E-01
        3    99840  0.100000E+01  0.000000E+00  0.994101E-02  0.714920E+01  0.846201E-02  0.320088E-01
        4    99840  0.100000E+01  0.000000E+00  0.124810E-01  0.119973E+02  0.109619E-01  0.537513E-01
        5    99840  0.100000E+01  0.000000E+00  0.129203E-01  0.179060E+02  0.133920E-01  0.801516E-01
        6    99840  0.100000E+01  0.000000E+00  0.138057E-01  0.248542E+02  0.157778E-01  0.111178E+00
        7    99840  0.100000E+01  0.000000E+00  0.119673E-01  0.327695E+02  0.181168E-01  0.146730E+00
        8    99840  0.100000E+01  0.000000E+00  0.100265E-01  0.416063E+02  0.204139E-01  0.186522E+00
        9    99840  0.100000E+01  0.000000E+00  0.138504E-01  0.514094E+02  0.226918E-01  0.230658E+00
       10    99840  0.100000E+01  0.000000E+00  0.170061E-01  0.621920E+02  0.249582E-01  0.279333E+00
       11    99840  0.100000E+01  0.000000E+00  0.230997E-01  0.738702E+02  0.272008E-01  0.332428E+00
       12    99840  0.100000E+01  0.000000E+00  0.268452E-01  0.863828E+02  0.294144E-01  0.388753E+00
       13    99840  0.100000E+01  0.000000E+00  0.270670E-01  0.997624E+02  0.316104E-01  0.449091E+00
       14    99840  0.100000E+01  0.000000E+00  0.276707E-01  0.114022E+03  0.337941E-01  0.512950E+00
       15    99840  0.100000E+01  0.000000E+00  0.306584E-01  0.129147E+03  0.359657E-01  0.581047E+00
       16    99840  0.100000E+01  0.000000E+00  0.355212E-01  0.145083E+03  0.381201E-01  0.652638E+00
       17    99840  0.100000E+01  0.000000E+00  0.400808E-01  0.161820E+03  0.402589E-01  0.727510E+00
       18    99840  0.100000E+01  0.000000E+00  0.446602E-01  0.179458E+03  0.423962E-01  0.806564E+00
       19    99840  0.100000E+01  0.000000E+00  0.445379E-01  0.197811E+03  0.445113E-01  0.888963E+00
       20    99840  0.100000E+01  0.000000E+00  0.444567E-01  0.216988E+03  0.466191E-01  0.974751E+00
       21    99840  0.100000E+01  0.000000E+00  0.457240E-01  0.236888E+03  0.487099E-01  0.106421E+01
       22    99840  0.100000E+01  0.000000E+00  0.463101E-01  0.257627E+03  0.507974E-01  0.115743E+01
       23    99840  0.100000E+01  0.000000E+00  0.471360E-01  0.279077E+03  0.528698E-01  0.125436E+01
       24    99840  0.100000E+01  0.000000E+00  0.458239E-01  0.301299E+03  0.549345E-01  0.135413E+01
       25    99840  0.100000E+01  0.000000E+00  0.425294E-01  0.324316E+03  0.569942E-01  0.145750E+01
       26    99840  0.100000E+01  0.000000E+00  0.439380E-01  0.348159E+03  0.590521E-01  0.156464E+01
       27    99840  0.100000E+01  0.000000E+00  0.465397E-01  0.372648E+03  0.610936E-01  0.167500E+01
       28    99840  0.100000E+01  0.000000E+00  0.477803E-01  0.397899E+03  0.631296E-01  0.178800E+01
