 Program bfbm2
 Log. density distribution between NTSTART and NTEND
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.20000000000000001     
 BRANCHPROB=   0.0000000000000000     
 DEATHPROB=   0.0000000000000000     
 MEMORY=NONE
 NT=        16384
 NTSTART=        13107
 NTEND=        16384
 L=   1061.0000000000000     
 IRINIT=          43
 NCONF=       99840
 x is measured from the wall
 ==================================
    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
       0  -0.230259E+01   0.100000E+00   0.451545E-01   0.451545E+00   0.942507E-04   0.479089E+03
       1  -0.220989E+01   0.109713E+00   0.478393E-01   0.436041E+00   0.103405E-03   0.462640E+03
       2  -0.211719E+01   0.120369E+00   0.506074E-01   0.420436E+00   0.113449E-03   0.446083E+03
       3  -0.202450E+01   0.132060E+00   0.533796E-01   0.404207E+00   0.124468E-03   0.428864E+03
       4  -0.193180E+01   0.144887E+00   0.558273E-01   0.385317E+00   0.136557E-03   0.408821E+03
       5  -0.183911E+01   0.158959E+00   0.574225E-01   0.361240E+00   0.149820E-03   0.383276E+03
       6  -0.174641E+01   0.174399E+00   0.598106E-01   0.342954E+00   0.164372E-03   0.363874E+03
       7  -0.165372E+01   0.191337E+00   0.622259E-01   0.325215E+00   0.180337E-03   0.345053E+03
       8  -0.156102E+01   0.209922E+00   0.633038E-01   0.301559E+00   0.197853E-03   0.319954E+03
       9  -0.146833E+01   0.230311E+00   0.641933E-01   0.278725E+00   0.217070E-03   0.295727E+03
      10  -0.137563E+01   0.252680E+00   0.650330E-01   0.257372E+00   0.238153E-03   0.273072E+03
      11  -0.128293E+01   0.277223E+00   0.649613E-01   0.234329E+00   0.261284E-03   0.248623E+03
      12  -0.119024E+01   0.304149E+00   0.643780E-01   0.211666E+00   0.286662E-03   0.224578E+03
      13  -0.109754E+01   0.333690E+00   0.636136E-01   0.190637E+00   0.314505E-03   0.202266E+03
      14  -0.100485E+01   0.366100E+00   0.620149E-01   0.169393E+00   0.345052E-03   0.179726E+03
      15  -0.912152E+00   0.401659E+00   0.598722E-01   0.149062E+00   0.378566E-03   0.158155E+03
      16  -0.819457E+00   0.440671E+00   0.572893E-01   0.130005E+00   0.415336E-03   0.137935E+03
      17  -0.726761E+00   0.483472E+00   0.544629E-01   0.112649E+00   0.455676E-03   0.119521E+03
      18  -0.634066E+00   0.530431E+00   0.511989E-01   0.965232E-01   0.499935E-03   0.102411E+03
      19  -0.541370E+00   0.581950E+00   0.478646E-01   0.822485E-01   0.548492E-03   0.872657E+02
      20  -0.448675E+00   0.638474E+00   0.443979E-01   0.695376E-01   0.601766E-03   0.737794E+02
      21  -0.355979E+00   0.700487E+00   0.411410E-01   0.587320E-01   0.660214E-03   0.623147E+02
      22  -0.263284E+00   0.768524E+00   0.380761E-01   0.495445E-01   0.724339E-03   0.525667E+02
      23  -0.170588E+00   0.843169E+00   0.354761E-01   0.420748E-01   0.794693E-03   0.446413E+02
      24  -0.778926E-01   0.925064E+00   0.330427E-01   0.357194E-01   0.871879E-03   0.378983E+02
      25   0.148030E-01   0.101491E+01   0.311013E-01   0.306443E-01   0.956563E-03   0.325136E+02
      26   0.107498E+00   0.111349E+01   0.295265E-01   0.265171E-01   0.104947E-02   0.281346E+02
      27   0.200194E+00   0.122164E+01   0.283271E-01   0.231878E-01   0.115140E-02   0.246023E+02
      28   0.292890E+00   0.134029E+01   0.274942E-01   0.205136E-01   0.126324E-02   0.217649E+02
      29   0.385585E+00   0.147047E+01   0.268134E-01   0.182345E-01   0.138593E-02   0.193468E+02
      30   0.478281E+00   0.161330E+01   0.265088E-01   0.164314E-01   0.152054E-02   0.174338E+02
      31   0.570976E+00   0.176999E+01   0.263711E-01   0.148990E-01   0.166823E-02   0.158078E+02
      32   0.663672E+00   0.194191E+01   0.264353E-01   0.136130E-01   0.183026E-02   0.144434E+02
      33   0.756367E+00   0.213052E+01   0.265967E-01   0.124836E-01   0.200803E-02   0.132451E+02
      34   0.849063E+00   0.233745E+01   0.268097E-01   0.114696E-01   0.220307E-02   0.121693E+02
      35   0.941758E+00   0.256449E+01   0.270959E-01   0.105658E-01   0.241705E-02   0.112104E+02
      36   0.103445E+01   0.281357E+01   0.274558E-01   0.975837E-02   0.265181E-02   0.103536E+02
      37   0.112715E+01   0.308684E+01   0.278474E-01   0.902131E-02   0.290937E-02   0.957161E+01
      38   0.121984E+01   0.338666E+01   0.282980E-01   0.835572E-02   0.319195E-02   0.886542E+01
      39   0.131254E+01   0.371560E+01   0.286433E-01   0.770894E-02   0.350198E-02   0.817918E+01
      40   0.140524E+01   0.407649E+01   0.290564E-01   0.712779E-02   0.384212E-02   0.756259E+01
      41   0.149793E+01   0.447243E+01   0.294903E-01   0.659381E-02   0.421529E-02   0.699604E+01
      42   0.159063E+01   0.490682E+01   0.300428E-01   0.612265E-02   0.462472E-02   0.649613E+01
      43   0.168332E+01   0.538341E+01   0.304284E-01   0.565225E-02   0.507390E-02   0.599704E+01
      44   0.177602E+01   0.590629E+01   0.308953E-01   0.523091E-02   0.556672E-02   0.554999E+01
      45   0.186871E+01   0.647995E+01   0.314048E-01   0.484646E-02   0.610740E-02   0.514209E+01
      46   0.196141E+01   0.710934E+01   0.319667E-01   0.449644E-02   0.670060E-02   0.477073E+01
      47   0.205410E+01   0.779985E+01   0.324551E-01   0.416100E-02   0.735141E-02   0.441482E+01
      48   0.214680E+01   0.855743E+01   0.330652E-01   0.386392E-02   0.806544E-02   0.409962E+01
      49   0.223950E+01   0.938859E+01   0.335851E-01   0.357722E-02   0.884882E-02   0.379543E+01
      50   0.233219E+01   0.103005E+02   0.342682E-01   0.332685E-02   0.970828E-02   0.352979E+01
      51   0.242489E+01   0.113009E+02   0.347871E-01   0.307824E-02   0.106512E-01   0.326602E+01
      52   0.251758E+01   0.123986E+02   0.354256E-01   0.285723E-02   0.116858E-01   0.303152E+01
      53   0.261028E+01   0.136028E+02   0.361885E-01   0.266037E-02   0.128208E-01   0.282265E+01
      54   0.270297E+01   0.149240E+02   0.368614E-01   0.246993E-02   0.140660E-01   0.262060E+01
      55   0.279567E+01   0.163736E+02   0.376095E-01   0.229696E-02   0.154322E-01   0.243708E+01
      56   0.288836E+01   0.179639E+02   0.384476E-01   0.214027E-02   0.169311E-01   0.227083E+01
      57   0.298106E+01   0.197087E+02   0.394042E-01   0.199933E-02   0.185756E-01   0.212129E+01
      58   0.307376E+01   0.216229E+02   0.401182E-01   0.185535E-02   0.203798E-01   0.196853E+01
      59   0.316645E+01   0.237231E+02   0.409804E-01   0.172744E-02   0.223592E-01   0.183282E+01
      60   0.325915E+01   0.260273E+02   0.419176E-01   0.161052E-02   0.245309E-01   0.170876E+01
      61   0.335184E+01   0.285553E+02   0.426094E-01   0.149217E-02   0.269136E-01   0.158320E+01
      62   0.344454E+01   0.313288E+02   0.435970E-01   0.139160E-02   0.295276E-01   0.147648E+01
      63   0.353723E+01   0.343717E+02   0.449387E-01   0.130743E-02   0.323955E-01   0.138719E+01
      64   0.362993E+01   0.377101E+02   0.460208E-01   0.122038E-02   0.355420E-01   0.129483E+01
      65   0.372262E+01   0.413728E+02   0.471835E-01   0.114045E-02   0.389942E-01   0.121001E+01
      66   0.381532E+01   0.453913E+02   0.484306E-01   0.106696E-02   0.427816E-01   0.113204E+01
      67   0.390801E+01   0.498000E+02   0.496105E-01   0.996196E-03   0.469368E-01   0.105696E+01
      68   0.400071E+01   0.546370E+02   0.508681E-01   0.931021E-03   0.514957E-01   0.987813E+00
      69   0.409341E+01   0.599437E+02   0.521195E-01   0.869474E-03   0.564974E-01   0.922511E+00
      70   0.418610E+01   0.657659E+02   0.537095E-01   0.816678E-03   0.619848E-01   0.866495E+00
      71   0.427880E+01   0.721536E+02   0.549171E-01   0.761114E-03   0.680053E-01   0.807542E+00
      72   0.437149E+01   0.791617E+02   0.562512E-01   0.710586E-03   0.746105E-01   0.753931E+00
      73   0.446419E+01   0.868505E+02   0.580974E-01   0.668935E-03   0.818572E-01   0.709740E+00
      74   0.455688E+01   0.952861E+02   0.598694E-01   0.628312E-03   0.898078E-01   0.666639E+00
      75   0.464958E+01   0.104541E+03   0.620082E-01   0.593147E-03   0.985306E-01   0.629329E+00
      76   0.474227E+01   0.114695E+03   0.644058E-01   0.561541E-03   0.108101E+00   0.595795E+00
      77   0.483497E+01   0.125835E+03   0.668817E-01   0.531504E-03   0.118600E+00   0.563925E+00
      78   0.492767E+01   0.138057E+03   0.691837E-01   0.501125E-03   0.130120E+00   0.531693E+00
      79   0.502036E+01   0.151466E+03   0.715928E-01   0.472666E-03   0.142758E+00   0.501498E+00
