

     time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
        1    99840  0.100000E+01  0.000000E+00  0.460489E-02  0.993820E+00  0.315498E-02  0.446491E-02
        2    99840  0.100000E+01  0.000000E+00  0.163598E-02  0.130967E+01  0.362183E-02  0.587174E-02
        3    99840  0.100000E+01  0.000000E+00  0.288278E-02  0.154047E+01  0.392802E-02  0.687512E-02
        4    99840  0.100000E+01  0.000000E+00  0.242114E-02  0.172896E+01  0.416140E-02  0.774791E-02
        5    99840  0.100000E+01  0.000000E+00 -0.330978E-03  0.188971E+01  0.435056E-02  0.846036E-02
        6    99840  0.100000E+01  0.000000E+00  0.398125E-03  0.202698E+01  0.450580E-02  0.910874E-02
        7    99840  0.100000E+01  0.000000E+00 -0.365575E-02  0.215105E+01  0.464165E-02  0.966312E-02
        8    99840  0.100000E+01  0.000000E+00 -0.387672E-02  0.225961E+01  0.475733E-02  0.101155E-01
        9    99840  0.100000E+01  0.000000E+00  0.377894E-02  0.238515E+01  0.488770E-02  0.107344E-01
       10    99840  0.100000E+01  0.000000E+00  0.254805E-02  0.249277E+01  0.499676E-02  0.111994E-01
       11    99840  0.100000E+01  0.000000E+00  0.733189E-02  0.258651E+01  0.508979E-02  0.116229E-01
       12    99840  0.100000E+01  0.000000E+00  0.435094E-02  0.267830E+01  0.517936E-02  0.119763E-01
       13    99840  0.100000E+01  0.000000E+00  0.934411E-04  0.276700E+01  0.526444E-02  0.124099E-01
       14    99840  0.100000E+01  0.000000E+00  0.768693E-03  0.285079E+01  0.534356E-02  0.127893E-01
       15    99840  0.100000E+01  0.000000E+00  0.379112E-02  0.294246E+01  0.542877E-02  0.131629E-01
       16    99840  0.100000E+01  0.000000E+00  0.633497E-02  0.301562E+01  0.549582E-02  0.135322E-01
       17    99840  0.100000E+01  0.000000E+00  0.620972E-02  0.308391E+01  0.555771E-02  0.137775E-01
       18    99840  0.100000E+01  0.000000E+00  0.673322E-02  0.316469E+01  0.563002E-02  0.141714E-01
       19    99840  0.100000E+01  0.000000E+00  0.420319E-03  0.322336E+01  0.568201E-02  0.143713E-01
       20    99840  0.100000E+01  0.000000E+00  0.709098E-03  0.330322E+01  0.575197E-02  0.147488E-01
       21    99840  0.100000E+01  0.000000E+00  0.210519E-02  0.335813E+01  0.579958E-02  0.150332E-01
       22    99840  0.100000E+01  0.000000E+00  0.859400E-03  0.342598E+01  0.585788E-02  0.153399E-01
       23    99840  0.100000E+01  0.000000E+00  0.115931E-02  0.347585E+01  0.590035E-02  0.156103E-01
       24    99840  0.100000E+01  0.000000E+00 -0.202473E-02  0.353856E+01  0.595334E-02  0.157714E-01
       25    99840  0.100000E+01  0.000000E+00 -0.494710E-02  0.360710E+01  0.601071E-02  0.161715E-01
       26    99840  0.100000E+01  0.000000E+00  0.124254E-02  0.367034E+01  0.606318E-02  0.163979E-01
       27    99840  0.100000E+01  0.000000E+00  0.236454E-02  0.371054E+01  0.609630E-02  0.165916E-01
       28    99840  0.100000E+01  0.000000E+00  0.738383E-03  0.376797E+01  0.614329E-02  0.167836E-01
       29    99840  0.100000E+01  0.000000E+00 -0.143414E-02  0.382651E+01  0.619083E-02  0.171086E-01
       30    99840  0.100000E+01  0.000000E+00  0.314434E-02  0.387745E+01  0.623189E-02  0.173377E-01
       31    99840  0.100000E+01  0.000000E+00 -0.452340E-02  0.391152E+01  0.625921E-02  0.175077E-01
       32    99840  0.100000E+01  0.000000E+00 -0.777696E-02  0.396402E+01  0.630104E-02  0.177638E-01
       33    99840  0.100000E+01  0.000000E+00 -0.339773E-02  0.401288E+01  0.633980E-02  0.180093E-01
       34    99840  0.100000E+01  0.000000E+00 -0.509367E-02  0.406613E+01  0.638171E-02  0.182220E-01
       35    99840  0.100000E+01  0.000000E+00 -0.298429E-02  0.410362E+01  0.641108E-02  0.184418E-01
       36    99840  0.100000E+01  0.000000E+00 -0.141165E-02  0.416822E+01  0.646135E-02  0.187642E-01
       37    99840  0.100000E+01  0.000000E+00 -0.209714E-02  0.423515E+01  0.651301E-02  0.191380E-01
       38    99840  0.100000E+01  0.000000E+00  0.129563E-02  0.425856E+01  0.653099E-02  0.190752E-01
       39    99840  0.100000E+01  0.000000E+00  0.187362E-02  0.431687E+01  0.657555E-02  0.193257E-01
       40    99840  0.100000E+01  0.000000E+00  0.100506E-02  0.435539E+01  0.660482E-02  0.195881E-01
       42    99840  0.100000E+01  0.000000E+00  0.285381E-02  0.444873E+01  0.667522E-02  0.198986E-01
       44    99840  0.100000E+01  0.000000E+00 -0.365150E-02  0.452935E+01  0.673543E-02  0.202498E-01
       46    99840  0.100000E+01  0.000000E+00  0.253843E-03  0.459744E+01  0.678587E-02  0.206406E-01
       48    99840  0.100000E+01  0.000000E+00 -0.328193E-02  0.468855E+01  0.685277E-02  0.209966E-01
       50    99840  0.100000E+01  0.000000E+00  0.664640E-03  0.475537E+01  0.690144E-02  0.211674E-01
       52    99840  0.100000E+01  0.000000E+00  0.453294E-02  0.482220E+01  0.694975E-02  0.215420E-01
       54    99840  0.100000E+01  0.000000E+00  0.213364E-02  0.489532E+01  0.700226E-02  0.218454E-01
       56    99840  0.100000E+01  0.000000E+00  0.133800E-02  0.495226E+01  0.704286E-02  0.221542E-01
       58    99840  0.100000E+01  0.000000E+00  0.694930E-02  0.500372E+01  0.707933E-02  0.224416E-01
       60    99840  0.100000E+01  0.000000E+00  0.536395E-02  0.509288E+01  0.714214E-02  0.226242E-01
       63    99840  0.100000E+01  0.000000E+00  0.186624E-02  0.519433E+01  0.721294E-02  0.232353E-01
       66    99840  0.100000E+01  0.000000E+00  0.575259E-02  0.527040E+01  0.726554E-02  0.235461E-01
       69    99840  0.100000E+01  0.000000E+00  0.885730E-02  0.538866E+01  0.734658E-02  0.240531E-01
       72    99840  0.100000E+01  0.000000E+00  0.276412E-02  0.548149E+01  0.740964E-02  0.245733E-01
       75    99840  0.100000E+01  0.000000E+00  0.196385E-02  0.556160E+01  0.746358E-02  0.249445E-01
       78    99840  0.100000E+01  0.000000E+00  0.622355E-02  0.564186E+01  0.751723E-02  0.253158E-01
       81    99840  0.100000E+01  0.000000E+00 -0.125411E-02  0.574135E+01  0.758324E-02  0.256999E-01
       85    99840  0.100000E+01  0.000000E+00  0.442346E-02  0.585105E+01  0.765533E-02  0.261153E-01
       89    99840  0.100000E+01  0.000000E+00  0.113412E-01  0.596630E+01  0.773029E-02  0.266045E-01
       93    99840  0.100000E+01  0.000000E+00  0.965613E-02  0.605433E+01  0.778713E-02  0.270938E-01
       97    99840  0.100000E+01  0.000000E+00  0.414122E-02  0.619610E+01  0.787782E-02  0.277751E-01
      101    99840  0.100000E+01  0.000000E+00  0.132805E-01  0.629127E+01  0.793799E-02  0.281841E-01
      106    99840  0.100000E+01  0.000000E+00  0.678059E-02  0.640856E+01  0.801173E-02  0.285910E-01
      111    99840  0.100000E+01  0.000000E+00  0.861324E-02  0.653008E+01  0.808732E-02  0.291228E-01
      116    99840  0.100000E+01  0.000000E+00  0.792569E-03  0.662959E+01  0.814875E-02  0.295902E-01
      121    99840  0.100000E+01  0.000000E+00  0.850088E-02  0.673303E+01  0.821203E-02  0.299737E-01
      127    99840  0.100000E+01  0.000000E+00  0.677851E-02  0.688869E+01  0.830643E-02  0.307289E-01
      133    99840  0.100000E+01  0.000000E+00  0.549500E-02  0.703176E+01  0.839226E-02  0.314523E-01
      139    99840  0.100000E+01  0.000000E+00  0.403576E-02  0.716473E+01  0.847124E-02  0.319713E-01
      145    99840  0.100000E+01  0.000000E+00  0.111139E-01  0.726238E+01  0.852871E-02  0.324317E-01
      152    99840  0.100000E+01  0.000000E+00  0.765748E-03  0.741220E+01  0.861631E-02  0.330101E-01
      159    99840  0.100000E+01  0.000000E+00 -0.378527E-02  0.750863E+01  0.867217E-02  0.333584E-01
      166    99840  0.100000E+01  0.000000E+00 -0.211710E-02  0.764458E+01  0.875033E-02  0.340487E-01
      174    99840  0.100000E+01  0.000000E+00  0.265935E-02  0.778309E+01  0.882925E-02  0.346267E-01
      182    99840  0.100000E+01  0.000000E+00  0.808831E-02  0.792385E+01  0.890869E-02  0.354278E-01
      191    99840  0.100000E+01  0.000000E+00  0.152219E-02  0.807441E+01  0.899297E-02  0.358838E-01
      200    99840  0.100000E+01  0.000000E+00 -0.358877E-02  0.827391E+01  0.910338E-02  0.369715E-01
      210    99840  0.100000E+01  0.000000E+00  0.268416E-02  0.843523E+01  0.919170E-02  0.376317E-01
      220    99840  0.100000E+01  0.000000E+00  0.193443E-02  0.855071E+01  0.925441E-02  0.381938E-01
      231    99840  0.100000E+01  0.000000E+00  0.584921E-02  0.876660E+01  0.937049E-02  0.394793E-01
      242    99840  0.100000E+01  0.000000E+00  0.864943E-02  0.889832E+01  0.944060E-02  0.398045E-01
      254    99840  0.100000E+01  0.000000E+00  0.983350E-02  0.911467E+01  0.955468E-02  0.407555E-01
      266    99840  0.100000E+01  0.000000E+00  0.107144E-01  0.927130E+01  0.963641E-02  0.414878E-01
      279    99840  0.100000E+01  0.000000E+00  0.124906E-01  0.947408E+01  0.974120E-02  0.424936E-01
      292    99840  0.100000E+01  0.000000E+00  0.122562E-01  0.961741E+01  0.981462E-02  0.430787E-01
      306    99840  0.100000E+01  0.000000E+00  0.145860E-01  0.975972E+01  0.988694E-02  0.438745E-01
      321    99840  0.100000E+01  0.000000E+00  0.193570E-01  0.100253E+02  0.100205E-01  0.451498E-01
      337    99840  0.100000E+01  0.000000E+00  0.161995E-01  0.101872E+02  0.101011E-01  0.457256E-01
      353    99840  0.100000E+01  0.000000E+00  0.816967E-02  0.103694E+02  0.101911E-01  0.462695E-01
      370    99840  0.100000E+01  0.000000E+00  0.183150E-01  0.106060E+02  0.103066E-01  0.478744E-01
      388    99840  0.100000E+01  0.000000E+00  0.165787E-01  0.108142E+02  0.104073E-01  0.485827E-01
      407    99840  0.100000E+01  0.000000E+00  0.159770E-01  0.110599E+02  0.105249E-01  0.494182E-01
      427    99840  0.100000E+01  0.000000E+00  0.166261E-01  0.112767E+02  0.106275E-01  0.504222E-01
      448    99840  0.100000E+01  0.000000E+00  0.109647E-01  0.114932E+02  0.107292E-01  0.517759E-01
