 Program bfbm2
 Log. density distribution between NTSTART and NTEND
 STEPSIG=   1.0000000000000000     
 GAMMMA=   1.6000000000000001     
 BRANCHPROB=   0.0000000000000000     
 DEATHPROB=   0.0000000000000000     
 MEMORY=NONE
 NT=        16384
 NTSTART=        13107
 NTEND=        16384
 L=   35.000000000000000     
 IRINIT=          43
 NCONF=       99840
 x is measured from the wall
 ==================================
    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
       0  -0.230259E+01   0.100000E+00   0.938890E-05   0.938890E-04   0.285714E-02   0.328611E-02
       1  -0.224401E+01   0.106033E+00   0.949322E-05   0.895309E-04   0.302951E-02   0.313358E-02
       2  -0.218543E+01   0.112430E+00   0.855433E-05   0.760860E-04   0.321228E-02   0.266301E-02
       3  -0.212685E+01   0.119213E+00   0.110580E-04   0.927590E-04   0.340607E-02   0.324656E-02
       4  -0.206827E+01   0.126405E+00   0.118926E-04   0.940837E-04   0.361156E-02   0.329293E-02
       5  -0.200969E+01   0.134030E+00   0.108494E-04   0.809472E-04   0.382944E-02   0.283315E-02
       6  -0.195111E+01   0.142116E+00   0.146571E-04   0.103135E-03   0.406047E-02   0.360971E-02
       7  -0.189253E+01   0.150690E+00   0.118926E-04   0.789209E-04   0.430543E-02   0.276223E-02
       8  -0.183395E+01   0.159781E+00   0.133531E-04   0.835712E-04   0.456517E-02   0.292499E-02
       9  -0.177537E+01   0.169421E+00   0.163262E-04   0.963652E-04   0.484059E-02   0.337278E-02
      10  -0.171679E+01   0.179642E+00   0.161698E-04   0.900113E-04   0.513262E-02   0.315039E-02
      11  -0.165821E+01   0.190479E+00   0.179954E-04   0.944743E-04   0.544226E-02   0.330660E-02
      12  -0.159963E+01   0.201971E+00   0.197688E-04   0.978798E-04   0.577059E-02   0.342579E-02
      13  -0.154105E+01   0.214155E+00   0.210207E-04   0.981563E-04   0.611872E-02   0.343547E-02
      14  -0.148247E+01   0.227075E+00   0.216988E-04   0.955577E-04   0.648786E-02   0.334452E-02
      15  -0.142390E+01   0.240774E+00   0.267584E-04   0.111135E-03   0.687927E-02   0.388971E-02
      16  -0.136532E+01   0.255300E+00   0.275408E-04   0.107876E-03   0.729429E-02   0.377566E-02
      17  -0.130674E+01   0.270702E+00   0.322874E-04   0.119273E-03   0.773434E-02   0.417455E-02
      18  -0.124816E+01   0.287033E+00   0.328090E-04   0.114304E-03   0.820095E-02   0.400063E-02
      19  -0.118958E+01   0.304350E+00   0.357300E-04   0.117398E-03   0.869571E-02   0.410892E-02
      20  -0.113100E+01   0.322711E+00   0.405809E-04   0.125750E-03   0.922031E-02   0.440125E-02
      21  -0.107242E+01   0.342180E+00   0.411547E-04   0.120272E-03   0.977656E-02   0.420952E-02
      22  -0.101384E+01   0.362823E+00   0.438149E-04   0.120761E-03   0.103664E-01   0.422663E-02
      23  -0.955260E+00   0.384712E+00   0.493439E-04   0.128262E-03   0.109918E-01   0.448917E-02
      24  -0.896681E+00   0.407921E+00   0.547686E-04   0.134263E-03   0.116549E-01   0.469919E-02
      25  -0.838102E+00   0.432531E+00   0.674436E-04   0.155928E-03   0.123580E-01   0.545747E-02
      26  -0.779522E+00   0.458625E+00   0.668698E-04   0.145805E-03   0.131036E-01   0.510317E-02
      27  -0.720943E+00   0.486293E+00   0.775627E-04   0.159498E-03   0.138941E-01   0.558242E-02
      28  -0.662364E+00   0.515631E+00   0.836133E-04   0.162157E-03   0.147323E-01   0.567551E-02
      29  -0.603784E+00   0.546739E+00   0.950887E-04   0.173920E-03   0.156211E-01   0.608719E-02
      30  -0.545205E+00   0.579723E+00   0.105625E-03   0.182199E-03   0.165635E-01   0.637698E-02
      31  -0.486626E+00   0.614697E+00   0.119187E-03   0.193895E-03   0.175628E-01   0.678633E-02
      32  -0.428046E+00   0.651781E+00   0.133792E-03   0.205271E-03   0.186223E-01   0.718449E-02
      33  -0.369467E+00   0.691102E+00   0.140781E-03   0.203705E-03   0.197458E-01   0.712969E-02
      34  -0.310888E+00   0.732796E+00   0.169313E-03   0.231051E-03   0.209370E-01   0.808678E-02
      35  -0.252308E+00   0.777005E+00   0.187882E-03   0.241803E-03   0.222001E-01   0.846311E-02
      36  -0.193729E+00   0.823881E+00   0.218292E-03   0.264956E-03   0.235395E-01   0.927344E-02
      37  -0.135150E+00   0.873585E+00   0.244946E-03   0.280392E-03   0.249596E-01   0.981371E-02
      38  -0.765705E-01   0.926288E+00   0.276086E-03   0.298056E-03   0.264654E-01   0.104320E-01
      39  -0.179912E-01   0.982170E+00   0.325847E-03   0.331762E-03   0.280620E-01   0.116117E-01
      40   0.405882E-01   0.104142E+01   0.370340E-03   0.355609E-03   0.297549E-01   0.124463E-01
      41   0.991675E-01   0.110425E+01   0.437210E-03   0.395933E-03   0.315500E-01   0.138577E-01
      42   0.157747E+00   0.117087E+01   0.490100E-03   0.418578E-03   0.334534E-01   0.146502E-01
      43   0.216326E+00   0.124151E+01   0.568654E-03   0.458035E-03   0.354716E-01   0.160312E-01
      44   0.274905E+00   0.131641E+01   0.672662E-03   0.510984E-03   0.376116E-01   0.178844E-01
      45   0.333485E+00   0.139582E+01   0.791953E-03   0.567373E-03   0.398807E-01   0.198581E-01
      46   0.392064E+00   0.148003E+01   0.904881E-03   0.611393E-03   0.422866E-01   0.213987E-01
      47   0.450643E+00   0.156932E+01   0.107060E-02   0.682202E-03   0.448378E-01   0.238771E-01
      48   0.509223E+00   0.166400E+01   0.125258E-02   0.752755E-03   0.475428E-01   0.263464E-01
      49   0.567802E+00   0.176438E+01   0.148908E-02   0.843965E-03   0.504110E-01   0.295388E-01
      50   0.626381E+00   0.187083E+01   0.177747E-02   0.950100E-03   0.534522E-01   0.332535E-01
      51   0.684961E+00   0.198369E+01   0.209555E-02   0.105639E-02   0.566770E-01   0.369736E-01
      52   0.743540E+00   0.210337E+01   0.249025E-02   0.118393E-02   0.600962E-01   0.414377E-01
      53   0.802119E+00   0.223026E+01   0.298275E-02   0.133740E-02   0.637218E-01   0.468089E-01
      54   0.860699E+00   0.236481E+01   0.358828E-02   0.151736E-02   0.675661E-01   0.531077E-01
      55   0.919278E+00   0.250748E+01   0.426052E-02   0.169913E-02   0.716423E-01   0.594694E-01
      56   0.977857E+00   0.265875E+01   0.511074E-02   0.192223E-02   0.759644E-01   0.672781E-01
      57   0.103644E+01   0.281915E+01   0.620517E-02   0.220108E-02   0.805473E-01   0.770377E-01
      58   0.109502E+01   0.298923E+01   0.745703E-02   0.249463E-02   0.854066E-01   0.873121E-01
      59   0.115360E+01   0.316957E+01   0.891789E-02   0.281360E-02   0.905591E-01   0.984759E-01
      60   0.121217E+01   0.336079E+01   0.108104E-01   0.321664E-02   0.960224E-01   0.112582E+00
      61   0.127075E+01   0.356354E+01   0.131109E-01   0.367918E-02   0.101815E+00   0.128771E+00
